area,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ACC,CALN1,3.05E-122,1.512115497,0.996,0.848,1.54E-117
ACC,PCDH17,1.31E-102,0.944815873,0.968,0.678,6.58E-98
ACC,FAM65B,8.62E-99,0.832812234,0.963,0.743,4.33E-94
ACC,KCNG2,4.42E-95,1.039493423,0.895,0.289,2.22E-90
ACC,CADM1,2.32E-88,1.028734931,0.999,0.986,1.17E-83
ACC,GABRQ,4.18E-88,0.493377899,0.674,0.08,2.10E-83
ACC,CMTM8,5.68E-88,0.717033287,0.879,0.328,2.86E-83
ACC,CCBE1,4.31E-87,0.988483296,0.986,0.716,2.17E-82
ACC,CPNE8,7.84E-85,0.880063184,0.953,0.616,3.94E-80
ACC,LSAMP,1.25E-83,1.05830309,1,0.836,6.29E-79
ACC,KLHL32,3.88E-83,0.734058168,0.996,0.988,1.95E-78
ACC,GRID2,7.09E-83,0.983197013,0.999,0.973,3.56E-78
ACC,KCNB2,2.63E-82,1.007087937,0.995,0.824,1.32E-77
ACC,GRIK4,4.71E-79,0.947864184,0.988,0.807,2.37E-74
ACC,MEIS3,1.47E-78,0.612814014,0.84,0.297,7.41E-74
ACC,DNAH6,7.67E-72,0.709757452,0.933,0.693,3.86E-67
ACC,SHISA9,1.60E-70,1.001057181,0.892,0.45,8.04E-66
ACC,COL21A1,2.16E-70,0.957964856,0.982,0.574,1.09E-65
ACC,EGFEM1P,1.38E-68,1.049481906,0.882,0.43,6.93E-64
ACC,PDE1A,7.93E-68,0.697606672,0.999,0.914,3.99E-63
ACC,BAIAP3,3.45E-67,0.4483127,0.682,0.217,1.73E-62
ACC,RUNX1T1,6.97E-66,0.696666115,0.922,0.595,3.50E-61
ACC,SYT17,3.73E-65,0.579175009,0.905,0.549,1.87E-60
ACC,GNG4,1.03E-62,0.658472967,0.911,0.445,5.19E-58
ACC,LINC01476,2.51E-62,0.462675515,0.719,0.289,1.26E-57
ACC,FRMD6,3.56E-62,0.637605524,0.889,0.601,1.79E-57
ACC,ZDHHC23,4.56E-62,0.581481884,0.958,0.846,2.29E-57
ACC,PLCH1,2.32E-61,0.789071752,0.963,0.632,1.17E-56
ACC,RREB1,3.62E-61,0.599302706,0.818,0.334,1.82E-56
ACC,DPYD,1.12E-60,0.669313086,0.985,0.954,5.65E-56
ACC,PTPRT,1.36E-60,0.622646688,0.839,0.455,6.83E-56
ACC,RASAL1,1.51E-60,0.372078863,0.709,0.228,7.59E-56
ACC,DAB1,2.77E-59,0.726810359,0.998,0.989,1.39E-54
ACC,LYPD1,4.79E-59,0.410536493,0.657,0.176,2.41E-54
ACC,DCHS2,9.80E-58,0.63834853,0.948,0.617,4.93E-53
ACC,KHDRBS2,9.94E-58,0.521004871,0.999,0.998,5.00E-53
ACC,BCYRN1,2.08E-57,1.192883676,0.989,0.831,1.05E-52
ACC,ATP6V1C2,2.84E-57,0.495616299,0.853,0.505,1.43E-52
ACC,GPC6,3.42E-56,0.762749585,0.997,0.876,1.72E-51
ACC,CELF5,1.48E-55,0.52941884,0.981,0.925,7.44E-51
ACC,SCN3B,2.72E-55,0.400482403,0.736,0.287,1.37E-50
ACC,GREM2,3.38E-55,0.641473356,0.937,0.772,1.70E-50
ACC,CACNB2,2.91E-54,0.684813594,0.991,0.962,1.46E-49
ACC,ST8SIA2,2.95E-54,0.574139282,0.818,0.379,1.49E-49
ACC,ADAMTS19,7.51E-54,0.563028331,0.987,0.917,3.78E-49
ACC,CACNA1E,1.57E-53,0.680359031,0.975,0.77,7.87E-49
ACC,PTPRR,1.88E-53,0.568276739,0.988,0.977,9.47E-49
ACC,RPH3A,4.14E-53,0.417003818,0.86,0.547,2.08E-48
ACC,TCERG1L,6.48E-53,0.647178545,0.987,0.908,3.26E-48
ACC,LOC105374057,6.79E-53,0.524551181,0.895,0.544,3.41E-48
ACC,MAN2A1,7.98E-53,0.666284122,0.967,0.82,4.01E-48
ACC,CTBP2,1.94E-52,0.515182166,0.967,0.794,9.76E-48
ACC,EMID1,7.66E-52,0.263209629,0.536,0.117,3.85E-47
ACC,KCNK13,1.25E-51,0.350573447,0.461,0.1,6.28E-47
ACC,KCNT2,1.48E-51,0.563698442,0.978,0.883,7.45E-47
ACC,GRIA1,1.82E-51,0.517861228,0.999,0.995,9.14E-47
