Cell group,Covariate,Cell Type,Effect Size
Neurons,ACC,L5/6 NP_4,0
Neurons,ACC,L5/6 NP_2,0
Neurons,ACC,L5/6 NP_3,0
Neurons,ACC,L5/6 NP_6,0
Neurons,ACC,L5/6 NP_1,0.569727604
Neurons,ACC,L5/6 NP_5,0
Neurons,ACC,L6 IT Car3_1,0
Neurons,ACC,L6 IT Car3_2,-0.474696962
Neurons,ACC,L5 ET_4,0
Neurons,ACC,L5 ET_3,0
Neurons,ACC,L5 ET_1,0
Neurons,ACC,L5 ET_2,2.055278545
Neurons,ACC,L6b_4,0
Neurons,ACC,L6b_3,0
Neurons,ACC,L6b_6,1.363562351
Neurons,ACC,L6b_2,0
Neurons,ACC,L6b_1,0
Neurons,ACC,L6b_5,0
Neurons,ACC,L6 CT_2,0
Neurons,ACC,L6 CT_1,0
Neurons,ACC,L6 CT_3,0.749687803
Neurons,ACC,L6 IT_1,0
Neurons,ACC,L6 IT_2,0.484597243
Neurons,ACC,L2/3 IT_6,0
Neurons,ACC,L2/3 IT_3,0
Neurons,ACC,L2/3 IT_4,0
Neurons,ACC,L2/3 IT_2,0
Neurons,ACC,L2/3 IT_1,-1.365798891
Neurons,ACC,L2/3 IT_5,0
Neurons,ACC,L4 IT_5,1.143367645
Neurons,ACC,L4 IT_1,-1.803529737
Neurons,ACC,L5 IT_6,0
Neurons,ACC,L5 IT_4,0
Neurons,ACC,L5 IT_5,0
Neurons,ACC,L5 IT_1,0
Neurons,ACC,L5 IT_2,0
Neurons,ACC,L5 IT_3,-1.54058223
Neurons,ACC,L4 IT_2,0
Neurons,ACC,L4 IT_6,0
Neurons,ACC,L4 IT_3,0
Neurons,ACC,L4 IT_4,0
Neurons,ACC,Chandelier_1,0
Neurons,ACC,Pvalb_7,0
Neurons,ACC,Pvalb_9,0
Neurons,ACC,Pvalb_8,0
Neurons,ACC,Pvalb_4,0.958335385
Neurons,ACC,Pvalb_6,0
Neurons,ACC,Pvalb_1,0.545725774
Neurons,ACC,Pvalb_5,0
Neurons,ACC,Pvalb_3,0
Neurons,ACC,Sst_31,0
Neurons,ACC,Sst_24,0
Neurons,ACC,Pvalb_2,0
Neurons,ACC,Sst_36,0.909460251
Neurons,ACC,Sst_16,0
Neurons,ACC,Sst_19,0.710746702
Neurons,ACC,Sst_37,1.641358821
Neurons,ACC,Sst_4,1.54451567
Neurons,ACC,Sst_10,0
Neurons,ACC,Sst_7,-1.321834325
Neurons,ACC,Sst_26,0.802638513
Neurons,ACC,Sst_30,0
Neurons,ACC,Sst_17,0
Neurons,ACC,Sst_21,0
Neurons,ACC,Sst_35,0
Neurons,ACC,Sst_5,0
Neurons,ACC,Sst_33,0
Neurons,ACC,Sst_12,0
Neurons,ACC,Sst_25,-1.503205103
Neurons,ACC,Sst_32,0
Neurons,ACC,Sst_14,0
Neurons,ACC,Sst_6,0
Neurons,ACC,Sst_20,0
Neurons,ACC,Sst_34,0
Neurons,ACC,Sst_3,0
Neurons,ACC,Sst_13,0
Neurons,ACC,Sst_23,0
Neurons,ACC,Sst_28,0
Neurons,ACC,Sst_15,-0.715905282
Neurons,ACC,Sst_2,0
Neurons,ACC,Sst_11,0
Neurons,ACC,Sst_8,0
Neurons,ACC,Sst_1,0.530970848
Neurons,ACC,Sst_22,0
Neurons,ACC,Sst_18,0.525609971
Neurons,ACC,Sst_29,0
Neurons,ACC,Sst_27,0
Neurons,ACC,Sst_9,0
Neurons,ACC,Sst Chodl_1,0
Neurons,ACC,Lamp5 Lhx6_1,0.414022826
Neurons,ACC,Lamp5_2,0.806180177
Neurons,ACC,Lamp5_3,0
Neurons,ACC,Lamp5_4,0
Neurons,ACC,Lamp5_1,0
Neurons,ACC,Lamp5_7,0
Neurons,ACC,Lamp5_5,0
Neurons,ACC,Lamp5_6,0
Neurons,ACC,Pax6_2,0
Neurons,ACC,Pax6_4,0
Neurons,ACC,Pax6_1,0.598414433
Neurons,ACC,Pax6_3,0.627946607
Neurons,ACC,Sncg_4,0.50365677
Neurons,ACC,Sncg_7,0.524854483
Neurons,ACC,Sncg_1,-0.61244276
Neurons,ACC,Sncg_2,0.644967039
Neurons,ACC,Sncg_5,0
Neurons,ACC,Sncg_3,0
Neurons,ACC,Sncg_6,0
Neurons,ACC,Sncg_8,0
Neurons,ACC,Vip_28,1.194620111
Neurons,ACC,Vip_5,-0.728864473
Neurons,ACC,Vip_25,0
Neurons,ACC,Vip_26,0
Neurons,ACC,Vip_29,0
Neurons,ACC,Vip_16,0
Neurons,ACC,Vip_7,0
Neurons,ACC,Vip_27,0
Neurons,ACC,Vip_8,0
Neurons,ACC,Vip_17,0
Neurons,ACC,Vip_21,0
Neurons,ACC,Vip_15,0
Neurons,ACC,Vip_23,0
Neurons,ACC,Vip_12,-1.054370109
Neurons,ACC,Vip_24,0
Neurons,ACC,Vip_3,0
Neurons,ACC,Vip_22,0
Neurons,ACC,Vip_9,0
Neurons,ACC,Vip_18,0
Neurons,ACC,Vip_4,0
Neurons,ACC,Vip_14,0
Neurons,ACC,Vip_6,0.645085876
Neurons,ACC,Vip_10,0
Neurons,ACC,Vip_11,0
Neurons,ACC,Vip_20,0
Neurons,ACC,Vip_13,0
Neurons,ACC,Vip_2,0
Neurons,ACC,Vip_1,0
Neurons,ACC,Vip_19,0
Neurons,DLPFC,L5/6 NP_4,0
Neurons,DLPFC,L5/6 NP_2,0
Neurons,DLPFC,L5/6 NP_3,0
Neurons,DLPFC,L5/6 NP_6,0
Neurons,DLPFC,L5/6 NP_1,0
Neurons,DLPFC,L5/6 NP_5,0
Neurons,DLPFC,L6 IT Car3_1,0
Neurons,DLPFC,L6 IT Car3_2,0
Neurons,DLPFC,L5 ET_4,0
Neurons,DLPFC,L5 ET_3,0
Neurons,DLPFC,L5 ET_1,0
Neurons,DLPFC,L5 ET_2,0.540698331
Neurons,DLPFC,L6b_4,0
Neurons,DLPFC,L6b_3,0
Neurons,DLPFC,L6b_6,0
Neurons,DLPFC,L6b_2,0
Neurons,DLPFC,L6b_1,0
Neurons,DLPFC,L6b_5,0
Neurons,DLPFC,L6 CT_2,0
Neurons,DLPFC,L6 CT_1,-0.972515752
Neurons,DLPFC,L6 CT_3,0
Neurons,DLPFC,L6 IT_1,0
Neurons,DLPFC,L6 IT_2,0
Neurons,DLPFC,L2/3 IT_6,0.400101255
Neurons,DLPFC,L2/3 IT_3,0
Neurons,DLPFC,L2/3 IT_4,0.598662769
Neurons,DLPFC,L2/3 IT_2,0
Neurons,DLPFC,L2/3 IT_1,0
Neurons,DLPFC,L2/3 IT_5,0
Neurons,DLPFC,L4 IT_5,0
Neurons,DLPFC,L4 IT_1,0.235358132
Neurons,DLPFC,L5 IT_6,0
Neurons,DLPFC,L5 IT_4,0
Neurons,DLPFC,L5 IT_5,0
Neurons,DLPFC,L5 IT_1,0
Neurons,DLPFC,L5 IT_2,0
Neurons,DLPFC,L5 IT_3,-0.908437767
Neurons,DLPFC,L4 IT_2,0
Neurons,DLPFC,L4 IT_6,0
Neurons,DLPFC,L4 IT_3,0
Neurons,DLPFC,L4 IT_4,0
Neurons,DLPFC,Chandelier_1,0.526879611
Neurons,DLPFC,Pvalb_7,0
Neurons,DLPFC,Pvalb_9,0
Neurons,DLPFC,Pvalb_8,0
Neurons,DLPFC,Pvalb_4,0
Neurons,DLPFC,Pvalb_6,0.615133984
Neurons,DLPFC,Pvalb_1,0
Neurons,DLPFC,Pvalb_5,0
Neurons,DLPFC,Pvalb_3,0
Neurons,DLPFC,Sst_31,0
Neurons,DLPFC,Sst_24,0.742249961
Neurons,DLPFC,Pvalb_2,0
Neurons,DLPFC,Sst_36,0
Neurons,DLPFC,Sst_16,0
Neurons,DLPFC,Sst_19,0
Neurons,DLPFC,Sst_37,0
Neurons,DLPFC,Sst_4,0
Neurons,DLPFC,Sst_10,0
Neurons,DLPFC,Sst_7,0
Neurons,DLPFC,Sst_26,0
Neurons,DLPFC,Sst_30,0.763947008
Neurons,DLPFC,Sst_17,0.677747059
Neurons,DLPFC,Sst_21,0.479501275
Neurons,DLPFC,Sst_35,0
Neurons,DLPFC,Sst_5,0
Neurons,DLPFC,Sst_33,0
Neurons,DLPFC,Sst_12,0
Neurons,DLPFC,Sst_25,0
Neurons,DLPFC,Sst_32,0
Neurons,DLPFC,Sst_14,0
Neurons,DLPFC,Sst_6,0
Neurons,DLPFC,Sst_20,0
Neurons,DLPFC,Sst_34,0
Neurons,DLPFC,Sst_3,0
Neurons,DLPFC,Sst_13,0
Neurons,DLPFC,Sst_23,0
Neurons,DLPFC,Sst_28,0
Neurons,DLPFC,Sst_15,0
Neurons,DLPFC,Sst_2,0
Neurons,DLPFC,Sst_11,0
Neurons,DLPFC,Sst_8,0
Neurons,DLPFC,Sst_1,0
Neurons,DLPFC,Sst_22,0
Neurons,DLPFC,Sst_18,0
Neurons,DLPFC,Sst_29,0
Neurons,DLPFC,Sst_27,0
Neurons,DLPFC,Sst_9,0
Neurons,DLPFC,Sst Chodl_1,0
Neurons,DLPFC,Lamp5 Lhx6_1,0
Neurons,DLPFC,Lamp5_2,0.677783782
