p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,region
4.85042739949266e-224,1.20231430002733,0.942,0.385,2.4388434007388998e-219,Lamp5_1,AP1S2,A1
7.690613500541498e-220,1.11250629805053,0.914,0.456,3.866917374207269e-215,Lamp5_1,HOMER2,A1
3.080676474106459e-215,1.17139881284697,0.998,0.908,1.5489949379454697e-210,Lamp5_1,CDK14,A1
1.0631918982667098e-205,1.23015629864229,0.998,0.849,5.3458351836748394e-201,Lamp5_1,ADRBK2,A1
1.2543059806501197e-205,1.2263645103837,0.994,0.529,6.306775901306869e-201,Lamp5_1,DOCK10,A1
1.78063576500512e-204,1.36805269301655,0.998,0.556,8.953214690022249e-200,Lamp5_1,ZNF536,A1
4.09936550903639e-204,1.27611892657465,0.992,0.643,2.0612019715985896e-199,Lamp5_1,SGK1,A1
5.273811456491779e-204,1.29032153400564,0.994,0.795,2.65172513843863e-199,Lamp5_1,MTSS1,A1
2.6104408498976395e-203,1.64013609784997,1,0.646,1.3125557637370299e-198,Lamp5_1,PTPRT,A1
3.6790899579064697e-202,1.38933456067733,0.994,0.619,1.8498832217349498e-197,Lamp5_1,KCNIP1,A1
1.8681087683992998e-201,1.64116344778783,0.996,0.771,9.3930376983885e-197,Lamp5_1,SOX2-OT,A1
1.91241128429813e-201,1.24072887920281,0.972,0.659,9.615795178579449e-197,Lamp5_1,WWP1,A1
3.8743986727593696e-197,1.4062628504915,0.998,0.634,1.94808639665014e-192,Lamp5_1,RBMS3,A1
7.578948874968169e-195,1.42102721549541,1,0.709,3.81077128382275e-190,Lamp5_1,SGCZ,A1
9.10321257334405e-192,1.17807286430548,0.99,0.813,4.57718631400312e-187,Lamp5_1,RIMBP2,A1
2.62569843458662e-191,1.06051659685248,1,0.958,1.3202274298944999e-186,Lamp5_1,KAZN,A1
1.09911716607694e-186,1.28779783424875,0.982,0.6,5.526471022751449e-182,Lamp5_1,UBASH3B,A1
2.48667327636892e-186,1.09135970290682,0.988,0.858,1.25032419009106e-181,Lamp5_1,LRRFIP2,A1
4.03523920903549e-186,1.31478134368873,0.996,0.701,2.0289586266951297e-181,Lamp5_1,TMTC2,A1
4.41395586939473e-186,1.39230855802117,0.998,0.793,2.2193811506903596e-181,Lamp5_1,GRIA4,A1
4.47038350337191e-185,1.13221220314939,1,0.883,2.24775352933043e-180,Lamp5_1,MTUS2,A1
5.475494066413579e-184,1.07039105193189,0.936,0.434,2.75313317153341e-179,Lamp5_1,ANKRD55,A1
1.5055145676074898e-183,1.06297752117125,0.946,0.528,7.56987779738721e-179,Lamp5_1,EEPD1,A1
1.76874740713554e-180,1.66117598631217,0.99,0.71,8.89343883781821e-176,Lamp5_1,CACNA2D1,A1
3.90965767742133e-180,1.11382350516734,0.994,0.698,1.96581497678422e-175,Lamp5_1,GALNT18,A1
8.72437183966188e-178,1.11052387142581,0.964,0.622,4.3867014047003896e-173,Lamp5_1,RPH3A,A1
2.55009376819068e-176,1.05451332595004,0.996,0.903,1.2822126475839597e-171,Lamp5_1,SLC35F1,A1
3.9239672101638595e-176,1.37781801400817,0.998,0.794,1.9730099529424894e-171,Lamp5_1,MGAT4C,A1
1.7206681007530399e-175,1.10016667481313,0.986,0.614,8.651691277396348e-171,Lamp5_1,CHST11,A1
8.557428031468619e-174,1.19326517909786,1,0.903,4.3027603885027296e-169,Lamp5_1,GRIP1,A1
2.1050507591972198e-173,1.22953912297179,0.996,0.643,1.0584405722319498e-168,Lamp5_1,CNTNAP4,A1
4.5199475406473996e-173,1.10904749659399,0.974,0.427,2.2726748229129196e-168,Lamp5_1,ADAMTS9-AS2,A1
3.4895472735905196e-170,1.11380392063119,0.99,0.662,1.7545792646340497e-165,Lamp5_1,PDZD2,A1
3.569157399219309e-168,1.10177872744796,0.97,0.484,1.7946080319014598e-163,Lamp5_1,GRIN3A,A1
