"group","n","cerebellar_cc","cerebellar_sd","size_ratio","shape_factor","budget_umol","budget_ratio","budget_ratio_sd","ci95_halfwidth"
"NT",4,149,33,1,0.947143444565115,41.1638677716,0.947143444565115,0.209770024635227,0.205574624142522
"EH",4,153,9,1.02684563758389,0.996824685751227,44.4861030584778,1.02358507999958,0.0602108870587989,0.059006669317623
"MH",1185,149,15,1,1,43.46107024,1,0.100671140939597,0.00573194331441588
