Region,Lobe,EI_Ratio,rCMRGlc_Mean,Excitatory_x,Inhibitory,Total_x,E_pct,Functional_Type,Broad_Category,Total_y,PV,SST,VIP,LAMP5,Other_Inh,Excitatory_y,PV_pct,SST_pct,VIP_pct,LAMP5_pct,Total_Inh,Total_Inh_pct
V1C,Occipital_lobe,4.415067519545132,35.8,24848,5628,33484,74.2,Primary_Sensory,SENSORIMOTOR,33484,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Ig,Insular_lobe,3.1303166351606806,30.3,26495,8464,38937,68.0,Limbic_Assoc,ASSOCIATIVE,38937,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
M1C,Frontal_lobe,3.045466335643088,35.3,82188,26987,116576,70.5,Primary_Motor,SENSORIMOTOR,116576,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
V2,Occipital_lobe,2.9367647058823527,35.8,21967,7480,32638,67.3,Secondary_Sensory,SENSORIMOTOR,32638,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
MTG,Temporal_lobe,2.8739921677032942,30.5,62380,21705,107301,58.1,Language_Assoc,ASSOCIATIVE,107301,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
A1C,Temporal_lobe,2.6835956714215445,30.5,21823,8132,32790,66.6,Primary_Sensory,SENSORIMOTOR,32790,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
A13,Frontal_lobe,2.666552745500114,35.3,23407,8778,34919,67.0,Prefrontal_Assoc,ASSOCIATIVE,34919,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
A19,Occipital_lobe,2.495557618353004,35.8,18819,7541,29674,63.4,Secondary_Sensory,SENSORIMOTOR,29674,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
A43,Parietal_lobe,2.4931681544908,35.8,27370,10978,42834,63.9,Sensorimotor_Assoc,SENSORIMOTOR,42834,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
A5-A7,Parietal_lobe,2.484746132054914,35.8,22805,9178,35290,64.6,Sensorimotor_Assoc,SENSORIMOTOR,35290,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
A38,Temporal_lobe,2.414408990567931,30.5,24062,9966,37642,63.9,Limbic_Assoc,ASSOCIATIVE,37642,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
S1C,Parietal_lobe,2.407826680979799,35.8,24673,10247,38188,64.6,Primary_Sensory,SENSORIMOTOR,38188,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
FI,Insular_lobe,2.3872456471575414,30.3,22760,9534,34949,65.1,Limbic_Assoc,ASSOCIATIVE,34949,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
A25,Frontal_lobe,2.3846981704334214,35.3,24374,10221,37767,64.5,Limbic_Assoc,ASSOCIATIVE,37767,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
STG,Temporal_lobe,2.35092936802974,30.5,18972,8070,40565,46.8,Language_Assoc,ASSOCIATIVE,40565,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
A44-A45,Frontal_lobe,2.344372746251661,35.3,24705,10538,38259,64.6,Motor_Assoc,SENSORIMOTOR,38259,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
A46,Frontal_lobe,2.285697230181471,35.3,19145,8376,31065,61.6,Prefrontal_Assoc,ASSOCIATIVE,31065,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
A40,Parietal_lobe,2.0414400414400413,35.8,23646,11583,39053,60.5,Sensorimotor_Assoc,SENSORIMOTOR,39053,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
ITG,Temporal_lobe,1.727538960359795,30.5,16517,9561,29522,55.9,Visual_Assoc,ASSOCIATIVE,29522,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
A32,Frontal_lobe,1.4821570182394923,35.3,13083,8827,24808,52.7,Limbic_Assoc,ASSOCIATIVE,24808,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
