Species,Stephan_column,EvoM1_variable,Stephan_value,status,unit_rescale_flag,closest_nonmatching,all_matching_sources,metadata_reference
Pan_paniscus,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,275.1,value_differs,,deSousa_etal_2013_Table1 = 282.3 (2.6%),,de Sousa et al 2010; de Sousa et al 2013
Pan_troglodytes,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,8268.3,value_differs,,Frahm_etal_1984_Table1 = 10593.0 (21.9%),,de Sousa et al 2010
Pan_troglodytes,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,250.7,value_differs,,Bush_Allman_2004_b_TABLE1 = 290.0 (13.6%),,de Sousa et al 2010; de Sousa et al 2013
Pongo_abelii,Agranular_volume_L,Agranular_insular_cortex_left_Vol.mm3,321.5,value_differs,,Bauernfeind_etal_2013_Table1 = 254.75 (20.8%),,Bauernfeind et al 2013
Pongo_abelii,Body_mass,Body_Mass.g,35600.0,value_differs,,Bauernfeind_etal_2013_Table1 = 46325.0 (23.2%),,Bauernfeind et al 2013
Pongo_abelii,Body_weight,Body_Mass.g,35600.0,value_differs,,Bauernfeind_etal_2013_Table1 = 46325.0 (23.2%),,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Pongo_abelii,Brain_mass,Brain_Mass.mg,345900.0,value_differs,,deSousa_etal_2013_Table1 = 384667.0 (10.1%),,Bauernfeind et al 2013
Pongo_abelii,Brain_weight,Brain_Mass.mg,345900.0,value_differs,,deSousa_etal_2013_Table1 = 384667.0 (10.1%),,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Pongo_abelii,Dysgranular_volume_L,Dysgranular_insular_cortex_left_Vol.mm3,599.5,value_differs,,Bauernfeind_etal_2013_Table1 = 828.25 (27.6%),,Bauernfeind et al 2013
Pongo_abelii,FI_volume_L,fronto_insular_cortex_left_Vol.mm3,19.5,value_differs,,Bauernfeind_etal_2013_Table1 = 39.75 (50.9%),,Bauernfeind et al 2013
Pongo_abelii,Granular_volume_L,Granular_insular_cortex_left_Vol.mm3,218.5,value_differs,,Bauernfeind_etal_2013_Table1 = 208.75 (4.5%),,Bauernfeind et al 2013
Pongo_abelii,Total_insula_volume_L,Insula_left_Vol.mm3,1158.0,value_differs,,Bauernfeind_etal_2013_Table1 = 1331.5 (13.0%),,Bauernfeind et al 2013
Pongo_pygmaeus,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,8233.7,value_differs,,Zilles_Rehkämper_1988_Table12-2 = 8400.0 (2.0%),,de Sousa et al 2010
Pongo_pygmaeus,Agranular_volume_L,Agranular_insular_cortex_left_Vol.mm3,188.0,value_differs,,Bauernfeind_etal_2013_Table1 = 254.75 (26.2%),,Bauernfeind et al 2013
Pongo_pygmaeus,Body_mass,Body_Mass.g,57050.0,value_differs,,Bauernfeind_etal_2013_Table1 = 46325.0 (18.8%),,Bauernfeind et al 2013
Pongo_pygmaeus,Body_weight,Body_Mass.g,57050.0,value_differs,,Bauernfeind_etal_2013_Table1 = 46325.0 (18.8%),,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Pongo_pygmaeus,Brain_mass,Brain_Mass.mg,360500.0,value_differs,,deSousa_etal_2013_Table1 = 384667.0 (6.3%),,Bauernfeind et al 2013
Pongo_pygmaeus,Brain_weight,Brain_Mass.mg,336000.0,value_differs,,deSousa_etal_2013_Table1 = 384667.0 (12.7%),,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Pongo_pygmaeus,Dysgranular_volume_L,Dysgranular_insular_cortex_left_Vol.mm3,1057.0,value_differs,,Bauernfeind_etal_2013_Table1 = 828.25 (21.6%),,Bauernfeind et al 2013
Pongo_pygmaeus,FI_volume_L,fronto_insular_cortex_left_Vol.mm3,60.0,value_differs,,Bauernfeind_etal_2013_Table1 = 39.75 (33.8%),,Bauernfeind et al 2013
Pongo_pygmaeus,Granular_volume_L,Granular_insular_cortex_left_Vol.mm3,199.0,value_differs,,Bauernfeind_etal_2013_Table1 = 208.75 (4.7%),,Bauernfeind et al 2013
Pongo_pygmaeus,NeoG_Frahm,Neocortex_grey_matter_Vol.mm3,138300.0,value_differs,,Zilles_Rehkämper_1988_Table12-2 = 129900.0 (6.1%),,Frahm et al 1992; Zilles and Rehkamper 1988
Pongo_pygmaeus,Total_insula_volume_L,Insula_left_Vol.mm3,1505.0,value_differs,,Bauernfeind_etal_2013_Table1 = 1331.5 (11.5%),,Bauernfeind et al 2013
Tarsius_syrichta,NeoG_Frahm,Neocortex_grey_matter_Vol.mm3,1631.0,value_differs,,Bush_Allman_2003_Table1 = 1470.0 (9.9%),,Frahm et al 1992; Zilles and Rehkamper 1988
Tarsius_syrichta,NeoW_Frahm,Neocortex_white_matter_Vol.mm3,137.0,value_differs,,Bush_Allman_2003_Table1 = 151.0 (9.3%),,Frahm et al 1992; Zilles and Rehkamper 1988
Alouatta_caraya,Brain_mass,Brain_Mass.mg,55800.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
