Structure,stephan,merged_all,merged_histol,merged_all_anthro
Corpus geniculatum laterale,30,30,21,30
Amygdala,8,27,18,27
Pallidum,15,14,10,14
Neocortex white,13,15,7,15
Insular cortex (grey),23,20,16,20
Nucleus subthalamicus Luysi,14,13,10,13
Capsula interna,14,13,10,13
Striatum,27,26,19,26
Area striata grey,26,25,17,25
Neocortex grey,13,15,7,15
Mesencephalon,27,26,19,26
Cerebellum,27,28,19,28
Hippocampus,27,27,19,27
Nucleus dentatus cerebelli,25,24,17,24
