Structure,rCMRGlc,Predicted,Observed,CI_min,CI_max,Diff.pre,Diff.min,Diff.max,excluded,p_astrocyte,astrocyte_anatomy_groups
Corpus geniculatum laterale,23.1,1002.8,335,787.48,1276.9,-1.99331926554101,-1.35068689781282,-2.81163490288551,FALSE,0.141826643397324,Corpus geniculatum laterale
Amygdala,22.2,3513.9,3015,2802.8,4405.4,-0.16548185727739104,0.0703738023431988,-0.4611765062845541,FALSE,0.224683457762463,Corpus amygdaloideum
Pallidum,21.9,19334,4711,15683,23835,-3.10405172071568,-2.3290429385038993,-4.05948431349428,FALSE,0.179636319108553,Pallidum
Neocortex white,12.3,542610,421820,409800,718450,-0.2863547072762551,0.0284851482526451,-0.7032250510176349,TRUE,NA,Centrum semiovale
Insular cortex (grey),30.3,3124.2,6165,1894.3,5152.7,0.49323781700500596,0.692737709458499,0.16420622374041102,FALSE,0.312190142898804,Insular lobe
Nucleus subthalamicus Luysi,25.2,1008.7,469,792.8199999999999,1283.3,-1.1507281745528002,-0.6904534559746428,-1.73632596299334,FALSE,0.0670790940232118,Nucleus subthalamicus
Capsula interna,25.5,14419,7008,11742,17707,-1.0575705244088702,-0.6755331198258497,-1.5267160719307102,FALSE,NA,Capsula interna
Striatum,36.3,47086,28689,39986,55446,-0.641244638780355,-0.393761316332491,-0.93267235412542,FALSE,0.2532128076671748,Caudatum; Putamen; Nucleus accumbens
Area striata grey,35.8,22300,15248,16954,29332,-0.46255856162053205,-0.11192779335576798,-0.9237558040651571,FALSE,0.245109115775703,Occipital lobe
Neocortex grey,33.5,411870,584710,323010,525170,0.295598202515069,0.447564536880237,0.10182831221964199,FALSE,0.2621564827093746,Frontal lobe; Parietal lobe; Temporal lobe; Occipital lobe; Cingulate / limbic
Mesencephalon,25.3,9097.8,8087,8093.1,10227,-0.12498634524809502,-7.600654353614799e-4,-0.264633073107381,FALSE,0.10710300472722077,Colliculus inferior; Colliculus superior; Substantia nigra; Nucleus ruber
Cerebellum,29.8,142900,137420,120220,169860,-0.039843969873521005,0.12520643230781303,-0.236035016278026,FALSE,0.0118484795424035,Cerebellar cortex; Vermis; Nucleus dentatus cerebelli
Hippocampus,25.7,12374,10287,8960.2,17090,-0.20292249278931504,0.128975505828477,-0.6612879813842627,FALSE,NA,Hippocampus
