"rcmr_term","hit_dissection","hit_ROIGroupFine","hit_ROIGroupCoarse","hit_ROIGroup","ROIGroup","ROIGroupCoarse","ROIGroupFine","dissection"
"Basal forebrain",TRUE,TRUE,FALSE,FALSE,"Cerebral nuclei","Cerebral nuclei","Basal forebrain","Basal forebrain (BF) - septal nuclei - SEP"
"Basal forebrain",TRUE,TRUE,FALSE,FALSE,"Cerebral nuclei","Cerebral nuclei","Basal forebrain","Basal forebrain (BF) - substantia innominata and nearby nuclei - SI"
"Hippocampus",TRUE,TRUE,TRUE,TRUE,"Hippocampus","Hippocampus","Hippocampus","Body of hippocampus (HiB) - Rostral CA1-2"
"Hippocampus",TRUE,TRUE,TRUE,TRUE,"Hippocampus","Hippocampus","Hippocampus","Body of hippocampus (HiB) - Rostral CA1-CA3"
"Hippocampus",TRUE,TRUE,TRUE,TRUE,"Hippocampus","Hippocampus","Hippocampus","Body of hippocampus (HiB) - Rostral CA3"
"Hippocampus",TRUE,TRUE,TRUE,TRUE,"Hippocampus","Hippocampus","Hippocampus","Body of hippocampus (HiB) - Rostral DG-CA4"
"Hippocampus",TRUE,TRUE,TRUE,TRUE,"Hippocampus","Hippocampus","Hippocampus","Head of hippocampus (HiH) - Subicular cortex - Sub"
"Hippocampus",TRUE,TRUE,TRUE,TRUE,"Hippocampus","Hippocampus","Hippocampus","Head of hippocampus (HiH) - Uncal CA1"
"Hippocampus",TRUE,TRUE,TRUE,TRUE,"Hippocampus","Hippocampus","Hippocampus","Head of hippocampus (HiH) - Uncal CA1-CA3"
"Hippocampus",TRUE,TRUE,TRUE,TRUE,"Hippocampus","Hippocampus","Hippocampus","Head of hippocampus (HiH) - Uncal CA2-CA3"
"Hippocampus",TRUE,TRUE,TRUE,TRUE,"Hippocampus","Hippocampus","Hippocampus","Head of hippocampus (HiH) - Uncal DG-CA4"
"Hippocampus",TRUE,TRUE,TRUE,TRUE,"Hippocampus","Hippocampus","Hippocampus","Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3"
"Hippocampus",TRUE,TRUE,TRUE,TRUE,"Hippocampus","Hippocampus","Hippocampus","Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC"
"Hippocampus",TRUE,TRUE,TRUE,TRUE,"Hippocampus","Hippocampus","Hippocampus","Tail of Hippocampus (HiT) - Subicular cortex - Sub"
"Nucleus accumbens",TRUE,FALSE,FALSE,FALSE,"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Basal nuclei (BN) - Nucleus Accumbens - NAC"
"Nucleus medial thalami",TRUE,FALSE,FALSE,FALSE,"Hypothalamus","Hypothalamus","Hypothalamus","Hypothalamus (HTH) - supraoptic region of HTH - HTHso (anterior hypothalamic nucleus, AHN) - tuberal region of HTH - HTHtub (ventromedial and dorsomedial hypothalamic nucleic nuclei, VMH, DMH)"
"Nucleus medial thalami",TRUE,FALSE,FALSE,FALSE,"Hypothalamus","Hypothalamus","Hypothalamus","Hypothalamus (HTH) - supraoptic region of HTH - HTHso (anterior hypothalamic nucleus, AHN) - tuberal region of HTH - HTHtub (ventromedial hypothalamic nucleus, VMH)"
"Putamen",TRUE,FALSE,FALSE,FALSE,"Cerebral nuclei","Cerebral nuclei","Basal nuclei","Basal nuclei (BN) - Putamen - Pu"
"Substantia nigra",TRUE,FALSE,FALSE,FALSE,"Midbrain","Midbrain","Midbrain","Midbrain (M) - Substantia Nigra - SN"
"Substantia nigra",TRUE,FALSE,FALSE,FALSE,"Midbrain","Midbrain","Midbrain","Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN"
"Vermis",TRUE,FALSE,FALSE,FALSE,"Hindbrain","Cerebellum","Cerebellum","Cerebellum (CB) - Cerebellar Vermis - CBV"
