"Structure","Predicted","Observed","Lower","Upper","N_used"
"LGN_Sousa",946.695338363151,335,737.006815998891,1216.04311415197,48
"Amygdala",3608.55556971108,3015,2893.69621519888,4500.01393764061,17
"Pallidum",18693.42300435,4711,15365.8029093631,22741.6729005829,26
"NeoW_Frahm",577415.983431269,421819,474794.78243316,702217.526935093,23
"Medulla_oblongata",17563.6848791765,9622,14708.3127601084,20973.3795824409,45
"Nucleus_subthalamicus",933.171544776466,469,728.274479016392,1195.7155675105,25
"Capsula_interna",13273.7819454013,7008,10728.2319561856,16423.3293849015,25
"Striatum",43313.1718452767,28689,36744.0850663964,51056.6762489389,45
"Diencephalon",47418.7887149622,33319,42440.9913961468,52980.4193829076,45
"ASG_Sousa",20554.034288145,15247.5,15217.2258221261,27762.5061529916,44
"NeoG_Frahm",486740.746237492,584706,450302.391016487,526127.683917085,23
"Mesencephalon",8805.55771223005,8087,7851.70023570506,9875.29379570759,45
"Cerebellum",131400.628085755,137421,115062.096154163,150059.190979775,45
"Hippocampus",12395.0916067248,10287,9208.5983248016,16684.2216936865,45
"Total_insula_volume_L",2948.11175477798,6165,1772.7177529002,4902.84643702637,29
