Species,stephan_species,pair_note,stephan_var,wide_var,unit_scale,stephan_value,wide_value,difference,abs_difference,pct_diff,ratio,match_cat
Homo sapiens,Homo sapiens,NA,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,1,15247.5,14787,-460.5,460.5,-3.0201672405312348,0.9697983275946876,minor(2-5%)
Gorilla gorilla,Gorilla gorilla,NA,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,308.5,300.1,-8.399999999999977,8.399999999999977,-2.722852512155584,0.9727714748784442,minor(2-5%)
Pan paniscus,Pan paniscus,NA,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,275.1,282.3,7.199999999999989,7.199999999999989,2.6172300981461243,1.0261723009814612,minor(2-5%)
Saimiri sciureus,Saimiri sciureus,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,22572,23100,528,528,2.3391812865497075,1.023391812865497,minor(2-5%)
Varecia variegata,Varecia variegata,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,29713,30405,692,692,2.3289469255881263,1.0232894692558812,minor(2-5%)
Saguinus midas,Saguinus midas,NA,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,36,36.8,0.7999999999999972,0.7999999999999972,2.2222222222222143,1.0222222222222221,minor(2-5%)
Cercopithecus mitis,Cercopithecus mitis,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,70564,69112,-1452,1452,-2.057706479224534,0.9794229352077547,minor(2-5%)
Pongo sp.,Pongo pygmaeus,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Bornean,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,1,8233.7,8400,166.29999999999927,166.29999999999927,2.019748108383828,1.0201974810838383,minor(2-5%)
Piliocolobus badius,Piliocolobus badius,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,73818,72394,-1424,1424,-1.9290687908098296,0.9807093120919017,close(0.5-2%)
Ateles geoffroyi,Ateles geoffroyi,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,101034,102700,1666,1666,1.6489498584634876,1.0164894985846349,close(0.5-2%)
Avahi occidentalis,Avahi occidentalis,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,9124,9256.8,132.79999999999927,132.79999999999927,1.4555019728189311,1.0145550197281894,close(0.5-2%)
Gorilla gorilla,Gorilla gorilla,NA,Cerebellum,Cerebellum_Vol.mm3,1,69249,68650,-599,599,-0.8649944403529293,0.9913500555964707,close(0.5-2%)
Galagoides demidoff,Galagoides demidoff,NA,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,3203,3185.3,-17.699999999999818,17.699999999999818,-0.5526069310021797,0.9944739306899782,close(0.5-2%)
Microcebus murinus,Microcebus murinus,NA,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,7.1,7.07,-0.02999999999999936,0.02999999999999936,-0.42253521126759663,0.9957746478873241,exact(<0.5%)
Homo sapiens,Homo sapiens,NA,Cerebellum,Cerebellum_Vol.mm3,1,137421,137016.666666667,-404.3333333329938,404.3333333329938,-0.2942296543708704,0.9970577034562913,exact(<0.5%)
Nasalis larvatus,Nasalis larvatus,NA,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,157,156.6,-0.4000000000000057,0.4000000000000057,-0.2547770700636979,0.9974522292993631,exact(<0.5%)
Hylobates muelleri,Hylobates muelleri,NA,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,162,161.6,-0.4000000000000057,0.4000000000000057,-0.2469135802469171,0.9975308641975308,exact(<0.5%)
Pygathrix nemaeus,Pygathrix nemaeus,NA,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,115,114.8,-0.20000000000000284,0.20000000000000284,-0.17391304347826333,0.9982608695652173,exact(<0.5%)
