species,variable,Stephan,wide,ratio,pct,status,anomaly,stephan_source,wide_source,pooled
Pongo_abelii,Neocortex white,NA,81500,NA,NA,wide_only,NA,NA,Zilles_Rehkämper_1988_Table12-2,TRUE
Avahi_laniger,Insular cortex (grey),38,NA,NA,NA,Stephan_only,NA,Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],NA,FALSE
Callithrix_pygmaea,Insular cortex (grey),11,NA,NA,NA,Stephan_only,NA,Bauernfeind_etal_2013 [restricted: Bauernfeind_2013.csv],NA,FALSE
Avahi_occidentalis,Insular cortex (grey),NA,38,NA,NA,wide_only,NA,NA,Bauernfeind_etal_2013_Table1,FALSE
Avahi_laniger,Nucleus subthalamicus Luysi,5.94,NA,NA,NA,Stephan_only,NA,Stephan_etal_1981 [restricted: Stephan_1981.csv],NA,FALSE
Avahi_occidentalis,Nucleus subthalamicus Luysi,NA,5.94,NA,NA,wide_only,NA,NA,Stephan_etal_1981_TableVIII,FALSE
Avahi_laniger,Capsula interna,105,NA,NA,NA,Stephan_only,NA,Stephan_etal_1981 [restricted: Stephan_1981.csv],NA,FALSE
Avahi_occidentalis,Capsula interna,NA,105,NA,NA,wide_only,NA,NA,Stephan_etal_1981_TableVIII,FALSE
Pongo_abelii,Striatum,NA,11500,NA,NA,wide_only,NA,NA,Zilles_Rehkämper_1988_Table12-2,TRUE
Pan_paniscus,Area striata grey,11606.5,NA,NA,NA,Stephan_only,NA,deSousa_etal_2010_SupTable2,NA,FALSE
Pongo_abelii,Area striata grey,NA,8400,NA,NA,wide_only,NA,NA,Zilles_Rehkämper_1988_Table12-2,TRUE
Symphalangus_syndactylus,Area striata grey,5468.9,NA,NA,NA,Stephan_only,NA,deSousa_etal_2010_SupTable2,NA,FALSE
Macaca_fascicularis,Area striata grey,2713.3,NA,NA,NA,Stephan_only,NA,deSousa_etal_2010_SupTable2,NA,FALSE
Pongo_abelii,Neocortex grey,NA,129900,NA,NA,wide_only,NA,NA,Zilles_Rehkämper_1988_Table12-2,TRUE
Pongo_abelii,Mesencephalon,NA,4000,NA,NA,wide_only,NA,NA,Zilles_Rehkämper_1988_Table12-2,TRUE
Pongo_abelii,Cerebellum,NA,42900,NA,NA,wide_only,NA,NA,Zilles_Rehkämper_1988_Table12-2,TRUE
Pongo_abelii,Hippocampus,NA,2700,NA,NA,wide_only,NA,NA,Zilles_Rehkämper_1988_Table12-2,TRUE
