variable,role,wide_N,steph_N,BLOCKERS,differs,blocked_species
Area striata grey,study3,43,45,3,5,"Pan_paniscus, Symphalangus_syndactylus, Macaca_fascicularis"
Insular cortex (grey),study3,29,30,2,3,"Avahi_laniger, Callithrix_pygmaea"
Corpus geniculatum laterale,study3,49,49,1,5,Callithrix_pygmaea
Capsula interna,study3,26,26,1,0,Avahi_laniger
Nucleus subthalamicus Luysi,study3,26,26,1,0,Avahi_laniger
Pallidum,study3,28,27,1,0,Avahi_laniger
Preferred brain volume,predictor,59,45,0,15,
Neocortex grey,study3,25,24,0,1,
Amygdala,study3,19,18,0,0,
Cerebellum,study3,47,46,0,0,
Hippocampus,study3,47,46,0,0,
Mesencephalon,study3,47,46,0,0,
Neocortex white,study3,25,24,0,0,
Nucleus dentatus cerebelli,study3,44,44,0,0,
Striatum,study3,47,46,0,0,
