mode,Species,stephan_species,pair_note,label,stephan_var,wide_var,unit_scale,role,stephan_value,wide_value,on_tree,status,rel,pct_diff,ratio,anomaly
raw,Alouatta caraya,Alouatta caraya,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,NA,53861,NA,volumes_wide_only,NA,NA,NA,NA
raw,Alouatta seniculus,Alouatta seniculus,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,49009,49009,NA,same,0,0,1,NA
raw,Aotus trivirgatus,Aotus trivirgatus,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,16195,16195,NA,same,0,0,1,NA
raw,Ateles geoffroyi,Ateles geoffroyi,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,101034,102700,NA,DIFFERENT,0.016222005842259007,1.6489498584634876,1.0164894985846349,NA
raw,Avahi laniger,Avahi laniger,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,9798,9798,NA,same,0,0,1,NA
raw,Avahi occidentalis,Avahi occidentalis,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,9124,9256.8,NA,DIFFERENT,0.014346210353469804,1.4555019728189311,1.0145550197281894,NA
raw,Callimico goeldii,Callimico goeldii,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,10510,10510,NA,same,0,0,1,NA
raw,Callithrix jacchus,Callithrix jacchus,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,7241,7241,NA,same,0,0,1,NA
raw,Cebuella pygmaea,Cebuella pygmaea,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,4302,4005.8,NA,DIFFERENT,0.06885169688516965,-6.885169688516965,0.9311483031148303,NA
raw,Cebus albifrons,Cebus albifrons,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,66939,77027,NA,DIFFERENT,0.13096706349721526,15.07043726377747,1.1507043726377746,NA
raw,Cercocebus agilis,Cercocebus agilis,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,NA,91988,NA,volumes_wide_only,NA,NA,NA,NA
raw,Cercopithecus ascanius,Cercopithecus ascanius,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,63505,63505,NA,same,0,0,1,NA
raw,Cercopithecus mitis,Cercopithecus mitis,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,70564,69112,NA,DIFFERENT,0.020577064792245338,-2.057706479224534,0.9794229352077547,NA
raw,Cheirogaleus major,Cheirogaleus major,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,6373,6373,NA,same,0,0,1,NA
raw,Cheirogaleus medius,Cheirogaleus medius,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,2961,2961,NA,same,0,0,1,NA
raw,Colobus angolensis,Colobus angolensis,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,NA,71815,NA,volumes_wide_only,NA,NA,NA,NA
raw,Daubentonia madagascariensis,Daubentonia madagascariensis,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,42611,42611,NA,same,0,0,1,NA
raw,Erythrocebus patas,Erythrocebus patas,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,103167,103167,NA,same,0,0,1,NA
raw,Eulemur fulvus,Eulemur fulvus,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,22106,22106,NA,same,0,0,1,NA
raw,Galago senegalensis,Galago senegalensis,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,4512,4512,NA,same,0,0,1,NA
raw,Galagoides demidoff,Galagoides demidoff,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,3203,3185.3,NA,rounding,0.005526069310021798,-0.5526069310021797,0.9944739306899782,NA
raw,Gorilla gorilla,Gorilla gorilla,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,470359,401785,NA,DIFFERENT,0.1457907683280218,-14.579076832802178,0.8542092316719783,NA
raw,Homo sapiens,Homo sapiens,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,1251847,1357820,NA,DIFFERENT,0.07804642736150594,8.465331625989439,1.0846533162598944,NA
raw,Hylobates lar,Hylobates lar,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,97505,88803,NA,DIFFERENT,0.08924670529716425,-8.924670529716424,0.9107532947028357,NA
raw,Hylobates muelleri,Hylobates muelleri,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,NA,98263,NA,volumes_wide_only,NA,NA,NA,NA
raw,Indri indri,Indri indri,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,36285,32481,NA,DIFFERENT,0.10483670938404299,-10.4836709384043,0.895163290615957,NA
raw,Lagothrix lagotricha,Lagothrix lagotricha,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,95503,95503,NA,same,0,0,1,NA
raw,Leontopithecus rosalia,Leontopithecus rosalia,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,NA,12259,NA,volumes_wide_only,NA,NA,NA,NA
raw,Lepilemur ruficaudatus,Lepilemur ruficaudatus,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,7175,7175,NA,same,0,0,1,NA
raw,Lophocebus albigena,Lophocebus albigena,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,97603,106660,NA,DIFFERENT,0.08491468216763548,9.279427886437917,1.0927942788643792,NA
raw,Loris tardigradus,Loris tardigradus,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,6269,6612,NA,DIFFERENT,0.051875378100423475,5.471367044185675,1.0547136704418567,NA
raw,Macaca fascicularis,Macaca fascicularis,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,NA,55600,NA,volumes_wide_only,NA,NA,NA,NA
raw,Macaca maura,Macaca maura,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,NA,80405,NA,volumes_wide_only,NA,NA,NA,NA
raw,Macaca mulatta,Macaca mulatta,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,87896,87896,NA,same,0,0,1,NA
raw,Microcebus murinus,Microcebus murinus,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,1680,1680,NA,same,0,0,1,NA
raw,Miopithecus talapoin,Miopithecus talapoin,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,37776,37776,NA,same,0,0,1,NA
raw,Nasalis larvatus,Nasalis larvatus,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,92797,92797,NA,same,0,0,1,NA
raw,Nycticebus coucang,Nycticebus coucang,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,11755,11755,NA,same,0,0,1,NA
raw,Otolemur crassicaudatus,Otolemur crassicaudatus,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,9668,9668,NA,same,0,0,1,NA
raw,Pan paniscus,Pan paniscus,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,NA,339766.666666667,NA,volumes_wide_only,NA,NA,NA,NA
raw,Pan troglodytes,Pan troglodytes,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,382103,330790,NA,DIFFERENT,0.1342910157732339,-13.429101577323392,0.8657089842267661,NA
raw,Papio anubis,Papio anubis,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,190957,190957,NA,same,0,0,1,NA
raw,Perodicticus potto,Perodicticus potto,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,13212,11100,NA,DIFFERENT,0.15985467756584923,-15.985467756584923,0.8401453224341507,NA
raw,Piliocolobus badius,Piliocolobus badius,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,73818,72394,NA,DIFFERENT,0.019290687908098295,-1.9290687908098296,0.9807093120919017,NA
raw,Pithecia monachus,Pithecia monachus,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,32867,32867,NA,same,0,0,1,NA
raw,Pithecia pithecia,Pithecia pithecia,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,NA,28958,NA,volumes_wide_only,NA,NA,NA,NA
raw,Plecturocebus moloch,Plecturocebus moloch,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,17944,17944,NA,same,0,0,1,NA
raw,Pongo sp.,Pongo abelii,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Sumatran,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,NA,340925,NA,volumes_wide_only,NA,NA,NA,NA
raw,Pongo sp.,Pongo pygmaeus,merge 'Pongo sp.' is a sensu lato mean (Bornean + Sumatran + hybrid); Stephan row is Bornean,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,NA,340925,NA,volumes_wide_only,NA,NA,NA,NA
raw,Propithecus verreauxi,Propithecus verreauxi,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,25194,25194,NA,same,0,0,1,NA
raw,Pygathrix nemaeus,Pygathrix nemaeus,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,72530,72530,NA,same,0,0,1,NA
raw,Saguinus geoffroyi,Saguinus geoffroyi,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,NA,10135,NA,volumes_wide_only,NA,NA,NA,NA
raw,Saguinus midas,Saguinus midas,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,9569,9569,NA,same,0,0,1,NA
raw,Saguinus oedipus,Saguinus oedipus,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,9537,8938.2,NA,DIFFERENT,0.06278703994966964,-6.278703994966963,0.9372129600503304,NA
raw,Saimiri sciureus,Saimiri sciureus,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,22572,22572,NA,same,0,0,1,NA
raw,Symphalangus syndactylus,Symphalangus syndactylus,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,NA,133880,NA,volumes_wide_only,NA,NA,NA,NA
raw,Tarsius syrichta,Tarsius syrichta,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,3393,3393,NA,same,0,0,1,NA
raw,Trachypithecus francoisi,Trachypithecus francoisi,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,NA,98552,NA,volumes_wide_only,NA,NA,NA,NA
raw,Varecia variegata,Varecia variegata,NA,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,29713,30405,NA,DIFFERENT,0.022759414569972044,2.3289469255881263,1.0232894692558812,NA
raw,Alouatta seniculus,Alouatta seniculus,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,87.4,87.4,NA,same,0,0,1,NA
raw,Aotus trivirgatus,Aotus trivirgatus,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,32.9,32.9,NA,same,0,0,1,NA
raw,Ateles geoffroyi,Ateles geoffroyi,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,151,151,NA,same,0,0,1,NA
raw,Avahi laniger,Avahi laniger,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,27.6,27.6,NA,same,0,0,1,NA
raw,Avahi occidentalis,Avahi occidentalis,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,29.3,29.3,NA,same,0,0,1,NA
raw,Callithrix jacchus,Callithrix jacchus,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,25.1,25.1,NA,same,0,0,1,NA
raw,Cebuella pygmaea,Cebuella pygmaea,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,16.9,NA,NA,Stephan_only,NA,NA,NA,NA
raw,Cebus albifrons,Cebus albifrons,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,137,137,NA,same,0,0,1,NA
raw,Cercopithecus ascanius,Cercopithecus ascanius,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,147,147,NA,same,0,0,1,NA
raw,Cercopithecus mitis,Cercopithecus mitis,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,150,167.2,NA,DIFFERENT,0.10287081339712913,11.46666666666666,1.1146666666666667,NA
raw,Cheirogaleus major,Cheirogaleus major,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,21.5,21.5,NA,same,0,0,1,NA
raw,Cheirogaleus medius,Cheirogaleus medius,NA,Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,10.8,10.8,NA,same,0,0,1,NA
