label,stephan_var,wide_var,unit_scale,role,n_both,N_Stephan,N_volumes_wide,n_same,n_rounding,n_DIFFERENT,n_agree_0_1pct,n_disagree_0_1pct,n_Stephan_only,n_wide_only,cor,median_ratio,median_abs_pct,max_abs_pct,max_abs_diff
Corpus geniculatum laterale,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,1,study3,48,48,48,38,5,5,39,9,0,0,0.9909756689813329,1,0,37.21579577183886,93.30000000000001
Area striata grey,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,1,study3,41,41,41,36,0,5,36,5,0,0,0.9880364839608081,1,0,32.12838207908862,2933
Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,1,report_only,45,45,45,28,1,16,28,17,0,0,0.9961228886546254,1,0,15.985467756584923,105973
Insular cortex (grey),Total_insula_volume_L,Insula_left_Vol.mm3,1,study3,29,29,29,23,3,3,26,3,0,0,0.9989994597886054,1,0,14.98272884283247,314
Neocortex grey,NeoG_Frahm,Neocortex_grey_matter_Vol.mm3,1,study3,23,23,23,22,0,1,22,1,0,0,0.9999010937109274,1,0,6.073752711496746,8400
Amygdala,Amygdala,Amygdala_Vol.mm3,1,study3,18,18,18,18,0,0,18,0,0,0,1,1,0,0,0
Capsula interna,Capsula_interna,Capsula_interna_Vol.mm3,1,study3,24,24,24,24,0,0,24,0,0,0,1,1,0,0,0
Cerebellum,Cerebellum,Cerebellum_Vol.mm3,1,study3,45,45,45,45,0,0,45,0,0,0,0.9999999999999998,1,0,0,0
Hippocampus,Hippocampus,Hippocampus_Vol.mm3,1,study3,45,45,45,45,0,0,45,0,0,0,1,1,0,0,0
Mesencephalon,Mesencephalon,Mesencephalon_Vol.mm3,1,study3,45,45,45,45,0,0,45,0,0,0,1,1,0,0,0
Neocortex white,NeoW_Frahm,Neocortex_white_matter_Vol.mm3,1,study3,23,23,23,23,0,0,23,0,0,0,1,1,0,0,0
Nucleus dentatus cerebelli,Lateral_cerebellar_nuclei,Lateral_cerebellar_nuclei_Vol.mm3,1,study3,43,43,43,43,0,0,43,0,0,0,0.9999999999999998,1,0,0,0
Nucleus subthalamicus Luysi,Nucleus_subthalamicus,Nucleus_subthalamicus_Vol.mm3,1,study3,24,24,24,24,0,0,24,0,0,0,1,1,0,0,0
Pallidum,Pallidum,Pallidum_Vol.mm3,1,study3,25,25,25,25,0,0,25,0,0,0,0.9999999999999998,1,0,0,0
Striatum,Striatum,Striatum_Vol.mm3,1,study3,45,45,45,45,0,0,45,0,0,0,0.9999999999999999,1,0,0,0
