"variable","N_Stephan","N_volumes_wide","n_shared","n_Stephan_only","n_wide_only","n_DIFFERENT","max_abs_pct_diff","role"
"Corpus geniculatum laterale",49,47,47,2,0,5,37.2157957718389,"study3"
"Area striata grey",45,41,41,4,0,4,32.1283820790886,"study3"
"Preferred brain volume",59,57,57,2,0,26,7.39427829647011,"report_only"
"Insular cortex (grey)",30,27,26,4,1,1,5.09326845093268,"study3"
"Amygdala",18,17,17,1,0,0,0,"study3"
"Capsula interna",26,26,25,1,1,0,0,"study3"
"Cerebellum",46,45,45,1,0,0,0,"study3"
"Hippocampus",46,45,45,1,0,0,0,"study3"
"Mesencephalon",46,45,45,1,0,0,0,"study3"
"Neocortex grey",24,23,23,1,0,0,0,"study3"
"Neocortex white",24,23,23,1,0,0,0,"study3"
"Nucleus dentatus cerebelli",44,44,44,0,0,0,0,"study3"
"Nucleus subthalamicus Luysi",26,26,25,1,1,0,0,"study3"
"Pallidum",27,26,25,2,1,0,0,"study3"
"Striatum",46,45,45,1,0,0,0,"study3"
