tip,merge_sp,pooled,label,stephan_var,wide_var,role,stephan_value,wide_value,ratio,pct,rel,status,anomaly,stephan_source,wide_source
Alouatta_caraya,Alouatta caraya,FALSE,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,NA,53861,NA,NA,NA,wide_only,NA,NA,Bauernfeind_etal_2013_Table1
Ateles_geoffroyi,Ateles geoffroyi,FALSE,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,101034,102700,1.0164894985846349,1.6489498584634876,0.016222005842259007,DIFFERENT,NA,Stephan_etal_1981_TableIII,Bauernfeind_etal_2013_Table1
Avahi_laniger,Avahi laniger,FALSE,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,9798,9798,1,0,0,same,NA,Stephan_etal_1981_TableII,Stephan_etal_1981_TableII
Callithrix_pygmaea,Callithrix pygmaea,FALSE,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,4302,4302,1,0,0,same,NA,Stephan_etal_1981_TableIII,Stephan_etal_1981_TableIII
Cebus_albifrons,Cebus albifrons,FALSE,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,66939,77027,1.1507043726377746,15.07043726377747,0.13096706349721526,DIFFERENT,NA,Stephan_etal_1981_TableIII,Bauernfeind_etal_2013_Table1
Cercocebus_agilis,Cercocebus agilis,FALSE,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,NA,91988,NA,NA,NA,wide_only,NA,NA,Bauernfeind_etal_2013_Table1
Cercopithecus_mitis,Cercopithecus mitis,FALSE,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,70564,69112,0.9794229352077547,-2.057706479224534,0.020577064792245338,DIFFERENT,NA,Stephan_etal_1981_TableIII,Bauernfeind_etal_2013_Table1
Colobus_angolensis,Colobus angolensis,FALSE,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,NA,71815,NA,NA,NA,wide_only,NA,NA,Bauernfeind_etal_2013_Table1
Galagoides_demidoff,Galagoides demidoff,FALSE,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,3203,3185.3,0.9944739306899782,-0.5526069310021797,0.005526069310021798,rounding,NA,Stephan_etal_1981_TableII,Bauernfeind_etal_2013_Table1
Gorilla_gorilla,Gorilla sp.,FALSE,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,470359,401785,0.8542092316719783,-14.579076832802178,0.1457907683280218,DIFFERENT,NA,Stephan_etal_1981_TableIII,Bauernfeind_etal_2013_Table1
Homo_sapiens,Homo sapiens,FALSE,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,1251847,1357820,1.0846533162598944,8.465331625989439,0.07804642736150594,DIFFERENT,NA,Stephan_etal_1981_TableIII,Bauernfeind_etal_2013_Table1
Hylobates_lar,Hylobates lar,FALSE,Preferred brain volume,Total_brain_net_volume,Total_brain_net_volume_Vol.mm3,predictor,97505,88803,0.9107532947028357,-8.924670529716424,0.08924670529716425,DIFFERENT,NA,Stephan_etal_1981_TableIII,Bauernfeind_etal_2013_Table1 (+1 tied)
