"group","fig3A_cerebellarcortex_ratio_MH","fig3B_cerebellarcortex_ratio_MH","abs_diff"
"NT",0.9454,0.9247,0.0207
"EH",1.0223,1.0039,0.0184
"MH",1,1,0
