"group","label","ratio","ci","sd","n","p"
"NT","Whole-brain
Neanderthal",1.0491,0.2277,0.1431,4,0.541845943340921
"EH","Whole-brain
early H.sapiens",1.0351,0.1053,0.0662,4,0.366764420877529
"NT","Cerebellum
Neanderthal",0.947143444565115,0.205574624142522,0.209770024635227,4,0.6489783155371
"EH","Cerebellum
early H.sapiens",1.02358507999958,0.059006669317623,0.0602108870587989,4,0.490540358373058
