"contrast","n","pearson_r","pearson_p","r_CI_low","r_CI_high","spearman_rho","spearman_p","slope","slope_se","intercept","r_squared"
"NT / MH",6,0.3435,0.505,-0.649,0.9033,0.6957,0.1248,0.0049,0.0067,0.8328,0.118
"EH / MH",6,0.1707,0.7465,-0.7439,0.8627,0,1,0.0016,0.0046,0.9515,0.0291
