"specimen","group","cerebellar_cc","size_ratio","shape_factor","budget_umol","budget_ratio"
"Mladeč 1","EH",165,1.10738255033557,0.996824685751227,47.9752091807114,1.10386626274465
"Cro-Magnon 1","EH",156,1.04697986577181,0.996824685751227,45.3583795890362,1.04365537568585
"Qafzeh 9","EH",147,0.986577181208054,0.996824685751227,42.7415499973611,0.983444488627049
"Skhul 5","EH",146,0.979865771812081,0.996824685751227,42.4507911538416,0.976754390064961
"Amud 1","NT",182,1.22147651006711,0.947143444565115,50.2806975465181,1.15691346920034
"La Ferrassie 1","NT",166,1.11409395973154,0.947143444565115,45.8604164435275,1.05520679058932
"La Chapelle-aux-Saints 1","NT",140,0.939597315436242,0.947143444565115,38.6774596511678,0.889933437846417
"Forbes' Quarry 1","NT",106,0.711409395973154,0.947143444565115,29.2843623073127,0.673806745798001
