anatomy_group,rcmr_value,norm_all,norm_english,norm_romanian,english_mean,english_sd,english_lci,english_uci,romanian_mean,romanian_sd,romanian_lci,romanian_uci,norm_mean,norm_sd,norm_lci,norm_uci
Cerebral cortex,33.5,6.95857928,2.527384167,11.36957439,252.1743286,34.76834,236.34769,268.0009646,229.298433,32.34719,221.4184676,237.1783984,258.713,33.3425,254.6430899,262.7829101
Thalamus ,26.6,3.211308385,-0.272682188,9.149438652,7.1919048,0.7691139,6.8418,7.542007385,6.3604478,0.65018513,6.202058884,6.518836716,7.001,0.759,6.908353625,7.093646375
Caudate,32.6,9.805494393,6.618611111,12.99237768,3.6642857,0.48121275,3.44524,3.883334956,3.4141791,0.46551421,3.300777105,3.527581095,3.924,0.4905,3.864127738,3.983872262
Putamen ,40.2,19.26465739,17.89740625,20.63190853,5.1342857,0.46212089,4.92393,5.344644293,4.9632836,0.6273088,4.810467493,5.116099707,6.2535,0.7,6.168055385,6.338944615
Pallidum ,21.9,-2.705860363,-7.358829027,1.947108301,1.9528571,0.27318753,1.8285,2.077212752,1.7835821,0.23080689,1.727356186,1.839808014,1.819,0.226,1.791413596,1.846586404
Hippocampus ,25.7,14.71899927,11.9921159,17.44588264,3.6144838,0.2931525,3.48104,3.747927556,3.3904976,0.32868716,3.310427478,3.470567722,4.107,0.4445,4.05274267,4.16125733
Amygdala,22.2,-1.028177966,-3.453887006,1.397531073,1.8311338,0.17575356,1.75113,1.911137263,1.7452637,0.18190811,1.700949816,1.789577584,1.77,0.2295,1.741986373,1.798013627
Accumbens ,32.3,11.6057959,6.43155496,16.79004021,0.6980952,0.11075284,0.64768,0.748510172,0.6207463,0.09551001,0.597479501,0.644013099,0.746,0.133,0.729765523,0.762234477
Total Brain,,,,,1177.242381,109.7765237,1127.271831,1227.212931,1062.34597,104.5793758,1036.86982,1087.82212,1176.723,62.589,1169.083153,1184.362847
