Region,rCMRGlc,Volume,VolumeSD,Neuron_N,NeuronSD,NeurDensity,Glia_N,GliaSD,GliaDensity,Astro_N,AstroSD,AstroDensity,Oligo_N,OligoSD,OligoDensity,Microglia_N,MicroSD,MicroDensity,GliaNeurDensityRatio
Cerebral cortex (global average),33.5,403,68.51,1.78E+10,1.97E+09,4.41E+07,19147299767,2.81E+09,4.75E+07,5297233625,1.02E+09,1.31E+07,10476759772,2.30E+09,2.60E+07,2478686958,6.47E+08,6.15E+06,1.08E+00
Frontal lobe,35.3,157,31.4,6.06E+09,3.61E+08,3.86E+07,7.38E+09,1.39E+09,4.70E+07,2.45E+09,1.01E+09,1.56E+07,3.90E+09,1.09E+09,2.49E+07,1.06E+09,2.83E+08,6.72E+06,1.22E+00
Parietal lobe,35.8,91.8,16.524,3.95E+09,8.75E+08,4.30E+07,4.10E+09,5.77E+08,4.47E+07,1.25E+09,2.75E+08,1.37E+07,2.15E+09,4.23E+08,2.34E+07,5.21E+08,2.08E+08,5.68E+06,1.04E+00
Temporal lobe,30.5,105,21,4.18E+09,1.26E+09,3.98E+07,4.81E+09,8.14E+08,4.58E+07,1.25E+09,1.20E+08,1.19E+07,2.77E+09,8.14E+08,2.64E+07,5.86E+08,1.88E+08,5.59E+06,1.15E+00
Occipital lobe,35.8,48.5,13.58,3.58E+09,1.12E+09,7.39E+07,2.86E+09,9.45E+08,5.89E+07,7.47E+08,1.95E+08,1.54E+07,1.66E+09,5.54E+08,3.41E+07,3.16E+08,1.46E+08,6.51E+06,7.97E-01
Insular lobe,30.3,,,,,,,,,,,,,,,,,,
Hippocampus,25.7,,,,,,,,,,,,,,,,,,
Forebrain nuclei,,,,,,,,,,,,,,,,,,,
Striatum,36.27,,,,,,,,,,,,,,,,,,
Caudatum,32.6,,,,,,,,,,,,,,,,,,
Putamen,40.2,,,,,,,,,,,,,,,,,,
Nucleus accumbens,32.3,,,,,28734,,,58750,,,,,,,,,,2.04E+00
Pallidum,21.9,,,,,,,,,,,,,,,,,,
Nucleus medial thalami,36.6,,,,,,,,,,,,,,,,,,
Corpus geniculatum laterale,23.1,,,,,,,,,,,,,,,,,,
Corpus geniculatum mediale,20.2,,,,,,,,,,,,,,,,,,
Nucleus subthalamicus,25.2,,,,,,,,,,,,,,,,,,
Basal forebrain,21.4,,,,,,,,,,,,,,,,,,
Corpus amygdaloideum,22.2,2.76,0.228393184,2.442E+07,1282.173634,8.85E+06,1.001E+08,1.317E+07,3.63E+07,1.800E+07,3.926E+06,6.52E+06,5.715E+07,1.087E+07,2.07E+07,1.493E+07,2.689E+06,5.41E+06,4.10E+00
Brainstem nuclei,26.25,,,,,,,,,,,,,,,,,,
Colliculus inferior,31.4,,,,,,,,,,,,,,,,,,
Colliculus superior,24.4,,,,,,,,,,,,,,,,,,
Substantia nigra,22.8,,,,,,,,,,,,,,,,,,
Nucleus ruber,31,,,,,,,,,,,,,,,,,,
Cerebellum,29.77,,,,,,,,,,,,,,,,,,
Cerebellar cortex,29.8,,,,,,,,,,,,,,,,,,
Vermis,30.1,,,,,,,,,,,,,,,,,,
Nucleus dentatus cerebelli,24.2,,,,,,,,,,,,,,,,,,
White matter,19.15,,,,,,,,,,,,,,,,,,
Centrum semiovale,12.3,,,,,,,,,,,,,,,,,,
Capsula interna,25.5,,,,,,,,,,,,,,,,,,
Thalamus,35.5275,,,,,,,,,,,,,,,,,,
Cerebellar WM,,,,,,,,,,,,,,,,,,,
Lateral ventricles,,,,,,,,,,,,,,,,,,,
Inferior lateral ventricle,,,,,,,,,,,,,,,,,,,
3rd ventricle,,,,,,,,,,,,,,,,,,,
4th ventricle,,,,,,,,,,,,,,,,,,,
CSF,,,,,,,,,,,,,,,,,,,
Total volume,,,,,,,,,,,,,,,,,,,
Frontal lobe WM,18.4,,,,,,,,,,,,,,,,,,
Parietal lobe WM,,,,,,,,,,,,,,,,,,,
Temporal lobe WM,19.2,,,,,,,,,,,,,,,,,,
Occipital lobe WM,16.6,,,,,,,,,,,,,,,,,,
Brain,31.18666667,,,,,,,,,,,,,,,,,,
Primary Visual Cortex,40.2,,,,,,,,,,,,,,,,,,
Visual Cortex,38,,,,,,,,,,,,,,,,,,
Auditory Cortex,40.23,,,,,,,,,,,,,,,,,,
Basal Ganglia,36.72,,,,,,,,,,,,,,,,,,
Cingulate Cortex,38.625,,,,,,,,,,,,,,,,,,
Hypothalamus,27,,,,,,,,,,,,,,,,,,
Prefrontal Cortex,33,,,,,,,,,,,,,,,,,,
Sensorimotor Cortex,38.63667,,,,,,,,,,,,,,,,,,
Pons,18.8,,,,,,,,,,,,,,,,,,
Midbrain,22.7,,,,,,,,,,,,,,,,,,
Cerebral.Peduncle,21.4,,,,,,,,,,,,,,,,,,
Lentiform.Nucleus,40.775,,,,,,,,,,,,,,,,,,
Oval.Center,15.7,,,,,,,,,,,,,,,,,,
Frontomesial.Cortex,39.6,,,,,,,,,,,,,,,,,,
Frontolateral.Cortex,40.6,,,,,,,,,,,,,,,,,,
Orbital.Cortex,39.2,,,,,,,,,,,,,,,,,,
Inferior.Frontal.Cortex,42,,,,,,,,,,,,,,,,,,
Superior.Frontal.Cortex,35.7,,,,,,,,,,,,,,,,,,
Premotor.Cortex,40.5,,,,,,,,,,,,,,,,,,
Inferior.Temporal.Cortex,33.65,,,,,,,,,,,,,,,,,,
Middle.Temporal.Cortex,36.4,,,,,,,,,,,,,,,,,,
Superior.Temporal.Cortex,39.05,,,,,,,,,,,,,,,,,,
Inferior.Parietal.Cortex,34.6,,,,,,,,,,,,,,,,,,
Superior.Parietal.Cortex,36.25,,,,,,,,,,,,,,,,,,
Visual.Association.Cortex,32.6,,,,,,,,,,,,,,,,,,
Inferior.Limbic.Structures,30.1,,,,,,,,,,,,,,,,,,
Frontal. bas. white matter,20.1,,,,,,,,,,,,,,,,,,
Occipital. par. White matter,18.9,,,,,,,,,,,,,,,,,,
Cerebellar grey matter,32,,,,,,,,,,,,,,,,,,
Whole brain (All regions weighted according to size),,,,,,,,,,,,,,,,,,,
