,UK Adoptees (mean per hemisphere in cm3) [n=21],,,,Romanian Adoptees (mean per hemisphere in cm3) [n=67] ,,,,Adoptees overall (mean per hemisphere in cm3) [n=88] ,,,,Normative (mean per hemisphere in cm3) [n=261] ,,,
,Mean,SD,Lower CI,Higher CI,Mean,SD,Lower CI ,Higher CI,Mean ,SD,Lower CI,Higher CI,Mean ,SD,Lower CI,Higher CI
Cerebral cortex,252.1743286,34.76834,236.34769,268.0009646,229.298433,32.34719,221.4184676,237.1783984,240.7363808,33.557765,233.6283458,247.8444158,258.713,33.3425,254.6430899,262.7829101
Thalamus ,7.1919048,0.7691139,6.8418,7.542007385,6.3604478,0.65018513,6.202058884,6.518836716,6.7761763,0.709649515,6.625861951,6.926490649,7.001,0.759,6.908353625,7.093646375
Caudate,3.6642857,0.48121275,3.44524,3.883334956,3.4141791,0.46551421,3.300777105,3.527581095,3.5392324,0.47336348,3.438966956,3.639497844,3.924,0.4905,3.864127738,3.983872262
Putamen ,5.1342857,0.46212089,4.92393,5.344644293,4.9632836,0.6273088,4.810467493,5.116099707,5.04878465,0.544714845,4.933405923,5.164163377,6.2535,0.7,6.168055385,6.338944615
Pallidum ,1.9528571,0.27318753,1.8285,2.077212752,1.7835821,0.23080689,1.727356186,1.839808014,1.8682196,0.25199721,1.814842833,1.921596367,1.819,0.226,1.791413596,1.846586404
Hippocampus ,3.6144838,0.2931525,3.48104,3.747927556,3.3904976,0.32868716,3.310427478,3.470567722,3.5024907,0.31091983,3.436633244,3.568348156,4.107,0.4445,4.05274267,4.16125733
Amygdala,1.8311338,0.17575356,1.75113,1.911137263,1.7452637,0.18190811,1.700949816,1.789577584,1.78819875,0.178830835,1.750319712,1.826077788,1.77,0.2295,1.741986373,1.798013627
Accumbens ,0.6980952,0.11075284,0.64768,0.748510172,0.6207463,0.09551001,0.597479501,0.644013099,0.65942075,0.103131425,0.637575976,0.681265524,0.746,0.133,0.729765523,0.762234477
Total brain volume,1177.242381,109.7765237,1127.27183,1227.212931,1062.34597,104.5793758,1036.86982,1087.82212,1119.794176,107.1779497,1097.092288,1142.496064,1176.723,62.589,1169.083153,1184.362847
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,UK Adoptees (mean per hemisphere in cm3) [n=21],Romanian Adoptees (mean per hemisphere in cm3) [n=67] ,Normative (mean per hemisphere in cm3) [n=261] ,,,,,,,,,,,,,
,Mean,Mean,Mean ,,,,,,,,,,,,,
Cerebral cortex,252.1743286,229.298433,258.713,,,,,,,,,,,,,
Thalamus ,7.1919048,6.3604478,7.001,,,,,,,,,,,,,
Caudate,3.6642857,3.4141791,3.924,,,,,,,,,,,,,
Putamen ,5.1342857,4.9632836,6.2535,,,,,,,,,,,,,
Pallidum ,1.9528571,1.7835821,1.819,,,,,,,,,,,,,
Hippocampus ,3.6144838,3.3904976,4.107,,,,,,,,,,,,,
Amygdala,1.8311338,1.7452637,1.77,,,,,,,,,,,,,
Accumbens ,0.6980952,0.6207463,0.746,,,,,,,,,,,,,
Total brain volume,1177.242381,1062.34597,1176.723,,,,,,,,,,,,,
