Species,Stephan_column,Stephan_value,status,hunt_rank,hunt_species_match,hunt_file,hunt_sheet,hunt_rowtext
Pongo_abelii,Body_weight,35600,value_differs,2,yes,Stephan published/old/Bauernfeind_etal_2013_original units.csv,,Pongo_abelii | 35.6 | 345.9 | 333.88 | 0.2185 | 0.5995 | 0.3215 | 0.0195 | 1.158 | NA | 35600 | 345900 | 333880 | 218.5 | 599.5 | 321.5 | 19.5 | 1158
Pongo_abelii,Body_weight,35600,value_differs,3,yes,Stephan published/Stephan et al 1981 extended/recompiled 12022021/other additions/Bauernfeind_etal_2013.csv,,Pongo_abelii | 35.6 | 345.9 | 333.88 | 0.2185 | 0.5995 | 0.3215 | 0.0195 | 1.158 | NA | 35600 | 345900 | 333880 | 218.5 | 599.5 | 321.5 | 19.5 | 1158
Pongo_abelii,Dysgranular_volume_L,599.5,value_differs,1,yes,Stephan published/backup copies data used in analyses/Stephan_primates.csv,,Pongo_pygmaeus | NA | NA | 57050 | 336000 | NA | NA | NA | 5500 | 42900 | 4000 | 13500 | 238300 | NA | NA | 3800 | 600 | 11500 | NA | 2700 | 219800 | 
Pongo_abelii,Dysgranular_volume_L,599.5,value_differs,2,yes,Stephan published/data/Stephan_compiled_091019.xlsx,0Sorted,Primates | Haplorrhines | NA | Pongo pygmaeus | NA | 336000 | NA | NA | NA | 5500 | 42900 | 4000 | 13500 | 238300 | NA | NA | 3800 | 600 | 11500 | NA 
Pongo_abelii,Dysgranular_volume_L,599.5,value_differs,3,yes,Stephan published/database version/csvs/Stephan_sort.csv,,"Pongo sp. | 1400 | Zilles_1988 | 8233.7 | deSousa_2010 | 61700 | Bauernfeind_2013 | 1400 | NA | 54,000 | 333,000 | NA | NA | NA | 42900 | NA | NA | NA"
Pongo_abelii,FI_volume_L,19.5,value_differs,1,yes,Stephan published/old/Bauernfeind_etal_2013_original units.csv,,Pongo_abelii | 35.6 | 345.9 | 333.88 | 0.2185 | 0.5995 | 0.3215 | 0.0195 | 1.158 | NA | 35600 | 345900 | 333880 | 218.5 | 599.5 | 321.5 | 19.5 | 1158
Pongo_abelii,FI_volume_L,19.5,value_differs,2,yes,Stephan published/Stephan et al 1981 extended/recompiled 12022021/other additions/Bauernfeind_etal_2013.csv,,Pongo_abelii | 35.6 | 345.9 | 333.88 | 0.2185 | 0.5995 | 0.3215 | 0.0195 | 1.158 | NA | 35600 | 345900 | 333880 | 218.5 | 599.5 | 321.5 | 19.5 | 1158
Pongo_abelii,FI_volume_L,19.5,value_differs,3,no,Frahm Scans/Frahm scans work/Rajavee work/Stephan indiv data from Frahm New PIVOTS.xlsx,Pivot SD Data,Cheirogaleus major | 116.67261889578035 | 1279.8632739476511 | 1235.3890858381469 | NA | 47.239682730729683 | 64.181961207959347 | 1123.9674418994541 
Pongo_pygmaeus,Agranular_volume_L,188,value_differs,1,yes,Stephan published/old/Bauernfeind_etal_2013_original units.csv,,Pongo_pygmaeus | 57.05 | 360.5 | 347.97 | 0.199 | 1.057 | 0.188 | 0.06 | 1.505 | NA | 57050 | 360500 | 347970 | 199 | 1057 | 188 | 60 | 1505
Pongo_pygmaeus,Agranular_volume_L,188,value_differs,2,yes,Stephan published/Stephan et al 1981 extended/recompiled 12022021/other additions/Bauernfeind_etal_2013.csv,,Pongo_pygmaeus | 57.05 | 360.5 | 347.97 | 0.199 | 1.057 | 0.188 | 0.06 | 1.505 | NA | 57050 | 360500 | 347970 | 199 | 1057 | 188 | 60 | 1505
Pongo_pygmaeus,Agranular_volume_L,188,value_differs,3,no,Frahm Scans/Frahm scans work/Rajavee Arora/Stephan indiv data from Frahm (2).xlsx,Data,3205 | 0122 | NA | Cheirogaleus medius | 70 | M | NA | 167 | 2980 | 2876.4479999999999 | NA | 22.695 | 24.678999999999998 | 2829.0740000000001 | 188.2
Pongo_pygmaeus,Body_mass,57050,value_differs,1,yes,Stephan published/backup copies data used in analyses/Stephan_primates.csv,,Pongo_pygmaeus | NA | NA | 57050 | 336000 | NA | NA | NA | 5500 | 42900 | 4000 | 13500 | 238300 | NA | NA | 3800 | 600 | 11500 | NA | 2700 | 219800 | 
Pongo_pygmaeus,Body_mass,57050,value_differs,2,yes,Stephan published/old/Bauernfeind_etal_2013_original units.csv,,Pongo_pygmaeus | 57.05 | 360.5 | 347.97 | 0.199 | 1.057 | 0.188 | 0.06 | 1.505 | NA | 57050 | 360500 | 347970 | 199 | 1057 | 188 | 60 | 1505
Pongo_pygmaeus,Body_mass,57050,value_differs,3,yes,Stephan published/Stephan et al 1981 extended/recompiled 12022021/other additions/Bauernfeind_etal_2013.csv,,Pongo_pygmaeus | 57.05 | 360.5 | 347.97 | 0.199 | 1.057 | 0.188 | 0.06 | 1.505 | NA | 57050 | 360500 | 347970 | 199 | 1057 | 188 | 60 | 1505
Pongo_pygmaeus,Body_weight,57050,value_differs,1,yes,Stephan published/backup copies data used in analyses/Stephan_primates.csv,,Pongo_pygmaeus | NA | NA | 57050 | 336000 | NA | NA | NA | 5500 | 42900 | 4000 | 13500 | 238300 | NA | NA | 3800 | 600 | 11500 | NA | 2700 | 219800 | 
Pongo_pygmaeus,Body_weight,57050,value_differs,2,yes,Stephan published/old/Bauernfeind_etal_2013_original units.csv,,Pongo_pygmaeus | 57.05 | 360.5 | 347.97 | 0.199 | 1.057 | 0.188 | 0.06 | 1.505 | NA | 57050 | 360500 | 347970 | 199 | 1057 | 188 | 60 | 1505
