Species,Stephan_column,Stephan_value,candidate_reference,candidate_source,candidate_variable,candidate_value,candidate_year,search_tier,tier_rank,match_quality,pct_difference,scale,prior_contributions,candidate_file,candidate_sheet,candidate_cell,evidence_context,structure_context_match
Ateles_geoffroyi,Prefrontal.Gray,2.77,Smaers_etal_2011_SupplementaryTable2,Smaers_etal_2011_SupplementaryTable2,PrefrontalCortex_grey_matter_Vol.mm3,2770,2011,evom1_all_volume_tables,3,near_perfect,0,0.001,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Ateles geoffroyi; Variable=PrefrontalCortex_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Ateles_geoffroyi,Prefrontal.White,0.29,Smaers_etal_2017_TableS1part1,Smaers_etal_2017_TableS1part1,PrefrontalCortex_white_matter_Vol.mm3,286,2017,metadata_tables,1,near_perfect,1.3793103448275683,0.001,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/Smaers_etal_2017/Smaers_etal_2017_TableS1part1.csv,,,Species=Ateles geoffroyi; Variable=PrefrontalCortex_white_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Ateles_geoffroyi,Prefrontal.White,0.29,Smaers_etal_2011_SupplementaryTable2,Smaers_etal_2011_SupplementaryTable2,PrefrontalCortex_white_matter_Vol.mm3,290,2011,evom1_all_volume_tables,3,near_perfect,0,0.001,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Ateles geoffroyi; Variable=PrefrontalCortex_white_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Ateles_geoffroyi,Other.cortical.association.areas.Gray,32.93,Smaers_etal_2017_TableS1part1,Smaers_etal_2017_TableS1part1,AssociationCortex_grey_matter_Vol.mm3,32933,2017,metadata_tables,1,near_perfect,0.009109403941335784,0.001,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/Smaers_etal_2017/Smaers_etal_2017_TableS1part1.csv,,,Species=Ateles geoffroyi; Variable=AssociationCortex_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Ateles_geoffroyi,Other.cortical.association.areas.White,10.33,Smaers_etal_2017_TableS1part1,Smaers_etal_2017_TableS1part1,AssociationCortex_white_matter_Vol.mm3,10332,2017,metadata_tables,1,near_perfect,0.019357336430513624,0.001,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/Smaers_etal_2017/Smaers_etal_2017_TableS1part1.csv,,,Species=Ateles geoffroyi; Variable=AssociationCortex_white_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Avahi_laniger,LGN_Sousa,27.6,deSousa_etal_2010_SupTable2,deSousa_etal_2010_SupTable2,Corpus_geniculatum_laterale_Vol.mm3,29,2010,metadata_tables,1,close_same_structure,4.827586206896547,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/deSousa_etal_2010/deSousa_etal_2010_SupTable2.csv,,,Species=Avahi laniger; Variable=Corpus_geniculatum_laterale_Vol.mm3; key_rule=crosswalk_exact,TRUE
Avahi_laniger,LGN_Sousa,27.6,Stephan_etal_1984_Table1,Stephan_etal_1984_Table1,Corpus_geniculatum_laterale_Vol.mm3,27.6,1984,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Avahi laniger; Variable=Corpus_geniculatum_laterale_Vol.mm3; key_rule=crosswalk_exact,TRUE
Avahi_laniger,LGN_Sousa,27.6,Stephan_etal_1981_TableIX,Stephan_etal_1981_TableIX,Corpus_geniculatum_laterale_Vol.mm3,27.4,1981,evom1_all_volume_tables,3,near_perfect,0.7246376811594305,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Avahi laniger; Variable=Corpus_geniculatum_laterale_Vol.mm3; key_rule=crosswalk_exact,TRUE
Avahi_laniger,ASG_Sousa,475,deSousa_etal_2010_SupTable2,deSousa_etal_2010_SupTable2,Area_striata_grey_matter_Vol.mm3,500,2010,metadata_tables,1,close_same_structure,5,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/deSousa_etal_2010/deSousa_etal_2010_SupTable2.csv,,,Species=Avahi laniger; Variable=Area_striata_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Avahi_laniger,ASG_Sousa,475,Frahm_etal_1984_Table1,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,475,1984,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Avahi laniger; Variable=Area_striata_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
