Species,Stephan_column,EvoM1_variable,structure_key_rule,Stephan_value,status,resolution_method,preferred_reference,preferred_source_prior_contributions,unit_rescale_flag,merge_deviation_flag,closest_nonmatching,fallback_match_detail,fallback_candidate_sources,all_matching_sources,metadata_reference
Pongo_abelii,Agranular_volume_L,Agranular_insular_cortex_left_Vol.mm3,crosswalk_exact,321.5,value_differs,unresolved_after_direct_match,NA,0,,,Bauernfeind_etal_2013_Table1 = 254.75 (20.8%),,,,Bauernfeind et al 2013
Pongo_abelii,Body_mass,Body_Mass.g,crosswalk_exact,35600,value_differs,unresolved_after_direct_match,NA,0,,,Bauernfeind_etal_2013_Table1 = 46325 (23.2%),,,,Bauernfeind et al 2013
Pongo_abelii,Body_weight,Body_Mass.g,crosswalk_exact,35600,value_differs,unresolved_after_direct_match,NA,0,,,Bauernfeind_etal_2013_Table1 = 46325 (23.2%),,,,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Pongo_abelii,Dysgranular_volume_L,Dysgranular_insular_cortex_left_Vol.mm3,crosswalk_exact,599.5,value_differs,unresolved_after_direct_match,NA,0,,,Bauernfeind_etal_2013_Table1 = 828.25 (27.6%),,,,Bauernfeind et al 2013
Pongo_abelii,FI_volume_L,fronto_insular_cortex_left_Vol.mm3,crosswalk_exact,19.5,value_differs,unresolved_after_direct_match,NA,0,,,Bauernfeind_etal_2013_Table1 = 39.75 (50.9%),,,,Bauernfeind et al 2013
Pongo_pygmaeus,Agranular_volume_L,Agranular_insular_cortex_left_Vol.mm3,crosswalk_exact,188,value_differs,unresolved_after_direct_match,NA,0,,,Bauernfeind_etal_2013_Table1 = 254.75 (26.2%),,,,Bauernfeind et al 2013
Pongo_pygmaeus,Body_mass,Body_Mass.g,crosswalk_exact,57050,value_differs,unresolved_after_direct_match,NA,0,,,Bauernfeind_etal_2013_Table1 = 46325 (18.8%),,,,Bauernfeind et al 2013
Pongo_pygmaeus,Body_weight,Body_Mass.g,crosswalk_exact,57050,value_differs,unresolved_after_direct_match,NA,0,,,Bauernfeind_etal_2013_Table1 = 46325 (18.8%),,,,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Pongo_pygmaeus,Dysgranular_volume_L,Dysgranular_insular_cortex_left_Vol.mm3,crosswalk_exact,1057,value_differs,unresolved_after_direct_match,NA,0,,,Bauernfeind_etal_2013_Table1 = 828.25 (21.6%),,,,Bauernfeind et al 2013
Pongo_pygmaeus,FI_volume_L,fronto_insular_cortex_left_Vol.mm3,crosswalk_exact,60,value_differs,unresolved_after_direct_match,NA,0,,,Bauernfeind_etal_2013_Table1 = 39.75 (33.8%),,,,Bauernfeind et al 2013
Pongo_pygmaeus,Total_insula_volume_L,Insula_left_Vol.mm3,crosswalk_exact,1505,value_differs,unresolved_after_direct_match,NA,0,,,Bauernfeind_etal_2013_Table1 = 1331.5 (11.5%),,,,Bauernfeind et al 2013
Alouatta_caraya,Brain_mass,Brain_Mass.mg,crosswalk_exact,55800,resolved_unique,direct_same_structure_unique,Bauernfeind_etal_2013_Table1,181,1000,,NA,,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Alouatta_caraya,Brain_weight,Brain_Mass.mg,crosswalk_exact,55800,resolved_unique,direct_same_structure_unique,Bauernfeind_etal_2013_Table1,181,1000,,NA,,,Bauernfeind_etal_2013_Table1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Alouatta_seniculus,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,crosswalk_exact,1918,resolved_fallback_metadata,metadata_tables_near_perfect,deSousa_etal_2010_SupTable2,0,,,Evo-M1 value matches Frahm_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,deSousa_etal_2010_SupTable2 = 1900 (Area_striata_grey_matter_Vol.mm3; 0.94%; scale 1; 0 prior contributions),deSousa_etal_2010_SupTable2; Smaers_etal_2017_TableS1part1; Frahm_etal_1998_Table1; Frahm_etal_1984_Table1; deSousa_etal_2010 [restricted: Visual_volumes.xlsx]; deSousa_etal_2010 [restricted: deSousa_2010.csv]; Stephan_etal_1981 [restricted: Stephan_1981.csv],Frahm_etal_1984_Table1; deSousa_etal_2010_SupTable2; Smaers_etal_2017_TableS1part1; Frahm_etal_1998_Table1,de Sousa et al 2010
