Stephan_column,EvoM1_variable,n_cells,n_resolved,n_unique,n_multiple,n_resolved_fallback,n_likely_fallback,n_value_differs,n_gap,n_metadata_only,metadata_reference
Agranular_volume_L,Agranular_insular_cortex_left_Vol.mm3,30,28,26,0,2,0,2,0,0,Bauernfeind et al 2013
Body_mass,Body_Mass.g,30,28,25,1,2,0,2,0,0,Bauernfeind et al 2013
Body_weight,Body_Mass.g,59,56,11,45,0,0,2,1,0,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Dysgranular_volume_L,Dysgranular_insular_cortex_left_Vol.mm3,30,28,26,0,2,0,2,0,0,Bauernfeind et al 2013
FI_volume_L,fronto_insular_cortex_left_Vol.mm3,6,4,4,0,0,0,2,0,0,Bauernfeind et al 2013
Total_insula_volume_L,Insula_left_Vol.mm3,30,27,25,0,2,2,1,0,0,Bauernfeind et al 2013
ASG_Sousa,Area_striata_grey_matter_Vol.mm3,45,45,0,0,45,0,0,0,0,de Sousa et al 2010
Amygdala,Amygdala_Vol.mm3,18,18,18,0,0,0,0,0,0,Stephan et al 1981; Zilles and Rehkamper 1988
Body_weight_1985a,Body_Mass.g,44,44,0,44,0,0,0,0,0,NA
Brain_mass,Brain_Mass.mg,30,28,22,4,2,2,0,0,0,Bauernfeind et al 2013
Brain_volume,NA,30,0,0,0,0,0,0,0,30,Bauernfeind et al 2013
Brain_weight,Brain_Mass.mg,59,58,10,46,2,1,0,0,0,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Brainvol,NA,43,0,0,0,0,0,0,0,43,de Sousa et al 2010; Stephan et al 1981
Bulbus_olfactorius,Bulbus_olfactorius_Vol.mm3,45,45,45,0,0,0,0,0,0,Stephan et al 1981
Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,45,44,44,0,0,1,0,0,0,Stephan et al 1981
Capsula_interna,Capsula_interna_Vol.mm3,26,26,25,0,1,0,0,0,0,Stephan et al 1981
Cerebellar_nuclei_total,Cerebellar_nuclei_total_Vol.mm3,44,44,44,0,0,0,0,0,0,NA
Cerebellum,Cerebellum_Vol.mm3,46,46,46,0,0,0,0,0,0,Stephan et al 1981; Zilles and Rehkamper 1988
Complexus.vestibularis,Complexus_vestibularis_unilateral_Vol.mm3,26,26,0,26,0,0,0,0,0,Stephan et al 1981
Complexus_centromedialis,Complexus_centromedialis_Vol.mm3,17,17,17,0,0,0,0,0,0,Stephan et al 1981
Complexus_cortico_basolateralis,Complexus_corticobasolateralis_Vol.mm3,17,17,17,0,0,0,0,0,0,Stephan et al 1981
Corpus.pineale,Corpus_pineal_Vol.mm3,39,39,39,0,0,0,0,0,0,Stephan et al 1981
Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,39,37,37,0,0,2,0,0,0,Stephan et al 1981
Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,39,38,38,0,0,1,0,0,0,Stephan et al 1981
