Species,Species_evo,Stephan_column,EvoM1_variable,structure_key_rule,Stephan_value,status,preferred_reference,preferred_citation,all_matching_sources,n_candidate_sources,metadata_reference,unit_rescale_flag,merge_deviation_flag,closest_nonmatching,resolution_method,fallback_candidate_sources,fallback_match_detail,preferred_source_prior_contributions,source_cutoff_year
Alouatta_caraya,Alouatta caraya,Agranular_volume_L,Agranular_insular_cortex_left_Vol.mm3,crosswalk_exact,42,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Bauernfeind et al 2013,,,NA,direct_same_structure_unique,,,181,2019
Alouatta_caraya,Alouatta caraya,Body_mass,Body_Mass.g,crosswalk_exact,6420,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Bauernfeind et al 2013,,,NA,direct_same_structure_unique,,,181,2019
Alouatta_caraya,Alouatta caraya,Body_weight,Body_Mass.g,crosswalk_exact,6420,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013,,,NA,direct_same_structure_unique,,,181,2019
Alouatta_caraya,Alouatta caraya,Brain_mass,Brain_Mass.mg,crosswalk_exact,55800,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Bauernfeind et al 2013,1000,,NA,direct_same_structure_unique,,,181,2019
Alouatta_caraya,Alouatta caraya,Brain_volume,NA,no_defensible_volume_key,53861,metadata_only,NA,NA,,0,Bauernfeind et al 2013,,,NA,metadata_only_no_volume_crosswalk,,,0,2019
Alouatta_caraya,Alouatta caraya,Brain_weight,Brain_Mass.mg,crosswalk_exact,55800,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013,1000,,NA,direct_same_structure_unique,,,181,2019
Alouatta_caraya,Alouatta caraya,Dysgranular_volume_L,Dysgranular_insular_cortex_left_Vol.mm3,crosswalk_exact,141,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Bauernfeind et al 2013,,,NA,direct_same_structure_unique,,,181,2019
Alouatta_caraya,Alouatta caraya,Granular_volume_L,Granular_insular_cortex_left_Vol.mm3,crosswalk_exact,89,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Bauernfeind et al 2013,,,NA,direct_same_structure_unique,,,181,2019
Alouatta_caraya,Alouatta caraya,Total_insula_volume_L,Insula_left_Vol.mm3,crosswalk_exact,272,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Bauernfeind et al 2013,,,NA,direct_same_structure_unique,,,181,2019
Alouatta_seniculus,Alouatta seniculus,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,crosswalk_exact,1918,resolved_fallback_metadata,deSousa_etal_2010_SupTable2,de Sousa et al. 2010 (J Hum Evol 58:281-292),Frahm_etal_1984_Table1; deSousa_etal_2010_SupTable2; Smaers_etal_2017_TableS1part1; Frahm_etal_1998_Table1,1,de Sousa et al 2010,,,Evo-M1 value matches Frahm_etal_1984_Table1 (not the metadata source); attributed to metadata source; see source_hunt,metadata_tables_near_perfect,deSousa_etal_2010_SupTable2; Smaers_etal_2017_TableS1part1; Frahm_etal_1998_Table1; Frahm_etal_1984_Table1; deSousa_etal_2010 [restricted: Visual_volumes.xlsx]; deSousa_etal_2010 [restricted: deSousa_2010.csv]; Stephan_etal_1981 [restricted: Stephan_1981.csv],deSousa_etal_2010_SupTable2 = 1900 (Area_striata_grey_matter_Vol.mm3; 0.94%; scale 1; 0 prior contributions),0,2019
