"Structure","Observed","Predicted_from_BM_mu_adjusted_equation","Observed_log10","Predicted_log10","Log10Diff","PropDiff","Direction","FittedLine_log","PhyloMu_log","Predicted_log","lambda","N"
"Corpus geniculatum laterale",373.666666666667,274.935002746115,2.57248435787531,2.43923003461166,0.133254323263652,0.35910910918725,"Larger than Predicted",6.91675253254779,-1.30021781646763,5.61653471608016,1,30
"Amygdala",4545.8,917.878936967998,3.65761032430424,2.96278540399654,0.694824920307696,3.95250497305887,"Larger than Predicted",8.134834041847,-1.31276853686421,6.82206550498278,1,27
"Pallidum",4711,1987.65601253211,3.67311310423823,3.29834122674871,0.374771877489524,1.37012841774295,"Larger than Predicted",9.04609415213487,-1.4513828118156,7.59471134031927,1,14
"Neocortex white",413899.666666667,914116.023702667,5.61689507664264,5.96100132183442,-0.34410624519178,-0.547213202772501,"Smaller than Predicted",13.0131919572566,0.712520825717132,13.7257127829737,1,15
"Insular cortex (grey)",6479,3786.45047022613,3.81150797994533,3.57823228028168,0.233275699663651,0.711101214962695,"Larger than Predicted",8.7910285921831,-0.551844284336425,8.23918430784668,1,20
"Nucleus subthalamicus Luysi",469,252.026766876787,2.67117284271508,2.40144666812105,0.269726174594036,0.860913449043647,"Larger than Predicted",6.5053377326868,-0.975802433051063,5.52953529963574,1,13
"Capsula interna",7008,3604.295188492,3.84559409316002,3.55682035208599,0.288773741074039,0.944346851050253,"Larger than Predicted",9.16553818371005,-0.975656662539026,8.18988152117102,1,13
"Striatum",28689,9814.92930323592,4.45771541049588,3.99188717573174,0.465828234764148,1.9229960923449,"Larger than Predicted",10.6537379989586,-1.46207809520465,9.191659903754,1,26
"Area striata grey",15463.5,8223.41104558612,4.18930779868012,3.9150519989261,0.274255799754017,0.880424061776648,"Larger than Predicted",10.3542729907978,-1.33953261977404,9.01474037102379,1,25
"Neocortex grey",574355.333333333,1036315.216776,5.75918065818213,6.0154918751817,-0.256311216999564,-0.445771591465996,"Smaller than Predicted",13.1147020435088,0.736479875311367,13.8511819188202,1,15
"Mesencephalon",8087,2022.67152559297,3.90778744311062,3.30592536067239,0.601862082438222,2.9981776070285,"Larger than Predicted",9.08270110075425,-1.47052664671903,7.61217445403522,1,26
"Cerebellum",136803.527777778,68009.7533899791,5.13609729676033,4.83257120005475,0.303526096705579,1.01152806706009,"Larger than Predicted",12.0864150596124,-0.959008653533966,11.1274064060784,1,28
"Hippocampus",10287.38,2274.1905228841,4.01230478230132,3.35682684538742,0.655477936913896,3.52353481226967,"Larger than Predicted",9.1535406027485,-1.42416114879719,7.72937945395131,1,27
"Nucleus dentatus cerebelli",1166.9,942.57349107735,3.06703363984226,2.97431522150391,0.0927184183383543,0.237993653594318,"Larger than Predicted",7.59812475473758,-0.749510863837394,6.84861389090018,1,24
