Structure,Model,lambda,95% CI min,Predicted,95% CI max,Observed,Diff.min,Diff.pre,Diff.max,N,rCMRGlc
Corpus geniculatum laterale,Brownian (BM),1,322.04,433.29,582.98,373.67,0.13816430265474738,-0.15957473567596497,-0.5601739075787318,30,23.1
Corpus geniculatum laterale,Pagel's lambda (ML),0.944,317.17,430.33,583.86,373.67,0.15120298696632492,-0.15162854452610267,-0.5625035010752242,30,23.1
Amygdala,Brownian (BM),1,1156.4,1399.4,1693.6,4545.8,0.7456216367016341,0.6921522863241226,0.6274438848232272,27,22.2
Amygdala,Pagel's lambda (ML),0.945,1194,1455.6,1774.6,4545.8,0.7373312200664447,0.6797814514409758,0.609622739073952,27,22.2
Pallidum,Brownian (BM),1,1775.3,2208.7,2747.9,4711,0.6231662757466448,0.5311642696505988,0.416700449282309,14,21.9
Pallidum,Pagel's lambda (ML),1.12,1364.7,1576.3,1820.7,4711,0.7103144860856595,0.6654014250203335,0.6135250090153673,14,21.9
Neocortex white,Brownian (BM),1,711620,1030600,1492500,413900,-0.7193101359833104,-1.4899414447704413,-2.605986068848311,15,12.3
Neocortex white,Pagel's lambda (ML),-0.313,7.517e-42,1.0488e-41,1.4633e-41,413900,1,1,1,15,12.3
Insular cortex (grey),Brownian (BM),1,1596.3,2947.7,5443.1,6479,0.7536151497260763,0.5450378946012753,0.15988942859630248,20,30.3
Insular cortex (grey),Pagel's lambda (ML),0.839,1919.8,3644.4,6918.2,6479,0.7036899730607644,0.437509109414474,-0.0677870244889885,20,30.3
Nucleus subthalamicus Luysi,Brownian (BM),1,208.56,272.37,355.69,469,0.555305451946382,0.4192584614085623,0.24159012940071856,13,25.2
Nucleus subthalamicus Luysi,Pagel's lambda (ML),1.21,115.87,218.02,410.24,469,0.7529448195988171,0.5351308972547543,0.1252833381747009,13,25.2
Capsula interna,Brownian (BM),1,3034.9,3559,4173.5,7008,0.5669386930426582,0.492156572810151,0.40446088718488044,13,25.5
Capsula interna,Pagel's lambda (ML),-0.344,1.044e-57,1.2539000000000001e-57,1.506e-57,7008,1,1,1,13,25.5
Striatum,Brownian (BM),1,8168.3,10742,14128,28689,0.7152796921599549,0.6255578641926371,0.5075626528658176,26,36.3
Striatum,Pagel's lambda (ML),0.802,10006,13554,18362,28689,0.6512347920119835,0.5275419349651226,0.3599802442903935,26,36.3
Area striata grey,Brownian (BM),1,8877.8,12115,16532,15464,0.4258868977647672,0.21655836566736753,-0.06909386324073175,25,35.8
Area striata grey,Pagel's lambda (ML),1.03,8893.5,11944,16041,15464,0.42487404124144024,0.22758923180988452,-0.037369963449184536,25,35.8
Neocortex grey,Brownian (BM),1,785340,1023500,1333800,574360,-0.3673379285070969,-0.7819655562311568,-1.3223236753632812,15,33.5
Neocortex grey,Pagel's lambda (ML),-1.18,8300100,9142600,10071000,574360,-13.451129467507371,-14.918001945270527,-16.533770387937818,15,33.5
Mesencephalon,Brownian (BM),1,2976.5,3323,3709.8,8087,0.6319446125037408,0.5890953781862022,0.541257609686107,26,25.3
Mesencephalon,Pagel's lambda (ML),-0.206,27160,30746,34804,8087,-2.3585070580384784,-2.801852820708558,-3.30372323789948,26,25.3
Cerebellum,Brownian (BM),1,53888,67066,83468,136800,0.6060910065047982,0.5097605065068214,0.3898723691278812,28,29.8
Cerebellum,Pagel's lambda (ML),1.05,52301,64328,79122,136800,0.6176956946268395,0.5297762841858222,0.4216378424033945,28,29.8
Hippocampus,Brownian (BM),1,2034.4,3051.4,4576.6,10287,0.802238611991304,0.7033880951238679,0.5551274037863302,27,25.7
Hippocampus,Pagel's lambda (ML),0.95,2052.9,3146.1,4821.3,10287,0.8004425493103834,0.6941820610291819,0.5313399150311697,27,25.7
Nucleus dentatus cerebelli,Brownian (BM),1,725.13,955.66,1259.5,1166.9,0.37858741055106315,0.18103016781057213,-0.07933375896223913,24,24.2
Nucleus dentatus cerebelli,Pagel's lambda (ML),0.994,722.97,954.92,1261.3,1166.9,0.3804321416669215,0.18165693605411018,-0.08089107803317507,24,24.2
