"Structure","Observed","Predicted_from_BM_mu_adjusted_equation","Observed_log10","Predicted_log10","Log10Diff","PropDiff","Direction","FittedLine_log","PhyloMu_log","Predicted_log","lambda","N"
"Corpus geniculatum laterale",373.666666666667,629.027439246874,2.57248435787531,2.79866959052251,-0.226185232647203,-0.405961261222478,"Smaller than Predicted",7.14102143691426,-0.696846557561371,6.44417487935289,1,21
"Amygdala",4545.8,3517.04764178164,3.65761032430424,3.54617825129185,0.111432073012393,0.292504527376041,"Larger than Predicted",8.26013771506068,-0.0947605365363859,8.1653771785243,1,18
"Pallidum",4711,10797.2804629212,3.67311310423823,4.0333143824615,-0.360201278223261,-0.563686428617095,"Smaller than Predicted",9.24406430861497,0.0429852637993535,9.28704957241432,1,10
"Neocortex white",413899.666666667,719974.856885733,5.61689507664264,5.85731733017231,-0.240422253529671,-0.425119276446682,"Smaller than Predicted",13.1899196081879,0.297051961202508,13.4869715693904,1,7
"Insular cortex (grey)",6479,8803.27600610537,3.81150797994533,3.94464431835627,-0.133136338410943,-0.264023984309183,"Smaller than Predicted",8.85186115682605,0.231018047784754,9.0828792046108,1,16
"Nucleus subthalamicus Luysi",469,815.377569572329,2.67117284271508,2.91135876016378,-0.240185917448697,-0.424806350454314,"Smaller than Predicted",6.66076961581353,0.0428816656972226,6.70365128151075,1,10
"Capsula interna",7008,9869.01555195963,3.84559409316002,3.99427383335101,-0.148679740190989,-0.289898778342844,"Smaller than Predicted",9.15434945075507,0.0428059352551523,9.19715538601023,1,10
"Striatum",28689,13137.754938875,4.45771541049588,4.11852115662696,0.339194253868919,1.18370643488778,"Larger than Predicted",10.7789167721463,-1.29567135171649,9.48324542042984,1,19
"Area striata grey",15463.5,33522.1359816737,4.18930779868012,4.52533168345166,-0.336023884771542,-0.538707795694947,"Smaller than Predicted",10.6062946718948,-0.186333396725393,10.4199612751695,1,17
"Neocortex grey",574355.333333333,731632.393777435,5.75918065818213,5.86429292606536,-0.105112267883232,-0.214967327556502,"Smaller than Predicted",13.200157430501,0.302876042007573,13.5030334725085,1,7
"Mesencephalon",8087,2332.79834423582,3.90778744311062,3.36787719838621,0.539910244724409,2.46665198043475,"Larger than Predicted",9.05857636652994,-1.30375253449131,7.75482383203863,1,19
"Cerebellum",136803.527777778,47581.7838422156,5.13609729676033,4.67744071971698,0.458656577043344,1.87512398087949,"Larger than Predicted",12.0592087934806,-1.28900351889693,10.7702052745837,1,19
"Hippocampus",10287.38,3142.61550881858,4.01230478230132,3.49729124941944,0.515013532881879,2.27350895174172,"Larger than Predicted",9.35121748428679,-1.29840678751506,8.05281069677172,1,19
"Nucleus dentatus cerebelli",1166.9,1905.64324239669,3.06703363984226,3.28004159915612,-0.213007959313857,-0.38766083071645,"Smaller than Predicted",7.6879107587875,-0.135335868170264,7.55257489061723,1,17
