rcmr_term,n_dissection_terms,n_obs_rows_total,dissection_terms
Basal forebrain,2,79020,Basal forebrain (BF) - septal nuclei - SEP || Basal forebrain (BF) - substantia innominata and nearby nuclei - SI
Caudatum,1,32678,Basal nuclei (BN) - Body of the Caudate - CaB
Cerebellar cortex,1,28028,Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL
Colliculus inferior,1,32306,Midbrain (M) - Inferior colliculus and nearby nuclei - IC
Colliculus superior,1,29907,Midbrain (M) - Superior colliculus and nearby nuclei - SC
Corpus amygdaloideum,7,222100,Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL || Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basomedial nucleus (accessory basal nucleus) - BM || Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La || Amygdaloid complex (AMY) - Central nuclear group - CEN || Amygdaloid complex (AMY) - corticomedial nuclear group - CMN || Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA || Extended amygdala (EXA) - Bed nucleus of stria terminalis and nearby - BNST
Corpus geniculatum laterale,1,48856,Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG)
Corpus geniculatum mediale,1,14226,Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - medial geniculate nuclei (MG)
Frontal lobe,8,328390,"Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24 || Cerebral cortex (Cx) - Gyrus rectus (ReG) - Medial orbitofrontal cortex - A14 || Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45 || Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46 || Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13 || Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C || Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32 || Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25"
Hippocampus,12,347947,Body of hippocampus (HiB) - Rostral CA1-2 || Body of hippocampus (HiB) - Rostral CA1-CA3 || Body of hippocampus (HiB) - Rostral CA3 || Body of hippocampus (HiB) - Rostral DG-CA4 || Head of hippocampus (HiH) - Subicular cortex - Sub || Head of hippocampus (HiH) - Uncal CA1 || Head of hippocampus (HiH) - Uncal CA1-CA3 || Head of hippocampus (HiH) - Uncal CA2-CA3 || Head of hippocampus (HiH) - Uncal DG-CA4 || Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3 || Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC || Tail of Hippocampus (HiT) - Subicular cortex - Sub
Insular lobe,3,113582,Cerebral cortex (Cx) - Frontal agranular insular cortex - FI || Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg || Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig
Nucleus accumbens,1,30132,Basal nuclei (BN) - Nucleus Accumbens - NAC
Nucleus dentatus cerebelli,1,52045,Cerebellum (CB) - Cerebellar deep nuclei - CbDN
Nucleus medial thalami,2,34298,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD || Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus + reuniens nucleus (medioventral nucleus) of thalamus - MD + Re
Nucleus ruber,1,4714,Midbrain (RN) - Red Nucleus - RN
Nucleus subthalamicus,1,20162,Thalamus (THM) - Subthalamic nucleus and nearby - STH
Occipital lobe,4,123847,"Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2 || Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro || Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C || Cerebral cortex (Cx) - Superior occipital gyrus (SOG) - Areas 19 and MT - A19"
Pallidum,2,81344,Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe || Basal nuclei (BN) - Globus pallidus (GP) - Internal segment of globus pallidus - GPi
Parietal lobe,4,155365,Cerebral cortex (Cx) - Parietal operculum (PaO) - Gustatory cortex - A43 || Cerebral cortex (Cx) - Postcentral gyrus (PoCG) - Primary somatosensory cortex - S1C || Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40 || Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7
Putamen,1,34416,Basal nuclei (BN) - Putamen - Pu
Substantia nigra,1,59505,Midbrain (M) - Substantia Nigra - SN
Temporal lobe,10,426389,"Cerebral cortex (Cx) - Anterior parahippocampal gyrus (AG) - Lateral entorhinal cortex - LEC || Cerebral cortex (Cx) - Anterior parahippocampal gyrus, posterior part (APH) - Medial entorhinal cortex - MEC || Cerebral cortex (Cx) - Inferior temporal gyrus - ITG || Cerebral cortex (Cx) - Middle Temporal Gyrus - MTG || Cerebral cortex (Cx) - Occipitotemporal (fusiform) gyrus, temporal part (FuGt) - Temporal area TF || Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36 || Cerebral cortex (Cx) - Posterior parahippocampal gyrus (PPH) - TH-TL || Cerebral cortex (Cx) - Superior Temporal Gyrus - STG || Cerebral cortex (Cx) - Temporal pole (TP) - Temporopolar area - A38 || Cerebral cortex (Cx) - Transverse temporal gyrus (TTG) - Primary auditory cortex - A1C"
Vermis,1,71874,Cerebellum (CB) - Cerebellar Vermis - CBV
