rcmr_term,match_column,match_value,match_mode,rule_label,matched_pattern
Basal forebrain,ROIGroupFine,Basal forebrain,exact_ci,exact rCMR term,Basal forebrain
Basal forebrain,ROIGroupFine,Basal forebrain,regex_ci,basal forebrain group or dissection pattern,^Basal forebrain$|Basal forebrain \(BF\)|septal nuclei|substantia innominata|\bSEP\b|\bSI\b
Basal forebrain,dissection,Basal forebrain (BF) - septal nuclei - SEP,regex_ci,basal forebrain group or dissection pattern,^Basal forebrain$|Basal forebrain \(BF\)|septal nuclei|substantia innominata|\bSEP\b|\bSI\b
Basal forebrain,dissection,Basal forebrain (BF) - substantia innominata and nearby nuclei - SI,regex_ci,basal forebrain group or dissection pattern,^Basal forebrain$|Basal forebrain \(BF\)|septal nuclei|substantia innominata|\bSEP\b|\bSI\b
Caudatum,dissection,Basal nuclei (BN) - Body of the Caudate - CaB,regex_ci,caudate pattern,Caudate|Body of the Caudate|\bCaB\b
Cerebellar cortex,dissection,Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL,regex_ci,cerebellar cortex or lateral hemisphere pattern,Cerebellar cortex|Lateral hemisphere of cerebellum|\bCBL\b
Colliculus inferior,dissection,Midbrain (M) - Inferior colliculus and nearby nuclei - IC,regex_ci,inferior colliculus pattern,Inferior colliculus|\bIC\b
Colliculus superior,dissection,Midbrain (M) - Superior colliculus and nearby nuclei - SC,regex_ci,superior colliculus pattern,Superior colliculus|\bSC\b
Corpus amygdaloideum,ROIGroupFine,Amygdaloid complex,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b
Corpus amygdaloideum,ROIGroupFine,Extended amygdala,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b
Corpus amygdaloideum,dissection,Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b
Corpus amygdaloideum,dissection,Amygdaloid complex (AMY) - Central nuclear group - CEN,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b
Corpus amygdaloideum,dissection,Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b
Corpus amygdaloideum,dissection,Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b
Corpus amygdaloideum,dissection,Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basomedial nucleus (accessory basal nucleus) - BM,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b
Corpus amygdaloideum,dissection,Amygdaloid complex (AMY) - corticomedial nuclear group - CMN,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b
Corpus amygdaloideum,dissection,Extended amygdala (EXA) - Bed nucleus of stria terminalis and nearby - BNST,regex_ci,amygdaloid group or dissection pattern,Amygdaloid complex|Amygdala|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|\bAMY\b|\bBLN\b|\bCEN\b|\bCMN\b
Corpus geniculatum laterale,dissection,Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG),regex_ci,lateral geniculate pattern,lateral geniculate|\bLG\b
Corpus geniculatum mediale,dissection,Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - medial geniculate nuclei (MG),regex_ci,medial geniculate pattern,medial geniculate|\bMG\b
Frontal lobe,dissection,"Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24",regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b)
Frontal lobe,dissection,Cerebral cortex (Cx) - Gyrus rectus (ReG) - Medial orbitofrontal cortex - A14,regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b)
Frontal lobe,dissection,Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45,regex_ci,cortical frontal pattern,^Cerebral cortex \(Cx\)(?!.*\binsular\b).*?(frontal|precentral|orbit|gyrus rectus|subcallosal|subgenual|rostral gyrus|motor cortex|\bMFC\b|\bOFC\b|\bPrCG\b|\bPOrG\b|\bSCG\b|\bMFG\b|\bIFG\b|\bRoG\b|\bReG\b|\bM1C\b|\bA44\b|\bA45\b|\bA46\b|\bA13\b|\bA14\b|\bA24\b|\bA25\b|\bA32\b)
