"anatomy_group","p_cells_Excitatory_projection","p_cells_Inhibitory_interneuron","p_cells_Inhibitory_projection_MSN","p_cells_Miscellaneous","p_cells_Splatter","rcmr_value","is_telencephalon","division","p_cells_Inhibitory_total_with_MSN","EI_ratio","log2_EI_ratio","p_cells_E_plus_I","log2_EI_ratio_pseudocount"
"Basal forebrain",0.0885711962068798,0.0922990383328704,0.568223605663041,0.00362305226194972,0.247283107535259,21.4,TRUE,"Telencephalon",0.660522643995912,0.959611257134161,-0.0594780129996898,0.18087023453975,-0.059412298349827
"Caudatum",0.000216789271745968,0.0071659409666043,0.907853824971811,0,0.0847634447898383,32.6,TRUE,"Telencephalon",0.915019765938416,0.030252729230715,-5.04679088970136,0.00738273023835027,-4.51955426072951
"Cerebellar cortex",0.959008821693237,0.0408866031433646,0,5.22875816993464e-05,5.22875816993464e-05,29.8,FALSE,"Non-telencephalon",0.0408866031433646,23.4553312812652,4.55184397237712,0.999895424836601,4.54847018107083
"Colliculus inferior",0.291466567311294,0.0971506088932144,0,6.45807845174324e-05,0.611318243010974,31.4,FALSE,"Non-telencephalon",0.0971506088932144,3.00015172968877,1.58503546543254,0.388617176204509,1.58404611343169
"Colliculus superior",0.0106494614288491,0.23071911458315,0,0.0379112075314898,0.720720216456511,24.4,FALSE,"Non-telencephalon",0.23071911458315,0.0461576902637212,-4.43728515661557,0.241368576011999,-4.42442641672196
"Corpus amygdaloideum",0.483755760921208,0.197469055349243,0.217897522734289,0.00397789824097873,0.0968997627542808,22.2,TRUE,"Telencephalon",0.415366578083533,2.44978009372475,1.29265225048019,0.681224816270451,1.29222003959612
"Corpus geniculatum laterale",0.588726800215815,0.31944177096223,9.83418107872045e-05,0.000182553332567593,0.0915505336785998,23.1,FALSE,"Non-telencephalon",0.319540112773018,1.8429862770997,0.882045328682179,0.908168571178045,0.881838801894758
"Corpus geniculatum mediale",0.248929003752647,0.630794931366917,0,0.00176006758659533,0.118515997293841,20.2,FALSE,"Non-telencephalon",0.630794931366917,0.394627463497882,-1.3414367331658,0.879723935119564,-1.34108598119907
"Frontal lobe",0.657410502762847,0.332857537955045,0.000365148940606992,0.00711073727494804,0.00225607306655345,35.3,TRUE,"Telencephalon",0.333222686895652,1.97505066822803,0.981889664866275,0.990268040717892,0.981675737261285
"Hippocampus",0.740432632218038,0.222930592929213,0.00269301037266659,0.0306176162118973,0.00332614826818475,25.7,TRUE,"Telencephalon",0.22562360330188,3.32135945313323,1.73177386652929,0.963363225147251,1.73132169348184
"Insular lobe",0.668202312764077,0.317477972142505,0.00148517587078304,0.00987997509662402,0.00295456412601074,30.3,TRUE,"Telencephalon",0.318963148013288,2.10472023698118,1.07362848053959,0.985680284906582,1.07339001919296
"Nucleus accumbens",0.00155824095893654,0.00482184751208021,0.897762785003836,3.48347093043508e-05,0.0958222918158432,32.3,TRUE,"Telencephalon",0.902584632515916,0.323162637356877,-1.62966768521299,0.00638008847101675,-1.56954630110043
"Nucleus dentatus cerebelli",0.803544837722614,0.0771953181708398,3.67674093683359e-05,0,0.119223076697178,24.2,FALSE,"Non-telencephalon",0.0772320855802082,10.4092431608909,3.37979327133227,0.880740155893453,3.37810512163562
"Nucleus medial thalami",0.36438249085504,0.582502892753896,3.59040643400833e-05,0,0.0530787123267237,36.6,FALSE,"Non-telencephalon",0.582538796818237,0.625546233997827,-0.676811577251863,0.946885383608936,-0.676663353302348
"Nucleus ruber",0.00693240901213172,0.874061236279607,0,0,0.119006354708261,31,FALSE,"Non-telencephalon",0.874061236279607,0.00793126239259749,-6.97823377149558,0.880993645291739,-6.95773661304186
"Nucleus subthalamicus",0.0307668924787216,0.360865033871808,0,0,0.60836807364947,25.2,FALSE,"Non-telencephalon",0.360865033871808,0.0852587244283995,-3.55200871873969,0.39163192635053,-3.5477269400299
"Occipital lobe",0.728480413964461,0.269004439594908,0,0.00201902509216874,0.00049612134846229,35.8,TRUE,"Telencephalon",0.269004439594908,2.70806093409267,1.43726020136649,0.997484853559369,1.43692202013266
"Pallidum",0.105702836485519,0.0327198855369426,0.612359892793023,0,0.249217385184516,21.9,TRUE,"Telencephalon",0.645079778329965,3.23053808871595,1.69177448481615,0.138422722022462,1.68873619300617
"Parietal lobe",0.646164637947613,0.349634577508618,5.45218403219431e-05,0.00304647867802414,0.0010997840254228,35.8,TRUE,"Telencephalon",0.34968909934894,1.84811422986814,0.886053930872568,0.995799215456231,0.885864613704003
"Putamen",0.0286558849081369,0.0245411601672154,0.89733765380793,0,0.0494653011167181,40.2,TRUE,"Telencephalon",0.921878813975145,1.16766626813423,0.223627995017277,0.0531970450753523,0.222787051320926
"Substantia nigra",0.179704416651561,0.360183828686979,0.000235626767200754,9.63391136801542e-05,0.459779788780579,22.8,FALSE,"Non-telencephalon",0.36041945545418,0.498924166880726,-1.00310754260946,0.53988824533854,-1.00270543882361
"Temporal lobe",0.635835073926876,0.343486660274537,0.00351075503728238,0.0142746945531325,0.00289281620817144,30.5,TRUE,"Telencephalon",0.34699741531182,1.85112013787864,0.888398529296711,0.979321734201414,0.888205455398172
"Vermis",0.848917692904145,0.150887216073827,0,0.00013097735643529,6.41136655927509e-05,30.1,FALSE,"Non-telencephalon",0.150887216073827,5.62617374084749,2.49215410494355,0.999804908977972,2.49136821552045
