"Dependent","Estimate","StdError","tValue","pValue"
"Volume",5.08826752792603,6.74337580358821,0.754557906326163,0.492503848306981
"VolumeSD",1.00864317216523,1.06266097799055,0.949167413743311,0.396282898859116
"Neuron_N",446119910.063,534445015.422425,0.834734906658988,0.450820768156628
"NeuronSD",62957343.6553018,57678112.9070327,1.09152918641389,0.336379614766736
"NeurDensity",6739323.50727234,3043699.72081329,2.21418803608904,0.0776940386388331
"Glia_N",465955506.48578,588920269.482326,0.791203038223434,0.473096885132682
"GliaSD",86850009.3597865,79420985.265566,1.09353981280111,0.335594623537813
"GliaDensity",6417747.0405895,2865320.03581157,2.23980112531191,0.0752334221894502
"Astro_N",140932518.417672,162593339.551671,0.866779160857841,0.434963186834465
"AstroSD",42688240.0301335,37535284.900898,1.13728296302641,0.318923806663249
"AstroDensity",1937319.82906582,253336.184479918,7.64722904879542,0.00157101133477426
"Oligo_N",250144482.325972,321931075.746843,0.777012538307047,0.480541128690722
"OligoSD",61263370.7620116,68375608.9527102,0.895982817562655,0.420909162858056
"OligoDensity",3508138.92550347,866032.752321151,4.05081553336281,0.0154653180087959
"Microglia_N",61326692.3567816,77312627.4400244,0.79322995980645,0.472040901915873
"MicroSD",19254392.0872408,18194653.7341963,1.05824449140534,0.34961738422732
"MicroDensity",816849.762117423,152425.533909936,5.35900869863494,0.00585020353271116
"GliaNeurDensityRatio",-0.220894947188124,0.0409502369566534,-5.39422879095782,0.00295604489918353
