rcmr_term,match_status,conflict_flag,n_candidate_rcmr_terms,candidate_rcmr_terms,assigned_column,assigned_value,assigned_match_mode,assigned_rule_label,assigned_pattern,candidate_evidence,n_obs_rows,ROIGroup,ROIGroupCoarse,ROIGroupFine,dissection
NA,excluded_ambiguous_anatomy,FALSE,1,Substantia nigra,dissection,"Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN",regex_ci,substantia nigra pattern,Substantia Nigra|\bSN\b,"dissection=Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN -> Substantia nigra",49110,Midbrain,Midbrain,Midbrain,"Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN"
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,22557,Paleocortex,Cerebral cortex,Cerebral cortex,Paleocortex (PalCx) - Anterior Olfactory Nucleus - AON
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,24190,Spinal cord,Spinal cord,Spinal cord,Spinal cord - SpC
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,31307,Thalamus,Thalamus,Thalamus,Thalamus (THM) - Anterior nuclear complex - ANC
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,8573,Thalamus,Thalamus,Thalamus,Thalamus (THM) - Lateral nuclear complex (LNC) - ventral anterior nucleus of thalamus - VA
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,27111,Thalamus,Thalamus,Thalamus,Thalamus (THM) - Lateral nuclear complex of thalamus (LNC) - ventral group of lateral nucleus - VLN
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,24354,Thalamus,Thalamus,Thalamus,Thalamus (THM) - intralaminar nuclear complex (ILN) - posterior group of intralaminar nuclei (PILN) - centromedian and parafasicular nuclei - CM and Pf
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,12944,Thalamus,Thalamus,Thalamus,Thalamus (THM) - intralaminar nuclear complex (ILN) - posterior group of intralaminar nuclei (PILN) - centromedian nucleus of thalamus - CM
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,46453,Thalamus,Thalamus,Thalamus,Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - Pulvinar of thalamus - Pul
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,17660,Thalamus,Thalamus,Thalamus,Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus + ventral posterior lateral nucleus - LP + VPL
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,26172,Thalamus,Thalamus,Thalamus,Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus - LP
NA,unmatched,FALSE,0,,NA,NA,NA,NA,NA,,6877,Thalamus,Thalamus,Thalamus,Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - ventral posterior lateral nucleus - VPL
