"variable","N_Stephan","N_volumes_wide","N_shared","n_Stephan_only","n_wide_only","n_DIFFERENT","max_abs_pct_diff"
"Preferred brain volume",59,53,53,6,0,23,25.49
"Corpus geniculatum laterale",49,43,43,6,0,4,37.22
"Amygdala",18,16,16,2,0,0,0
"Pallidum",27,23,22,5,1,0,0
"Neocortex white",24,21,21,3,0,0,0
"Insular cortex (grey)",30,26,25,5,1,1,5.09
"Nucleus subthalamicus Luysi",26,23,22,4,1,0,0
"Capsula interna",26,23,22,4,1,0,0
"Striatum",46,41,41,5,0,0,0
"Area striata grey",45,37,37,8,0,3,28.12
"Neocortex grey",24,21,21,3,0,0,0
"Mesencephalon",46,41,41,5,0,0,0
"Cerebellum",46,42,41,5,1,8,27.18
"Hippocampus",46,41,41,5,0,0,0
"Nucleus dentatus cerebelli",44,40,40,4,0,0,0
