"Species","variable","col_Stephan","col_wide","Stephan","volumes_wide","pct_diff","status","on_tree"
"Pan_troglodytes","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",250.7,344,37.22,"DIFFERENT","yes"
"Pan_troglodytes","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",8268.3,10593,28.12,"DIFFERENT","yes"
"Alouatta_seniculus","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",5699,4150,-27.18,"DIFFERENT","yes"
"Alouatta_seniculus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",50193.05,37400,-25.49,"DIFFERENT","yes"
"Macaca_mulatta","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",8965,7233.33333333333,-19.32,"DIFFERENT","yes"
"Aotus_trivirgatus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",16505.79,19125,15.87,"DIFFERENT","yes"
"Erythrocebus_patas","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",103167,89000,-13.73,"DIFFERENT","yes"
"Hylobates_lar","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",4086.7,4574,11.92,"DIFFERENT","yes"
"Cercopithecus_mitis","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",150,167.2,11.47,"DIFFERENT","yes"
"Erythrocebus_patas","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",8738,7900,-9.59,"DIFFERENT","yes"
"Saimiri_sciureus","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",2260,2050,-9.29,"DIFFERENT","yes"
"Lophocebus_albigena","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",10726,11700,9.08,"DIFFERENT","yes"
"Pan_troglodytes","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",43663,47100,7.87,"DIFFERENT","yes"
"Callithrix_pygmaea","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",4005.8,4302,7.39,"DIFFERENT","yes"
"Aotus_trivirgatus","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",1873,1750,-6.57,"DIFFERENT","yes"
"Avahi_laniger","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",9256.8,9798,5.85,"DIFFERENT","yes"
"Macaca_mulatta","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",89768.34,84880,-5.45,"DIFFERENT","yes"
