"Species","on_tree","in_Stephan","in_volumes_wide","Preferred_brain_volume_Stephan","Preferred_brain_volume_volumes_wide","Preferred_brain_volume_pct_diff","Preferred_brain_volume_status","Corpus_geniculatum_laterale_Stephan","Corpus_geniculatum_laterale_volumes_wide","Corpus_geniculatum_laterale_pct_diff","Corpus_geniculatum_laterale_status","Amygdala_Stephan","Amygdala_volumes_wide","Amygdala_pct_diff","Amygdala_status","Pallidum_Stephan","Pallidum_volumes_wide","Pallidum_pct_diff","Pallidum_status","Neocortex_white_Stephan","Neocortex_white_volumes_wide","Neocortex_white_pct_diff","Neocortex_white_status","Insular_cortex_grey_Stephan","Insular_cortex_grey_volumes_wide","Insular_cortex_grey_pct_diff","Insular_cortex_grey_status","Nucleus_subthalamicus_Luysi_Stephan","Nucleus_subthalamicus_Luysi_volumes_wide","Nucleus_subthalamicus_Luysi_pct_diff","Nucleus_subthalamicus_Luysi_status","Capsula_interna_Stephan","Capsula_interna_volumes_wide","Capsula_interna_pct_diff","Capsula_interna_status","Striatum_Stephan","Striatum_volumes_wide","Striatum_pct_diff","Striatum_status","Area_striata_grey_Stephan","Area_striata_grey_volumes_wide","Area_striata_grey_pct_diff","Area_striata_grey_status","Neocortex_grey_Stephan","Neocortex_grey_volumes_wide","Neocortex_grey_pct_diff","Neocortex_grey_status","Mesencephalon_Stephan","Mesencephalon_volumes_wide","Mesencephalon_pct_diff","Mesencephalon_status","Cerebellum_Stephan","Cerebellum_volumes_wide","Cerebellum_pct_diff","Cerebellum_status","Hippocampus_Stephan","Hippocampus_volumes_wide","Hippocampus_pct_diff","Hippocampus_status","Nucleus_dentatus_cerebelli_Stephan","Nucleus_dentatus_cerebelli_volumes_wide","Nucleus_dentatus_cerebelli_pct_diff","Nucleus_dentatus_cerebelli_status"
"Alouatta_caraya","yes","yes","yes",53861,53861,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",272,272,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Ateles_geoffroyi","yes","yes","yes",102700,102700,0,"same",151,151,0,"same",,,,"both_missing",807,807,0,"same",,,,"both_missing",416,416,0,"same",52.8,52.8,0,"same",570,570,0,"same",4950,4950,0,"same",3753,3753,0,"same",,,,"both_missing",1482,1482,0,"same",12438,12438,0,"same",1366,1366,0,"same",114.79,114.79,0,"same"
"Avahi_laniger","yes","yes","yes",9256.8,9798,5.85,"DIFFERENT",27.6,27.6,0,"same",,,,"both_missing",74.5,,,"Stephan_only",,,,"both_missing",38,,,"Stephan_only",5.94,,,"Stephan_only",105,,,"Stephan_only",524,524,0,"same",475,475,0,"same",,,,"both_missing",343,343,0,"same",1489,1489,0,"same",526,526,0,"same",14.46,14.46,0,"same"
"Callithrix_pygmaea","yes","yes","yes",4005.8,4302,7.39,"DIFFERENT",16.9,,,"Stephan_only",,,,"both_missing",25.8,25.8,0,"same",395.3,395.3,0,"same",11,,,"Stephan_only",1.95,1.95,0,"same",21.8,21.8,0,"same",174,174,0,"same",363,363,0,"same",2139,2139,0,"same",192,192,0,"same",468,468,0,"same",133,133,0,"same",4.35,4.35,0,"same"
"Cebus_albifrons","yes","yes","yes",77027,77027,0,"same",137,137,0,"same",502,502,0,"same",567,567,0,"same",15799,15799,0,"same",297,297,0,"same",41.7,41.7,0,"same",549,549,0,"same",3258,3258,0,"same",3764,3764,0,"same",30630,30630,0,"same",1221,1221,0,"same",7871,7871,0,"same",890,890,0,"same",99.52,99.52,0,"same"
"Cercocebus_agilis","yes","yes","yes",91988,91988,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",379,379,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Cercopithecus_mitis","yes","yes","yes",69112,69112,0,"same",150,167.2,11.47,"DIFFERENT",,,,"both_missing",,,,"both_missing",,,,"both_missing",614,614,0,"same",,,,"both_missing",,,,"both_missing",2733,2733,0,"same",4232,4232,0,"same",,,,"both_missing",1354,1354,0,"same",6758,6758,0,"same",1366,1366,0,"same",82.38,82.38,0,"same"
"Colobus_angolensis","yes","yes","yes",71815,71815,0,"same",103,103,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",222,222,0,"same",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Galagoides_demidoff","yes","yes","yes",3185.3,3185.3,0,"same",10.9,10.9,0,"same",50.2,50.2,0,"same",17,17,0,"same",150.6,150.6,0,"same",12,12,0,"same",1.4,1.4,0,"same",18.4,18.4,0,"same",169,169,0,"same",214,214,0,"same",1417,1417,0,"same",135,135,0,"same",413,413,0,"same",152,152,0,"same",3.06,3.06,0,"same"
"Gorilla_gorilla","yes","yes","yes",401785,,,"Stephan_only",308.5,,,"Stephan_only",,,,"both_missing",2604,,,"Stephan_only",,,,"both_missing",2146,,,"Stephan_only",178,,,"Stephan_only",2471,,,"Stephan_only",14567,,,"Stephan_only",9129,,,"Stephan_only",,,,"both_missing",4352,,,"Stephan_only",69249,,,"Stephan_only",4781,,,"Stephan_only",534.6,,,"Stephan_only"
