"Species","in_Stephan","in_volumes_wide","on_tree","verdict"
"Crocidura_flavescens",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Crocidura_russula",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Desmana_moschata",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Echinops_telfairi",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Elephantulus_fuscipes",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Erinaceus_europaeus",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Eulemur_albifrons",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Galemys_pyrenaicus",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Gorilla_sp.",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Hemicentetes_semispinosus",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Hemiechinus_auritus",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Homo_sapiens_sapiens",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Lagothrix_lagothricha",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Microgale_cowani",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Microgale_mergulus",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Micropotamogale_lamottei",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Neomys_fodiens",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Nesogale_dobsoni",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Nesogale_talazaci",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Oryzorictes_hova",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Papio_cynocephalus",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Pongo_sp.",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Potamogale_velox",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Rhynchocyon_cirnei",FALSE,TRUE,FALSE,"not on tree - never modelled"
"S._oedipus",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Sapajus_apella",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Setifer_setosus",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Solenodon_paradoxus",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Sorex_araneus",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Sorex_minutus",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Suncus_murinus",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Talpa_europaea",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Tarsius_sp.",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Tarsius_spp.",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Tenrec_ecaudatus",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Tupaia_glis",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Tupaia_minor",FALSE,TRUE,FALSE,"not on tree - never modelled"
"Urogale_everetti",FALSE,TRUE,FALSE,"not on tree - never modelled"
