dissection,ROIGroup,ROIGroupCoarse,ROIGroupFine,roi
"Hypothalamus (HTH) - supraoptic region of HTH - HTHso (anterior hypothalamic nucleus, AHN) - tuberal region of HTH - HTHtub (ventromedial hypothalamic nucleus, VMH)",Hypothalamus,Hypothalamus,Hypothalamus,Human HTHso-HTHtub
Hypothalamus (HTH) - tuberal region of hypothalamus - HTHtub,Hypothalamus,Hypothalamus,Hypothalamus,Human HTHtub
Midbrain (M) - Inferior colliculus and nearby nuclei - IC,Midbrain,Midbrain,Midbrain,Human IC
Midbrain (M) - Periaqueductal gray and Dorsal raphe nucleus - PAG-DR,Midbrain,Midbrain,Midbrain,Human PAG-DR
Midbrain (M) - Periaqueductal gray and nearby nuclei - PAG,Midbrain,Midbrain,Midbrain,Human PAG
Midbrain (M) - Pretectal region - PTR,Midbrain,Midbrain,Midbrain,Human PTR
Midbrain (M) - Substantia Nigra - SN,Midbrain,Midbrain,Midbrain,Human SN
"Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN",Midbrain,Midbrain,Midbrain,Human SN-RN
Midbrain (M) - Superior colliculus and nearby nuclei - SC,Midbrain,Midbrain,Midbrain,Human SC
Midbrain (RN) - Red Nucleus - RN,Midbrain,Midbrain,Midbrain,Human RN
Myelencephalon (medulla oblongata) (Mo) - afferent nuclei of cranial nerves in medulla oblongata - MoAN,Hindbrain,Myelencephalon,Myelencephalon,Human MoAN
Myelencephalon (medulla oblongata) (Mo) - medullary reticular formation (MoRF) & efferent nuclei of cranial nerves in the medulla oblongata (MoEN) - MoRF-MoEN,Hindbrain,Myelencephalon,Myelencephalon,Human MoRF-MoEN
Myelencephalon (medulla oblongata) (Mo) - precerebellar nuclei (PrCbN) - inferior olive - IO,Hindbrain,Myelencephalon,Myelencephalon,Human IO
Myelencephalon (medulla oblongata) (Mo) - sensory relay nuclei in medulla oblongata - MoSR,Hindbrain,Myelencephalon,Myelencephalon,Human MoSR
Paleocortex (PalCx) - Anterior Olfactory Nucleus - AON,Cerebral cortex,Cerebral cortex,Cerebral cortex,Human AON
Paleocortex (PalCx) - Anterior Olfactory Nucleus - AON,Paleocortex,Cerebral cortex,Cerebral cortex,Human AON
Paleocortex (PalCx) - Piriform cortex - Pir,Cerebral cortex,Cerebral cortex,Cerebral cortex,Human Pir
Perirhinal cortex (area 35) (A35) - rostral subdivision of area 35 - A35r,Cerebral cortex,Cerebral cortex,Cerebral cortex,Human A35r
Pons (Pn) - Pontine Nucleus - PN,Hindbrain,Pons,Pons,Human PN
