"obs_dataset","roi","n_obs_rows","anatomy_id","anatomy_group","is_cerebral_cortex","is_neocortex","is_telencephalon","mapping_status"
"neuronal","Human A13",32640,"frontal_lobe","Frontal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human A14",13475,"frontal_lobe","Frontal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human A19",26788,"occipital_lobe","Occipital lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human A1C",30183,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human A25",35104,"frontal_lobe","Frontal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human A32",22759,"frontal_lobe","Frontal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human A35-A36",21712,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human A35r",44,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human A38",34477,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human A40",36003,"parietal_lobe","Parietal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human A43",39038,"parietal_lobe","Parietal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human A44-A45",35704,"frontal_lobe","Frontal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human A46",27929,"frontal_lobe","Frontal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human A5-A7",32532,"parietal_lobe","Parietal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human BL",30689,"amygdala","Corpus amygdaloideum",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human BM",26284,"amygdala","Corpus amygdaloideum",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human BNST",31277,"amygdala","Corpus amygdaloideum",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human CA1C-CA3C",32438,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human CA1R-CA2R",9696,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human CA1R-CA2R-CA3R",21714,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human CA1U",14753,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human CA1U-CA2U-CA3U",31180,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human CA2U-CA3U",11276,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human CA3R",4801,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human CA4C-DGC",36624,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human CBL",24810,"cerebellar_cortex","Cerebellar cortex",FALSE,FALSE,FALSE,"mapped"
"neuronal","Human CBV",54741,"vermis","Vermis",FALSE,FALSE,FALSE,"mapped"
"neuronal","Human CEN",30052,"amygdala","Corpus amygdaloideum",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human CMN",34365,"amygdala","Corpus amygdaloideum",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human CaB",29891,"caudate_nucleus","Caudatum",FALSE,FALSE,TRUE,"mapped"
"neuronal","Human CbDN",23393,"dentate_nucleus","Nucleus dentatus cerebelli",FALSE,FALSE,FALSE,"mapped"
"neuronal","Human CoA",8302,"amygdala","Corpus amygdaloideum",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human DGR-CA4Rpy",25671,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human DGU-CA4Upy",22019,"hippocampus","Hippocampus",TRUE,FALSE,TRUE,"mapped"
"neuronal","Human FI",32611,"insular_lobe","Insular lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human GPe",15262,"pallidum","Pallidum",FALSE,FALSE,TRUE,"mapped"
"neuronal","Human GPi",1726,"pallidum","Pallidum",FALSE,FALSE,TRUE,"mapped"
"neuronal","Human IC",28016,"inferior_colliculus","Colliculus inferior",FALSE,FALSE,FALSE,"mapped"
"neuronal","Human ITG",26611,"temporal_lobe","Temporal lobe",TRUE,TRUE,TRUE,"mapped"
"neuronal","Human Idg",36455,"insular_lobe","Insular lobe",TRUE,TRUE,TRUE,"mapped"
