"Heiss_region","rCMRGlc","MH_vol_cc","NT_rel","EH_rel","MH_rel","budget_NT","budget_EH","budget_MH"
"Frontal lobe",35.3,317.105,0.9847,1.0012,1,114.1919,116.1019,115.9678
"Parietal lobe",35.8,174.145,0.9774,0.9693,1,63.1268,62.605,64.5883
"Temporal lobe",30.5,173.77,1.0405,0.9947,1,57.1319,54.6194,54.9078
"Occipital lobe",35.8,133.69,1.0545,1.0555,1,52.2879,52.3366,49.584
"Cerebellar cortex",29.8,128.27,0.9454,0.9955,1,37.4385,39.4239,39.6005
"Vermis",30.1,12.38,0.965,1.01,1,3.7254,3.8991,3.8605
