Species,Preferred_brain_volume,raw_region,Region_volume,Structure,rCMRGlc
Avahi_laniger,9256.8,Total_insula_volume_L,38,Insular cortex (grey),30.3
Avahi_laniger,9256.8,Nucleus_subthalamicus,5.94,Nucleus subthalamicus Luysi,25.2
Avahi_laniger,9256.8,Capsula_interna,105,Capsula interna,25.5
Avahi_laniger,9256.8,Striatum,524,Striatum,36.2663366336634
Avahi_laniger,9256.8,ASG_Sousa,475,Area striata grey,35.8
Avahi_laniger,9256.8,NeoG_Frahm,,Neocortex grey,33.5
Avahi_laniger,9256.8,Mesencephalon,343,Mesencephalon,25.2727272727273
Avahi_laniger,9256.8,Cerebellum,1489,Cerebellum,29.7507692307692
Avahi_laniger,9256.8,Hippocampus,526,Hippocampus,25.7
Avahi_laniger,9256.8,Lateral_cerebellar_nuclei,14.46,Nucleus dentatus cerebelli,24.2
Avahi_occidentalis,9124,LGN_Sousa,29.3,Corpus geniculatum laterale,23.1
Avahi_occidentalis,9124,Amygdala,,Amygdala,22.2
Avahi_occidentalis,9124,Pallidum,,Pallidum,21.9
Avahi_occidentalis,9124,NeoW_Frahm,777,Neocortex white,12.3
Avahi_occidentalis,9124,Total_insula_volume_L,,Insular cortex (grey),30.3
Avahi_occidentalis,9124,Nucleus_subthalamicus,,Nucleus subthalamicus Luysi,25.2
Avahi_occidentalis,9124,Capsula_interna,,Capsula interna,25.5
Avahi_occidentalis,9124,Striatum,478,Striatum,36.2663366336634
Avahi_occidentalis,9124,ASG_Sousa,450,Area striata grey,35.8
Avahi_occidentalis,9124,NeoG_Frahm,3666,Neocortex grey,33.5
Avahi_occidentalis,9124,Mesencephalon,345,Mesencephalon,25.2727272727273
Avahi_occidentalis,9124,Cerebellum,1383,Cerebellum,29.7507692307692
Avahi_occidentalis,9124,Hippocampus,476,Hippocampus,25.7
Avahi_occidentalis,9124,Lateral_cerebellar_nuclei,11.3,Nucleus dentatus cerebelli,24.2
Callimico_goeldii,10510,LGN_Sousa,,Corpus geniculatum laterale,23.1
Callimico_goeldii,10510,Amygdala,,Amygdala,22.2
Callimico_goeldii,10510,Pallidum,,Pallidum,21.9
Callimico_goeldii,10510,NeoW_Frahm,,Neocortex white,12.3
Callimico_goeldii,10510,Total_insula_volume_L,,Insular cortex (grey),30.3
Callimico_goeldii,10510,Nucleus_subthalamicus,,Nucleus subthalamicus Luysi,25.2
Callimico_goeldii,10510,Capsula_interna,,Capsula interna,25.5
Callimico_goeldii,10510,Striatum,493,Striatum,36.2663366336634
Callimico_goeldii,10510,ASG_Sousa,,Area striata grey,35.8
Callimico_goeldii,10510,NeoG_Frahm,,Neocortex grey,33.5
Callimico_goeldii,10510,Mesencephalon,340,Mesencephalon,25.2727272727273
Callimico_goeldii,10510,Cerebellum,1240,Cerebellum,29.7507692307692
Callimico_goeldii,10510,Hippocampus,281,Hippocampus,25.7
Callimico_goeldii,10510,Lateral_cerebellar_nuclei,,Nucleus dentatus cerebelli,24.2
Callithrix_jacchus,7335.91,LGN_Sousa,25.1,Corpus geniculatum laterale,23.1
Callithrix_jacchus,7335.91,Amygdala,113,Amygdala,22.2
Callithrix_jacchus,7335.91,Pallidum,,Pallidum,21.9
Callithrix_jacchus,7335.91,NeoW_Frahm,807.1,Neocortex white,12.3
Callithrix_jacchus,7335.91,Total_insula_volume_L,,Insular cortex (grey),30.3
Callithrix_jacchus,7335.91,Nucleus_subthalamicus,,Nucleus subthalamicus Luysi,25.2
Callithrix_jacchus,7335.91,Capsula_interna,,Capsula interna,25.5
Callithrix_jacchus,7335.91,Striatum,372,Striatum,36.2663366336634
Callithrix_jacchus,7335.91,ASG_Sousa,566,Area striata grey,35.8
Callithrix_jacchus,7335.91,NeoG_Frahm,3564,Neocortex grey,33.5
Callithrix_jacchus,7335.91,Mesencephalon,295,Mesencephalon,25.2727272727273
Callithrix_jacchus,7335.91,Cerebellum,757,Cerebellum,29.7507692307692
Callithrix_jacchus,7335.91,Hippocampus,221,Hippocampus,25.7
Callithrix_jacchus,7335.91,Lateral_cerebellar_nuclei,7.93,Nucleus dentatus cerebelli,24.2
Callithrix_pygmaea,4005.8,LGN_Sousa,16.9,Corpus geniculatum laterale,23.1
Callithrix_pygmaea,4005.8,Amygdala,,Amygdala,22.2
Callithrix_pygmaea,4005.8,Pallidum,25.8,Pallidum,21.9
Callithrix_pygmaea,4005.8,NeoW_Frahm,395.3,Neocortex white,12.3
Callithrix_pygmaea,4005.8,Total_insula_volume_L,11,Insular cortex (grey),30.3
Callithrix_pygmaea,4005.8,Nucleus_subthalamicus,1.95,Nucleus subthalamicus Luysi,25.2
Callithrix_pygmaea,4005.8,Capsula_interna,21.8,Capsula interna,25.5
Callithrix_pygmaea,4005.8,Striatum,174,Striatum,36.2663366336634
Callithrix_pygmaea,4005.8,ASG_Sousa,363,Area striata grey,35.8
Callithrix_pygmaea,4005.8,NeoG_Frahm,2139,Neocortex grey,33.5
Callithrix_pygmaea,4005.8,Mesencephalon,192,Mesencephalon,25.2727272727273
Callithrix_pygmaea,4005.8,Cerebellum,468,Cerebellum,29.7507692307692
Callithrix_pygmaea,4005.8,Hippocampus,133,Hippocampus,25.7
Callithrix_pygmaea,4005.8,Lateral_cerebellar_nuclei,4.35,Nucleus dentatus cerebelli,24.2
Cebus_albifrons,77027,LGN_Sousa,137,Corpus geniculatum laterale,23.1
Cebus_albifrons,77027,Amygdala,502,Amygdala,22.2
Cebus_albifrons,77027,Pallidum,567,Pallidum,21.9
Cebus_albifrons,77027,NeoW_Frahm,15799,Neocortex white,12.3
Cebus_albifrons,77027,Total_insula_volume_L,297,Insular cortex (grey),30.3
Cebus_albifrons,77027,Nucleus_subthalamicus,41.7,Nucleus subthalamicus Luysi,25.2
Cebus_albifrons,77027,Capsula_interna,549,Capsula interna,25.5
Cebus_albifrons,77027,Striatum,3258,Striatum,36.2663366336634
Cebus_albifrons,77027,ASG_Sousa,3764,Area striata grey,35.8
Cebus_albifrons,77027,NeoG_Frahm,30630,Neocortex grey,33.5
Cebus_albifrons,77027,Mesencephalon,1221,Mesencephalon,25.2727272727273
