Species,Specimen,group_arterial,sapiens_grade,method,scope,BGU_umol_min,ratio_MH,lwr,hi
H. sapiens,Skhul 5,EH/MH,early,Boyer_ACA_ecvpred,whole_brain,477.6,1.127,,
H. rudolfensis,KNM-ER 1470,early Homo,NA,Boyer_ACA_ecvpred,whole_brain,258.6,0.610,,
H. heidelbergensis,Ndutu,early Homo,NA,Boyer_ACA_ecvpred,whole_brain,360.3,0.850,,
H. heidelbergensis,Kabwe (Broken Hill),early Homo,NA,Boyer_ACA_ecvpred,whole_brain,423.8,1.000,,
H. erectus (soloensis),Ngandong 14 (Solo XI),early Homo,NA,Boyer_ACA_ecvpred,whole_brain,357.4,0.843,,
H. erectus,KNM-ER 42700 (IIIeret),early Homo,NA,Boyer_ACA_ecvpred,whole_brain,240.3,0.567,,
H. erectus,Sangiran 12,early Homo,NA,Boyer_ACA_ecvpred,whole_brain,348.6,0.822,,
H. erectus,OH 9,early Homo,NA,Boyer_ACA_ecvpred,whole_brain,350.9,0.828,,
H. erectus,Sambungmacan 3,early Homo,NA,Boyer_ACA_ecvpred,whole_brain,307.5,0.725,,
H. habilis,OH 24,early Homo,NA,Boyer_ACA_ecvpred,whole_brain,209.3,0.494,,
H. georgicus,Dmanisi D2700,early Homo,NA,Boyer_ACA_ecvpred,whole_brain,212.4,0.501,,
A. africanus,Sts 5,Australopithecus,NA,Boyer_ACA_ecvpred,whole_brain,176.5,0.416,,
A. africanus,Sts 19,Australopithecus,NA,Boyer_ACA_ecvpred,whole_brain,160.8,0.379,,
A. africanus,MLD 37 / 38,Australopithecus,NA,Boyer_ACA_ecvpred,whole_brain,160.5,0.379,,
A. africanus,STW 53g,Australopithecus,NA,Boyer_ACA_ecvpred,whole_brain,169.2,0.399,,
A. africanus,STW 329h,Australopithecus,NA,Boyer_ACA_ecvpred,whole_brain,169.2,0.399,,
A. africanus,STS 25h,Australopithecus,NA,Boyer_ACA_ecvpred,whole_brain,169.2,0.399,,
A. africanus,STW 98h,Australopithecus,NA,Boyer_ACA_ecvpred,whole_brain,169.2,0.399,,
A. africanus,STW 255h,Australopithecus,NA,Boyer_ACA_ecvpred,whole_brain,169.2,0.399,,
A. afarensis,AL 333-105,Australopithecus,NA,Boyer_ACA_ecvpred,whole_brain,149.2,0.352,,
A. afarensis,AL 166-9,Australopithecus,NA,Boyer_ACA_ecvpred,whole_brain,185.6,0.438,,
H. naledi,DH3 (Rising Star),early Homo,NA,Boyer_ACA_ecvpred,whole_brain,168.5,0.398,,
H. neanderthalensis,Gibraltar (Forbes Quarry),NT,NA,s4_volume,cortical+cerebellar,267.7,0.815,,
H. neanderthalensis,La Chapelle-aux-Saints,NT,NA,s4_volume,cortical+cerebellar,341.6,1.040,,
H. sapiens,Skhul 5,EH/MH,early,s4_volume,cortical+cerebellar,316.7,0.964,,
