"source_region","anatomy_id","Volume","VolumeSD","Neuron_N","NeuronSD","NeurDensity","Glia_N","GliaSD","GliaDensity","Astro_N","AstroSD","AstroDensity","Oligo_N","OligoSD","OligoDensity","Microglia_N","MicroSD","MicroDensity","GliaNeurDensityRatio"
"Cerebral cortex (global average)","cerebral_cortex",403,68.51,1.78e+10,1.97e+09,44100000,19147299767,2.81e+09,47500000,5297233625,1.02e+09,13100000,10476759772,2.3e+09,2.6e+07,2478686958,6.47e+08,6150000,1.08
"Frontal lobe","frontal_lobe",157,31.4,6.06e+09,3.61e+08,38600000,7.38e+09,1.39e+09,4.7e+07,2.45e+09,1.01e+09,15600000,3.9e+09,1.09e+09,24900000,1.06e+09,2.83e+08,6720000,1.22
"Parietal lobe","parietal_lobe",91.8,16.524,3.95e+09,8.75e+08,4.3e+07,4.1e+09,5.77e+08,44700000,1.25e+09,2.75e+08,13700000,2.15e+09,4.23e+08,23400000,5.21e+08,2.08e+08,5680000,1.04
"Temporal lobe","temporal_lobe",105,21,4.18e+09,1.26e+09,39800000,4.81e+09,8.14e+08,45800000,1.25e+09,1.2e+08,11900000,2.77e+09,8.14e+08,26400000,5.86e+08,1.88e+08,5590000,1.15
"Occipital lobe","occipital_lobe",48.5,13.58,3.58e+09,1.12e+09,73900000,2.86e+09,9.45e+08,58900000,7.47e+08,1.95e+08,15400000,1.66e+09,5.54e+08,34100000,3.16e+08,1.46e+08,6510000,0.797
"Nucleus accumbens","nucleus_accumbens",,,,,28734,,,58750,,,,,,,,,,2.04
"Corpus amygdaloideum","amygdala",2.76,0.228393184,24420000,1282.173634,8850000,100100000,13170000,36300000,1.8e+07,3926000,6520000,57150000,10870000,20700000,14930000,2689000,5410000,4.1
