Species,Preferred_brain_volume,LGN_Sousa,Amygdala,Pallidum,NeoW_Frahm,Total_insula_volume_L,Nucleus_subthalamicus,Capsula_interna,Striatum,ASG_Sousa,NeoG_Frahm,Mesencephalon,Cerebellum,Hippocampus,Lateral_cerebellar_nuclei,Species_Stephan_file,Code_number_Stephan,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc,Total_brain_net_volume,Medulla_oblongata,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Schizocortex,NeoWG,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Tractus_opticus,Palaeocortex,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_cortico_basolateralis,Nucleus_amygdalae_basalis_parsmagnocellularis,Brainvol,Pons,Body_mass,Brain_mass,Brain_volume,Granular_volume_L,Dysgranular_volume_L,Agranular_volume_L,FI_volume_L,Number.of.individuals.vestibular.complex,Complexus.vestibularis,Nucleus.vestibularis.superior,Nucleus.vestibularis.lateralis,Nucleus.vestibularis.medialis,Nucleus.vestibularis.descendens,Number.of.individuals.periventrucular,Nucleus.septalis.triangularis,Corpus.subfornicale,Nucleus.habenularis.medialis,Corpus.pineale,Corpus.subcommissurale,Prefrontal.Gray,Other.cortical.association.areas.Gray,Frontal.motor.Gray,Primary.visual.White.Smaers,Prefrontal.White,Other.cortical.association.areas.White,Frontal.motor,Species_Matano1985a,code_Matano1985a,Body_weight_1985a,Cerebellar_nuclei_total,Interpositus_cerebellar_nuclei,Medial_cerebellar_nuclei,Number_cerebellar_nuclei
Alouatta_caraya,53861,,,,,272,,,,,,,,,,,Bauernfeind,6420,55800,,,,,,,,,,,,,,,,,,,,,,,,,6420,55800,53861,89,141,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ateles_geoffroyi,102700,151,,807,,416,52.8,570,4950,3753,,1482,12438,1366,114.79,Ateles geoffroyi,_0184,8000,108000,1389,1824,101034,1834,5334,79946,90.4,2.19,1625,324,732,70856,30.5,2930,629,860,204,,,,,,104247.1,,7780,106400,102700,100,181,135,,1,49.7,7.2,6.81,23.8,11.9,2,3.18,0.44,7.29,3.1,0.61,2.77,32.93,3.12,0.99,0.29,10.33,1.59,Ateles geoffroyi,3371,8000,209.17,59.75,34.63,1
Avahi_laniger,9256.8,27.6,,74.5,,38,5.94,105,524,475,,343,1489,526,14.46,Avahi laniger,_0130,1285,10490,172,156,9798,553,862,6550,89.2,3.01,284,69.7,241,4813,6.52,489,137,80.5,38.3,,,,,,,60.9,1030,9600,9256.8,13,18,7,,,,,,,,1,1.29,0.12,2.21,0.7,0.14,,,,,,,,Avahi l. laniger,3243,1285,37.89,11.28,12.15,1
Callithrix_pygmaea,4005.8,16.9,,25.8,395.3,11,1.95,21.8,174,363,2139,192,468,133,4.35,Callithrix pygmaea,_0156,140,4500,24.5,16.9,4302,201,342,3099,12.3,0.39,133,29.2,81.8,2535,3.68,190,69.2,27.7,23.8,,,,,,4343.63,17.5,110,4200,4005.8,3,7,1,,1,11.1,2.1,2.94,4.11,1.96,,,,,,,,,,,,,,Cebuella pygmaea,3289,120,11.48,3.2,3.93,2
Cebus_albifrons,77027,137,502,567,15799,297,41.7,549,3258,3764,30630,1221,7871,890,99.52,Cebus albifrons,_0191,3100,71000,729,864,66939,1738,3996,52113,39.9,0.67,931,174,390,46429,23.7,2163,418,609,207,567,118,0,384,41,68532.82,682.2,3180,79800,77027,108,155,34,,1,50.2,11.2,7.45,19.2,12.3,2,1.5,0.41,4.9,3.8,0.43,1.43,21.02,1.98,0.94,0.26,12.05,1.43,Cebus albifrons,3317,3100,173.18,38.98,34.68,1
Cercocebus_agilis,91988,,,,,379,,,,,,,,,,,Bauernfeind,5660,95300,,,,,,,,,,,,,,,,,,,,,,,,,5660,95300,91988,158,116,105,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_mitis,69112,150,,,,614,,,2733,4232,,1354,6758,1366,82.38,Cercopithecus mitis,_0227,6300,75000,467,1363,70564,1999,4176,56277,117,0,1265,246,617,49933,,,,,,,,,,,72393.82,517.6,5480,71600,69112,134,391,89,,,,,,,,1,1.96,0.43,5.38,15.3,0.26,1.38,19.39,1.85,1.04,0.21,9.91,0.95,Cercopithecus mitis,3453,6300,171.16,54.55,34.23,1
Colobus_angolensis,71815,103,,,,222,,,,,,,,,,,Bauernfeind,9680,74400,,,,,,,,,,,,,,,,,,,,,,,,,9680,74400,71815,38,152,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galagoides_demidoff,3185.3,10.9,50.2,17,150.6,12,1.4,18.4,169,214,1417,135,413,152,3.06,Galagoides demidoff,_0142,81,3380,30.4,28.8,3203,169,246,2240,83.1,1.26,181,25.7,59.9,1568,2.09,153,45.1,18.3,11.5,122,14.9,0.62,35.3,2.82,3262.55,13.6,63,3300,3185.3,5,5,2,,2,6.65,1.02,1.01,2.72,1.9,2,0.45,0.02,0.78,0.38,0.03,,,,,,,,Galagoides demidoff,3275,81,8.22,2.08,3.08,2
Gorilla_gorilla,401785,308.5,,2604,,2146,178,2471,14567,9129,,4352,69249,4781,534.6,Gorilla gorilla,_0279,105000,500000,3608,8659,470359,7509,19370,369878,316,0,4871,1173,2729,341444,106,10547,2215,2782,671,,,,,,398648.65,5400.6,102342.5,416250,401785,394.5,948.75,570,232,1,136,34.7,19.5,58.4,23.6,2,5.79,1.3,23.9,7.96,1.41,11.64,125.54,14.85,3.12,2.61,60.39,10.3,Gorilla gorilla,3551,105000,740.4,112.36,93.44,2
