"input_species","binomial","status","on_trees","matched_tip","matched_via","match_source","order_assigned","order_source","note"
"Alouatta_caraya","Alouatta caraya","matched_direct",TRUE,"Alouatta_caraya","Alouatta caraya","accepted_name","Primates","tree_tip_crosswalk",""
"Alouatta_seniculus","Alouatta seniculus","matched_direct",TRUE,"Alouatta_seniculus","Alouatta seniculus","accepted_name","Primates","tree_tip_crosswalk",""
"Aotus_trivirgatus","Aotus trivirgatus","matched_direct",TRUE,"Aotus_trivirgatus","Aotus trivirgatus","accepted_name","Primates","tree_tip_crosswalk",""
"Ateles_geoffroyi","Ateles geoffroyi","matched_direct",TRUE,"Ateles_geoffroyi","Ateles geoffroyi","accepted_name","Primates","tree_tip_crosswalk",""
"Avahi_laniger","Avahi laniger","matched_direct",TRUE,"Avahi_laniger","Avahi laniger","accepted_name","Primates","tree_tip_crosswalk",""
"Avahi_occidentalis","Avahi occidentalis","matched_direct",TRUE,"Avahi_occidentalis","Avahi occidentalis","accepted_name","Primates","tree_tip_crosswalk",""
"Callimico_goeldii","Callimico goeldii","matched_direct",TRUE,"Callimico_goeldii","Callimico goeldii","accepted_name","Primates","tree_tip_crosswalk",""
"Callithrix_jacchus","Callithrix jacchus","matched_direct",TRUE,"Callithrix_jacchus","Callithrix jacchus","accepted_name","Primates","tree_tip_crosswalk",""
"Callithrix_pygmaea","Callithrix pygmaea","matched_synonym",TRUE,"Cebuella_pygmaea","Cebuella pygmaea","tree_tip_crosswalk","Primates","tree_tip_crosswalk","reached via ""Cebuella pygmaea"" (tree_tip_crosswalk)"
"Cebus_albifrons","Cebus albifrons","matched_direct",TRUE,"Cebus_albifrons","Cebus albifrons","accepted_name","Primates","tree_tip_crosswalk",""
"Cercocebus_agilis","Cercocebus agilis","matched_direct",TRUE,"Cercocebus_agilis","Cercocebus agilis","accepted_name","Primates","tree_tip_crosswalk",""
"Cercopithecus_ascanius","Cercopithecus ascanius","matched_direct",TRUE,"Cercopithecus_ascanius","Cercopithecus ascanius","accepted_name","Primates","tree_tip_crosswalk",""
"Cercopithecus_mitis","Cercopithecus mitis","matched_direct",TRUE,"Cercopithecus_mitis","Cercopithecus mitis","accepted_name","Primates","tree_tip_crosswalk",""
"Cheirogaleus_major","Cheirogaleus major","matched_direct",TRUE,"Cheirogaleus_major","Cheirogaleus major","accepted_name","Primates","tree_tip_crosswalk",""
"Cheirogaleus_medius","Cheirogaleus medius","matched_direct",TRUE,"Cheirogaleus_medius","Cheirogaleus medius","accepted_name","Primates","tree_tip_crosswalk",""
"Colobus_angolensis","Colobus angolensis","matched_direct",TRUE,"Colobus_angolensis","Colobus angolensis","accepted_name","Primates","tree_tip_crosswalk",""
"Daubentonia_madagascariensis","Daubentonia madagascariensis","matched_direct",TRUE,"Daubentonia_madagascariensis","Daubentonia madagascariensis","accepted_name","Primates","tree_tip_crosswalk",""
"Erythrocebus_patas","Erythrocebus patas","matched_direct",TRUE,"Erythrocebus_patas","Erythrocebus patas","accepted_name","Primates","tree_tip_crosswalk",""
"Eulemur_fulvus","Eulemur fulvus","matched_direct",TRUE,"Eulemur_fulvus","Eulemur fulvus","accepted_name","Primates","tree_tip_crosswalk",""
