"source_row","source_dataset","heiss_category","heiss_region","anatomy_id","canonical_label","parent_id","mapping_relationship","rcmrglc_mean_umol_100g_min","rcmrglc_sd_umol_100g_min","left_minus_right_mean","left_minus_right_sd","left_minus_right_p_value","heiss_1991_mean_umol_100g_min","color_hex","display_order"
1,"Heiss et al. 2004 Table 1","Cerebral cortex","Cerebral cortex (global average)","cerebral_cortex","Cerebral cortex","brain","source_measurement",33.5,2.98,,,,,"#000000",20
2,"Heiss et al. 2004 Table 1","Cerebral cortex","Frontal lobe","frontal_lobe","Frontal lobe","cerebral_cortex","exact",35.3,3.51,0.29,0.6,,32.1,"#56B4E9",40
3,"Heiss et al. 2004 Table 1","Cerebral cortex","Parietal lobe","parietal_lobe","Parietal lobe","cerebral_cortex","exact",35.8,3.23,1.17,0.75,0.00165,29.2,"#D55E00",50
4,"Heiss et al. 2004 Table 1","Cerebral cortex","Temporal lobe","temporal_lobe","Temporal lobe","cerebral_cortex","exact",30.5,2.54,0.78,0.7,0.01058,26.7,"#CC79A7",60
5,"Heiss et al. 2004 Table 1","Cerebral cortex","Occipital lobe","occipital_lobe","Occipital lobe","cerebral_cortex","exact",35.8,3.12,1.77,0.72,8e-05,30.1,"#0072B2",70
6,"Heiss et al. 2004 Table 1","Cerebral cortex","Insular lobe","insular_lobe","Insular lobe","cerebral_cortex","exact",30.3,2.55,0.41,1.08,,31.8,"#009E73",90
7,"Heiss et al. 2004 Table 1","Cerebral cortex","Hippocampus","hippocampus","Hippocampus","brain","exact",25.7,2.11,-0.47,3.52,,22.9,"#882255",110
8,"Heiss et al. 2004 Table 1","Forebrain nuclei","Caudatum","caudate_nucleus","Caudate nucleus","striatum","source_synonym",32.6,3.04,-1.4,3.34,,32.4,"#44AA99",160
9,"Heiss et al. 2004 Table 1","Forebrain nuclei","Putamen","putamen","Putamen","striatum","exact",40.2,3.5,-2.61,2.96,0.02966,33.7,"#117733",170
10,"Heiss et al. 2004 Table 1","Forebrain nuclei","Nucleus accumbens","nucleus_accumbens","Nucleus accumbens","striatum","exact",32.3,2.39,1.2,2.86,,,"#88CCEE",180
11,"Heiss et al. 2004 Table 1","Forebrain nuclei","Pallidum","pallidum","Pallidum","forebrain_nuclei","exact",21.9,2.26,-1.39,1.98,,,"#999933",190
12,"Heiss et al. 2004 Table 1","Forebrain nuclei","Nucleus medial thalami","medial_thalamic_nuclei","Medial thalamic nuclei","thalamus","source_synonym",36.6,4.72,1.65,4.68,,29.9,"#DDCC77",220
13,"Heiss et al. 2004 Table 1","Forebrain nuclei","Corpus geniculatum laterale","lateral_geniculate_nucleus","Lateral geniculate nucleus","thalamus","source_synonym",23.1,3.33,1.13,3.88,,,"#6699CC",230
14,"Heiss et al. 2004 Table 1","Forebrain nuclei","Corpus geniculatum mediale","medial_geniculate_nucleus","Medial geniculate nucleus","thalamus","source_synonym",20.2,2.87,-1.04,3.44,,,"#661100",240
15,"Heiss et al. 2004 Table 1","Forebrain nuclei","Nucleus subthalamicus","subthalamic_nucleus","Subthalamic nucleus","forebrain_nuclei","source_synonym",25.2,3.29,0.76,4.09,,,"#332288",200
16,"Heiss et al. 2004 Table 1","Forebrain nuclei","Basal forebrain","basal_forebrain","Basal forebrain","forebrain_nuclei","exact",21.4,3.19,-2.28,2.06,0.01062,,"#AA4499",140
17,"Heiss et al. 2004 Table 1","Forebrain nuclei","Corpus amygdaloideum","amygdala","Amygdala","brain","source_synonym",22.2,1.74,0.54,2.87,,,"#E69F00",120
18,"Heiss et al. 2004 Table 1","Brain stem nuclei","Colliculus inferior","inferior_colliculus","Inferior colliculus","midbrain","source_synonym",31.4,3.63,0.13,2.07,,,"#7570B3",300
19,"Heiss et al. 2004 Table 1","Brain stem nuclei","Colliculus superior","superior_colliculus","Superior colliculus","midbrain","source_synonym",24.4,2.47,0.18,2.69,,,"#66A61E",290
20,"Heiss et al. 2004 Table 1","Brain stem nuclei","Substantia nigra","substantia_nigra","Substantia nigra","midbrain","exact",22.8,2.35,-0.7,2.1,,22.7,"#A6761D",270
21,"Heiss et al. 2004 Table 1","Brain stem nuclei","Nucleus ruber","red_nucleus","Red nucleus","midbrain","source_synonym",31,3.1,-0.08,1.99,,22.7,"#E7298A",280
22,"Heiss et al. 2004 Table 1","Cerebellum","Cerebellar cortex","cerebellar_cortex","Cerebellar cortex","cerebellum","exact",29.8,2.2,0.36,0.41,0.02785,23.1,"#1B9E77",320
23,"Heiss et al. 2004 Table 1","Cerebellum","Vermis","vermis","Vermis","cerebellum","exact",30.1,1.96,,,,,"#B2DF8A",330
24,"Heiss et al. 2004 Table 1","Cerebellum","Nucleus dentatus cerebelli","dentate_nucleus","Dentate nucleus","cerebellum","source_synonym",24.2,3.48,-1.64,5.02,,23.4,"#33A02C",350
25,"Heiss et al. 2004 Table 1","White matter","Centrum semiovale","centrum_semiovale","Centrum semiovale","white_matter","exact",12.3,1.45,0.75,1.73,,14.9,"#BDBDBD",380
26,"Heiss et al. 2004 Table 1","White matter","Capsula interna","internal_capsule","Internal capsule","white_matter","source_synonym",25.5,5.61,-0.65,2.97,,,"#636363",390
