"category","term_1","term_2","term_3","Heiss_region","rCMRGlc_mean_both_hemispheres","volume_term","volume_source","calculation"
"Cerebral cortex",,,"Cerebral cortex (global average)","Cerebral cortex (global average)",33.5,"Neocortex grey","Frahm et al. 1982; Zilles and Rehkamper 1988",
"Cerebral cortex",,,"Frontal lobe","Frontal lobe",35.3,,,
"Cerebral cortex",,,"Parietal lobe","Parietal lobe",35.8,,,
"Cerebral cortex",,,"Temporal lobe","Temporal lobe",30.5,,,
"Cerebral cortex",,,"Occipital lobe","Occipital lobe",35.8,"Area striata grey","de Sousa et al. 2010; Frahm et al. 1984",
"Cerebral cortex",,,"Insular lobe","Insular lobe",30.3,"Insular cortex (grey)","Bauernfeind et al. 2013",
"Cerebral cortex",,,"Hippocampus","Hippocampus",25.7,"Hippocampus","Stephan et al. 1981; Zilles and Rehkamper 1988",
"Forebrain nuclei",,"Striatum1",,"Striatum",36.2663366336634,"Striatum","Stephan et al. 1981; Zilles and Rehkamper 1988","0.45*Caudatum + 0.49*Putamen + 0.07*Nucleus accumbens (de Jong et al. 2012)"
"Forebrain nuclei",,,"Caudatum","Caudatum",32.6,,,
"Forebrain nuclei",,,"Putamen","Putamen",40.2,,,
"Forebrain nuclei",,,"Nucleus accumbens","Nucleus accumbens",32.3,,,
"Forebrain nuclei",,,"Pallidum","Pallidum",21.9,"Pallidum","Stephan et al. 1981; Zilles and Rehkamper 1988",
"Forebrain nuclei",,,"Nucleus medial thalami","Nucleus medial thalami",36.6,,,
"Forebrain nuclei",,,"Corpus geniculatum laterale","Corpus geniculatum laterale",23.1,"Corpus geniculatum laterale","de Sousa et al. 2010; Stephan et al. 1984",
"Forebrain nuclei",,,"Corpus geniculatum mediale","Corpus geniculatum mediale",20.2,,,
"Forebrain nuclei",,,"Nucleus subthalamicus","Nucleus subthalamicus",25.2,"Nucleus subthalamicus Luysi","Stephan et al. 1981",
"Forebrain nuclei",,,"Basal forebrain","Basal forebrain",21.4,,,
"Forebrain nuclei",,,"Corpus amygdaloideum","Corpus amygdaloideum",22.2,"Amygdala","Stephan et al. 1981; Zilles and Rehkamper 1988",
"Brain stem nuclei","Brain stem nuclei1",,,"Brain stem nuclei",25.2727272727273,"Mesencephalon","Stephan et al. 1981; Zilles and Rehkamper 1988","0.08*Colliculus inferior + 0.11*Colliculus superior + 0.53*Substantia nigra + 0.16*Nucleus ruber + 0.12*Other (Eapen et al. 2011, Garcia-Gomar et al. 2019)"
"Brain stem nuclei",,,"Colliculus inferior","Colliculus inferior",31.4,,,
"Brain stem nuclei",,,"Colliculus superior","Colliculus superior",24.4,,,
"Brain stem nuclei",,,"Substantia nigra","Substantia nigra",22.8,,,
"Brain stem nuclei",,,"Nucleus ruber","Nucleus ruber",31,,,
"Cerebellum","Cerebellum1",,,"Cerebellum",29.7507692307692,"Cerebellum","Stephan et al. 1981; Zilles and Rehkamper 1988","0.56*Cerebellar cortex + 0.08*Vermis + 0.01*Nucleus dentatus cerebelli + 0.45*Other (Sullivan et al. 2000, MacLeod et al. 2003, Matano 2001)"
"Cerebellum",,,"Cerebellar cortex","Cerebellar cortex",29.8,,,
"Cerebellum",,,"Vermis","Vermis",30.1,,,
"Cerebellum",,,"Nucleus dentatus cerebelli","Nucleus dentatus cerebelli",24.2,,,
"White matter",,,"Centrum semiovale","Centrum semiovale",12.3,"Neocortex white","Frahm et al. 1982; Zilles and Rehkamper 1988",
"White matter",,,"Capsula interna","Capsula interna",25.5,"Capsula interna","Stephan et al. 1981",
