Species,Specimen,group_arterial,sapiens_grade,s4a_specimen,foramen_radius_cm,QICA_cm3_s,endocranial_cc_arterial,brain_tissue_cc_s4a,ACA_scaled_mm2,ACA_ecvpred_mm2,BGU_seymour_wholebrain,BGU_boyer_scaled_wholebrain,BGU_boyer_scaled_lwr,BGU_boyer_scaled_upr,BGU_boyer_ecvpred_wholebrain,BGU_seymour_s4ascope,BGU_boyer_scaled_s4ascope,BGU_s4a_regional,ratioMH_seymour,ratioMH_boyer_scaled,ratioMH_boyer_ecvpred,ratioMH_s4a
H. heidelbergensis,Ndutu,early Homo,NA,,0.240,3.21,1100,,100.93,160.81,187.4,293.5,262.2,328.6,360.3,143.7,225.0,,0.437,0.692,0.850,
H. heidelbergensis,Kabwe (Broken Hill),early Homo,NA,,0.292,5.60,1325,,149.40,184.93,327.0,385.8,348.8,426.7,423.8,250.6,295.7,,0.763,0.910,1.000,
H. erectus (soloensis),Ngandong 14 (Solo XI),early Homo,NA,,0.264,4.47,1090,,122.12,159.71,261.0,317.6,287.4,351.1,357.4,200.1,243.5,,0.609,0.749,0.843,
H. erectus,KNM-ER 42700 (IIIeret),early Homo,NA,,0.226,3.05, 691,, 89.50,113.42,178.1,216.5,197.4,237.4,240.3,136.5,165.9,,0.416,0.511,0.567,
H. erectus,Sangiran 12,early Homo,NA,,0.249,3.91,1059,,108.64,156.29,228.3,297.0,267.4,329.9,348.6,175.0,227.7,,0.533,0.701,0.822,
H. erectus,OH 9,early Homo,NA,,0.243,3.81,1067,,103.47,157.17,222.4,291.9,261.8,325.4,350.9,170.5,223.8,,0.519,0.689,0.828,
H. erectus,Sambungmacan 3,early Homo,NA,,0.271,5.03, 917,,128.69,140.27,293.7,296.0,269.9,324.7,307.5,225.1,226.9,,0.685,0.698,0.725,
H. habilis,OH 24,early Homo,NA,,0.198,2.37, 590,, 68.69,100.73,138.4,176.9,160.2,195.4,209.3,106.1,135.6,,0.323,0.417,0.494,
H. georgicus,Dmanisi D2700,early Homo,NA,,0.156,1.05, 600,, 42.64,102.01, 61.3,144.7,124.5,168.2,212.4, 47.0,110.9,,0.143,0.341,0.501,
A. africanus,Sts 5,Australopithecus,NA,,0.150,1.03, 485,, 39.43, 86.94, 60.1,124.6,108.4,143.2,176.5, 46.1, 95.5,,0.140,0.294,0.416,
A. africanus,Sts 19,Australopithecus,NA,,0.152,1.09, 436,, 40.48, 80.26, 63.6,119.0,104.9,135.0,160.8, 48.8, 91.2,,0.149,0.281,0.379,
A. africanus,MLD 37 / 38,Australopithecus,NA,,0.150,1.04, 435,, 39.43, 80.12, 60.7,117.5,103.2,133.7,160.5, 46.5, 90.1,,0.142,0.277,0.379,
A. africanus,STW 53g,Australopithecus,NA,,0.140,0.85, 462,, 34.34, 83.83, 49.6,114.2, 98.2,132.9,169.2, 38.0, 87.6,,0.116,0.269,0.399,
A. africanus,STW 329h,Australopithecus,NA,,0.170,1.52, 462,, 50.64, 83.83, 88.7,135.5,121.7,150.9,169.2, 68.0,103.9,,0.207,0.320,0.399,
A. africanus,STS 25h,Australopithecus,NA,,0.157,1.20, 462,, 43.19, 83.83, 70.1,126.3,111.6,143.1,169.2, 53.7, 96.9,,0.163,0.298,0.399,
A. africanus,STW 98h,Australopithecus,NA,,0.172,1.57, 462,, 51.84, 83.83, 91.7,136.9,123.2,152.1,169.2, 70.3,104.9,,0.214,0.323,0.399,
A. africanus,STW 255h,Australopithecus,NA,,0.162,1.32, 462,, 45.99, 83.83, 77.1,129.9,115.5,146.1,169.2, 59.1, 99.6,,0.180,0.306,0.399,
A. afarensis,AL 333-105,Australopithecus,NA,,0.165,1.38, 400,, 47.70, 75.23, 80.6,122.1,110.3,135.2,149.2, 61.8, 93.6,,0.188,0.288,0.352,
A. afarensis,AL 166-9,Australopithecus,NA,,0.197,2.37, 514,, 68.00, 90.82,138.4,163.4,149.2,179.1,185.6,106.1,125.3,,0.323,0.386,0.438,
H. naledi,DH3 (Rising Star),early Homo,NA,,0.172,1.42, 460,, 51.84, 83.55, 82.9,136.6,123.0,151.7,168.5, 63.6,104.7,,0.193,0.322,0.398,
