roi,dissection,n
Human A1C,Cerebral cortex (Cx) - Transverse temporal gyrus (TTG) - Primary auditory cortex - A1C,32790
Human A5-A7,Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7,35290
Human A13,Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13,34919
Human A14,Cerebral cortex (Cx) - Gyrus rectus (ReG) - Medial orbitofrontal cortex - A14,14352
Human A19,Cerebral cortex (Cx) - Superior occipital gyrus (SOG) - Areas 19 and MT - A19,29674
Human A23,Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23,35359
Human A23,,33
Human A24,"Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24",32157
Human A25,Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25,37767
Human A29-A30,"Cerebral cortex (Cx) - Cingulate gyrus, retrosplenial (CgGrs) - A29-A30",34078
Human A32,Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32,23295
Human A32,,1480
Human A35-36,,72
Human A35-A36,Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36,22886
Human A35-A36,,774
Human A35r,Perirhinal cortex (area 35) (A35) - rostral subdivision of area 35 - A35r,17535
Human A38,Cerebral cortex (Cx) - Temporal pole (TP) - Temporopolar area - A38,37642
Human A40,Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40,39053
Human A43,Cerebral cortex (Cx) - Parietal operculum (PaO) - Gustatory cortex - A43,42834
Human A44-A45,Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45,38259
Human A46,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46,31065
Human ANC,Thalamus (THM) - Anterior nuclear complex - ANC,31307
Human AON,Paleocortex (PalCx) - Anterior Olfactory Nucleus - AON,31230
Human BL,Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL,35285
Human BM,Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basomedial nucleus (accessory basal nucleus) - BM,31090
Human BNST,Extended amygdala (EXA) - Bed nucleus of stria terminalis and nearby - BNST,34933
Human CA1-3,Head of hippocampus (HiH) - Uncal CA1-CA3,814
Human CA1C-CA3C,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3,36886
Human CA1R-CA2R,Body of hippocampus (HiB) - Rostral CA1-2,11265
Human CA1R-CA2R-CA3R,Body of hippocampus (HiB) - Rostral CA1-CA3,28724
Human CA1U,Head of hippocampus (HiH) - Uncal CA1,39147
Human CA1U-CA2U-CA3U,Head of hippocampus (HiH) - Uncal CA1-CA3,37097
Human CA2U-CA3U,Head of hippocampus (HiH) - Uncal CA2-CA3,12461
Human CA3R,Body of hippocampus (HiB) - Rostral CA3,8077
Human CA4C-DGC,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC,56367
Human CBL,Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL,28028
