rcmr_term,match_column,pattern,match_mode,rule_rank,rule_label,column_rank,column_order
Basal forebrain,ROIGroup,Basal forebrain,exact_ci,0,exact rCMR term,1,1
Capsula interna,ROIGroup,Capsula interna,exact_ci,0,exact rCMR term,1,1
Caudatum,ROIGroup,Caudatum,exact_ci,0,exact rCMR term,1,1
Centrum semiovale,ROIGroup,Centrum semiovale,exact_ci,0,exact rCMR term,1,1
Cerebellar cortex,ROIGroup,Cerebellar cortex,exact_ci,0,exact rCMR term,1,1
Colliculus inferior,ROIGroup,Colliculus inferior,exact_ci,0,exact rCMR term,1,1
Colliculus superior,ROIGroup,Colliculus superior,exact_ci,0,exact rCMR term,1,1
Corpus amygdaloideum,ROIGroup,Corpus amygdaloideum,exact_ci,0,exact rCMR term,1,1
Corpus geniculatum laterale,ROIGroup,Corpus geniculatum laterale,exact_ci,0,exact rCMR term,1,1
Corpus geniculatum mediale,ROIGroup,Corpus geniculatum mediale,exact_ci,0,exact rCMR term,1,1
Frontal lobe,ROIGroup,Frontal lobe,exact_ci,0,exact rCMR term,1,1
Hippocampus,ROIGroup,Hippocampus,exact_ci,0,exact rCMR term,1,1
Insular lobe,ROIGroup,Insular lobe,exact_ci,0,exact rCMR term,1,1
Nucleus accumbens,ROIGroup,Nucleus accumbens,exact_ci,0,exact rCMR term,1,1
Nucleus dentatus cerebelli,ROIGroup,Nucleus dentatus cerebelli,exact_ci,0,exact rCMR term,1,1
Nucleus medial thalami,ROIGroup,Nucleus medial thalami,exact_ci,0,exact rCMR term,1,1
Nucleus ruber,ROIGroup,Nucleus ruber,exact_ci,0,exact rCMR term,1,1
Nucleus subthalamicus,ROIGroup,Nucleus subthalamicus,exact_ci,0,exact rCMR term,1,1
Occipital lobe,ROIGroup,Occipital lobe,exact_ci,0,exact rCMR term,1,1
Pallidum,ROIGroup,Pallidum,exact_ci,0,exact rCMR term,1,1
Parietal lobe,ROIGroup,Parietal lobe,exact_ci,0,exact rCMR term,1,1
Putamen,ROIGroup,Putamen,exact_ci,0,exact rCMR term,1,1
Substantia nigra,ROIGroup,Substantia nigra,exact_ci,0,exact rCMR term,1,1
Temporal lobe,ROIGroup,Temporal lobe,exact_ci,0,exact rCMR term,1,1
Vermis,ROIGroup,Vermis,exact_ci,0,exact rCMR term,1,1
Hippocampus,ROIGroup,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,1
Basal forebrain,ROIGroupCoarse,Basal forebrain,exact_ci,0,exact rCMR term,1,2
Capsula interna,ROIGroupCoarse,Capsula interna,exact_ci,0,exact rCMR term,1,2
Caudatum,ROIGroupCoarse,Caudatum,exact_ci,0,exact rCMR term,1,2
Centrum semiovale,ROIGroupCoarse,Centrum semiovale,exact_ci,0,exact rCMR term,1,2
Cerebellar cortex,ROIGroupCoarse,Cerebellar cortex,exact_ci,0,exact rCMR term,1,2
Colliculus inferior,ROIGroupCoarse,Colliculus inferior,exact_ci,0,exact rCMR term,1,2
Colliculus superior,ROIGroupCoarse,Colliculus superior,exact_ci,0,exact rCMR term,1,2
Corpus amygdaloideum,ROIGroupCoarse,Corpus amygdaloideum,exact_ci,0,exact rCMR term,1,2
Corpus geniculatum laterale,ROIGroupCoarse,Corpus geniculatum laterale,exact_ci,0,exact rCMR term,1,2
Corpus geniculatum mediale,ROIGroupCoarse,Corpus geniculatum mediale,exact_ci,0,exact rCMR term,1,2
Frontal lobe,ROIGroupCoarse,Frontal lobe,exact_ci,0,exact rCMR term,1,2
Hippocampus,ROIGroupCoarse,Hippocampus,exact_ci,0,exact rCMR term,1,2
Insular lobe,ROIGroupCoarse,Insular lobe,exact_ci,0,exact rCMR term,1,2
Nucleus accumbens,ROIGroupCoarse,Nucleus accumbens,exact_ci,0,exact rCMR term,1,2
Nucleus dentatus cerebelli,ROIGroupCoarse,Nucleus dentatus cerebelli,exact_ci,0,exact rCMR term,1,2
Nucleus medial thalami,ROIGroupCoarse,Nucleus medial thalami,exact_ci,0,exact rCMR term,1,2
Nucleus ruber,ROIGroupCoarse,Nucleus ruber,exact_ci,0,exact rCMR term,1,2
Nucleus subthalamicus,ROIGroupCoarse,Nucleus subthalamicus,exact_ci,0,exact rCMR term,1,2
