dissection,n_roi_contexts,n_obs_rows_total,roi_contexts
Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La,1,28984,Cerebral nuclei / Cerebral nuclei / Amygdaloid complex / Human La
Amygdaloid complex (AMY) - Central nuclear group - CEN,1,42699,Cerebral nuclei / Cerebral nuclei / Amygdaloid complex / Human CEN
Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA,1,10778,Cerebral nuclei / Cerebral nuclei / Amygdaloid complex / Human CoA
Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL,1,35285,Cerebral nuclei / Cerebral nuclei / Amygdaloid complex / Human BL
Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basomedial nucleus (accessory basal nucleus) - BM,1,31090,Cerebral nuclei / Cerebral nuclei / Amygdaloid complex / Human BM
Amygdaloid complex (AMY) - corticomedial nuclear group - CMN,1,38331,Cerebral nuclei / Cerebral nuclei / Amygdaloid complex / Human CMN
Basal forebrain (BF) - septal nuclei - SEP,1,40815,Cerebral nuclei / Cerebral nuclei / Basal forebrain / Human SEP
Basal forebrain (BF) - substantia innominata and nearby nuclei - SI,1,38205,Cerebral nuclei / Cerebral nuclei / Basal forebrain / Human SI
Basal nuclei (BN) - Body of the Caudate - CaB,1,32678,Cerebral nuclei / Cerebral nuclei / Basal nuclei / Human CaB
Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe,1,47376,Cerebral nuclei / Cerebral nuclei / Basal nuclei / Human GPe
Basal nuclei (BN) - Globus pallidus (GP) - Internal segment of globus pallidus - GPi,1,33968,Cerebral nuclei / Cerebral nuclei / Basal nuclei / Human GPi
Basal nuclei (BN) - Nucleus Accumbens - NAC,1,30132,Cerebral nuclei / Cerebral nuclei / Basal nuclei / Human NAC
Basal nuclei (BN) - Putamen - Pu,1,34416,Cerebral nuclei / Cerebral nuclei / Basal nuclei / Human Pu
Body of hippocampus (HiB) - Rostral CA1-2,1,11265,Hippocampus / Hippocampus / Hippocampus / Human CA1R-CA2R
Body of hippocampus (HiB) - Rostral CA1-CA3,1,28724,Hippocampus / Hippocampus / Hippocampus / Human CA1R-CA2R-CA3R
Body of hippocampus (HiB) - Rostral CA3,1,8077,Hippocampus / Hippocampus / Hippocampus / Human CA3R
Body of hippocampus (HiB) - Rostral DG-CA4,1,40191,Hippocampus / Hippocampus / Hippocampus / Human DGR-CA4Rpy
Cerebellum (CB) - Cerebellar Vermis - CBV,1,71874,Hindbrain / Cerebellum / Cerebellum / Human CBV
Cerebellum (CB) - Cerebellar deep nuclei - CbDN,1,52045,Hindbrain / Cerebellum / Cerebellum / Human CbDN
Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL,1,28028,Hindbrain / Cerebellum / Cerebellum / Human CBL
