"lobe","region","sv2a_bmax_total_mean","sv2a_bmax_total_sd","sv2a_bmax_total_cov","sv2a_bmax_left_mean","sv2a_bmax_left_sd","sv2a_bmax_left_cov","sv2a_bmax_right_mean","sv2a_bmax_right_sd","sv2a_bmax_right_cov","lr_ratio_mean","lr_ratio_sd","lr_ratio_cov"
"Cingulate","Caudal anterior cingulate",526,89,16.92,539,97,18.00,513,85,16.57,1.05,0.09,8.57
"Cingulate","Isthmus cingulate",484,78,16.12,483,76,15.73,485,82,16.91,1.00,0.06,6.00
"Cingulate","Posterior cingulate",577,89,15.42,583,95,16.30,572,85,14.86,1.02,0.06,5.88
"Cingulate","Rostral anterior cingulate",565,86,15.22,572,87,15.21,555,88,15.86,1.03,0.06,5.83
"Frontal","Caudal middle frontal",564,84,14.89,574,87,15.16,554,81,14.62,1.04,0.03,2.88
"Frontal","Frontal (total)",569,83,14.59,573,86,15.01,565,81,14.34,1.01,0.03,2.97
"Frontal","Frontal pole",570,100,17.54,560,107,19.11,578,98,16.96,0.97,0.06,6.19
"Frontal","Lateral orbitofrontal",564,87,15.43,574,93,16.20,555,84,15.14,1.03,0.05,4.85
"Frontal","Medial orbitofrontal",559,86,15.38,558,88,15.77,560,87,15.54,1.00,0.05,5.00
"Frontal","Paracentral",534,84,15.73,536,86,16.04,533,83,15.57,1.01,0.04,3.96
"Frontal","Pars opercularis",625,93,14.88,626,99,15.81,624,88,14.10,1.00,0.05,5.00
"Frontal","Pars orbitalis",578,88,15.22,568,97,17.08,586,86,14.68,0.97,0.08,8.25
"Frontal","Pars triangularis",594,85,14.31,595,92,15.46,592,83,14.02,1.01,0.06,5.94
"Frontal","Precentral",547,80,14.63,553,83,15.01,541,78,14.42,1.02,0.04,3.92
"Frontal","Rostral middle frontal",580,86,14.83,582,92,15.81,579,83,14.34,1.00,0.05,5.00
"Frontal","Superior frontal",569,84,14.76,574,86,14.98,564,83,14.72,1.02,0.02,1.96
"Occipital","Cuneus",572,85,14.86,571,88,15.41,574,84,14.63,0.99,0.04,4.04
"Occipital","Lateral occipital",520,81,15.58,510,87,17.06,530,79,14.91,0.96,0.07,7.29
"Occipital","Lingual",560,82,14.64,563,85,15.10,557,80,14.36,1.01,0.03,2.97
"Occipital","Occipital (total)",546,82,15.02,540,85,15.74,551,80,14.52,0.98,0.04,4.08
"Occipital","Pericalcarine",574,87,15.16,562,85,15.12,584,91,15.58,0.96,0.03,3.12
"Parietal","Inferior parietal",598,84,14.05,587,87,14.82,607,86,14.17,0.97,0.06,6.19
"Parietal","Parietal (total)",577,85,14.73,576,88,15.28,578,83,14.36,1.00,0.04,4.00
"Parietal","Postcentral",524,80,15.27,527,86,16.32,521,76,14.59,1.01,0.04,3.96
"Parietal","Precuneus",616,88,14.29,616,90,14.61,615,87,14.15,1.00,0.02,2.00
"Parietal","Superior parietal",542,84,15.50,544,85,15.62,541,84,15.53,1.01,0.03,2.97
"Parietal","Supramarginal",613,92,15.01,618,97,15.70,609,90,14.78,1.02,0.06,5.88
"Temporal","Banks of the superior temporal sulcus",631,89,14.10,632,93,14.72,631,91,14.42,1.00,0.07,7.00
"Temporal","Entorhinal",491,102,20.77,502,110,21.91,479,96,20.04,1.05,0.10,9.52
"Temporal","Fusiform",577,91,15.77,582,95,16.32,573,88,15.36,1.01,0.04,3.96
"Temporal","Inferior temporal",594,98,16.50,598,106,17.73,590,92,15.59,1.01,0.05,4.95
"Temporal","Insula",566,81,14.31,568,83,14.61,565,82,14.51,1.01,0.05,4.95
"Temporal","Middle temporal",622,90,14.47,618,97,15.70,625,86,13.76,0.99,0.06,6.06
"Temporal","Parahippocampal",541,98,18.11,538,104,19.33,545,98,17.98,0.99,0.09,9.09
"Temporal","Superior temporal",606,89,14.69,603,95,15.75,609,84,13.79,0.99,0.05,5.05
"Temporal","Temporal (total)",595,91,15.29,596,97,16.28,595,87,14.62,1.00,0.04,4.00
"Temporal","Temporal pole",529,105,19.85,541,111,20.52,517,106,20.50,1.05,0.10,9.52
"Temporal","Transverse temporal",600,85,14.17,607,91,14.99,591,84,14.21,1.03,0.07,6.80
"Subcortical","Accumbens",598,108,18.06,616,121,19.64,585,103,17.61,1.05,0.09,8.57
"Subcortical","Amygdala",472,84,17.80,471,89,18.90,474,82,17.30,0.99,0.05,5.05
"Subcortical","Caudate",539,81,15.03,548,81,14.78,531,83,15.63,1.04,0.05,4.81
"Subcortical","Cerebellum",341,55,16.13,347,58,16.71,335,54,16.12,1.04,0.04,3.85
"Subcortical","Hippocampus",350,64,18.29,351,67,19.09,348,62,17.82,1.01,0.05,4.95
"Subcortical","Pallidum",304,52,17.11,315,59,18.73,294,51,17.35,1.08,0.12,11.11
"Subcortical","Pons",95,30,31.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Subcortical","Putamen",604,88,14.57,618,92,14.89,591,85,14.38,1.05,0.03,2.86
"Subcortical","Thalamus",352,55,15.62,353,55,15.58,351,57,16.24,1.01,0.07,6.93
"Subcortical","Ventral dc",170,37,21.76,173,39,22.54,167,37,22.16,1.04,0.10,9.62
"White matter","White matter",12,19,158.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
