Species,Body_Mass.g,Complexus_vestibularis_Vol.mm3,Complexus_vestibularis_unilateral_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Agranular_insular_cortex_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Brain_Mass.mg,Dysgranular_insular_cortex_Vol.mm3,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_Vol.mm3,Insula_left_Vol.mm3,Total_brain_net_volume_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalMotor_grey_matter_Vol.mm3,FrontalMotor_white_matter_Vol.mm3,Hippocampus_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Neocortex_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Neocortex_white_matter_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Palaeocortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Telencephalon_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,Agranular_insular_cortex_right_Vol.mm3,Area_striata_grey_matter_left_Vol.mm3,Corpus_geniculatum_laterale_left_Vol.mm3,Dysgranular_insular_cortex_right_Vol.mm3,Granular_insular_cortex_right_Vol.mm3,Insula_right_Vol.mm3,fronto_insular_cortex_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,fronto_insular_cortex_right_Vol.mm3,EntorhinalCortex_Vol.mm3,Pons_Vol.mm3,Prepiriform_cortex_Vol.mm3
Eulemur fulvus,1400,62.2,31.1,18.54,9.27,11.8,5.9,19.5,9.75,12.44,6.22,NA,NA,23300,NA,NA,NA,NA,NA,NA,22106,251,1519,1253,138,1114,267,207,3.21,NA,NA,86.28,3328,71.7,179,51.8,1.85,0.174,0.527,1713,NA,NA,NA,752,27.58,32.05,641,26.65,909,590,12207,9172,1298,7874,3035,19.6,4.02,1.4,1.37,389,422,119,1215,15566,136.9,194,248,12.2,239,13.9,212,225,1028,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galago senegalensis,186,18.28,9.14,5.86,2.93,2.86,1.43,6.84,3.42,2.72,1.36,NA,NA,4800,NA,NA,NA,NA,NA,NA,4512,NA,334,301,NA,NA,32.6,79.2,2.58,NA,NA,12.6,672,NA,NA,16,0.741,0.0382,0.0668,382,NA,NA,NA,261,3.77,4.4,163,4.43,254,205,2139,NA,NA,NA,NA,NA,0.998,0.588,NA,NA,107,35.7,210,2997,21,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galagoides demidoff,81,13.3,6.65,3.8,1.9,2.02,1.01,5.44,2.72,2.04,1.02,4,2,3380,10,5,10,5,24,12,3185.3,50.2,237,214,25.6,189,22.4,83.1,1.26,NA,NA,8.22,413,14.9,35.3,10.9,0.375,0.0266,0.024,246,NA,NA,NA,152,2.08,3.06,181,3.08,169,135,1568,1417,202.2,1215,150.6,2.82,0.78,0.45,0.62,122,59.9,25.7,169,2240,13.6,30.4,18.4,2.09,45.1,1.4,17,18.3,153,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galemys pyrenaicus,57.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1330,NA,NA,NA,NA,NA,NA,1230,NA,NA,NA,NA,NA,NA,39,0.206,NA,NA,NA,184,NA,NA,NA,0.0707,0.00545,0.0379,105,NA,NA,NA,109,NA,NA,107,NA,147,62.2,339,NA,NA,NA,NA,NA,0.422,0.444,NA,NA,44.9,20.1,74.4,733,NA,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorilla gorilla,105000,272,136,47.2,23.6,39,19.5,116.8,58.4,69.4,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorilla sp.,105000,272,136,47.2,23.6,39,19.5,116.8,58.4,69.4,34.7,1107,570,500000,1913.25,948.75,710,394.5,4066,2145.5,401785,NA,15185,12062,NA,NA,3123,316,0,61650,7000,740.4,68650,NA,NA,300.1,7.96,1.41,1.3,19370,71110,14854,10295,4781,112.36,534.6,4871,93.44,7509,4352,283700,NA,NA,NA,NA,NA,23.9,5.79,NA,NA,2729,1173,14567,369878,5400.6,3608,2471,106,2215,178,2604,2782,10547,671,537,4550,200,964.5,315.5,1920.5,335.5,232,103.5,NA,NA,NA
Hemicentetes semispinosus,110,5,2.5,1.418,0.709,1.104,0.552,1.704,0.852,0.768,0.384,NA,NA,830,NA,NA,NA,NA,NA,NA,757,22.3,NA,NA,NA,NA,NA,93.6,0.196,NA,NA,3.23,117,10.4,11.9,0.37,0.181,0.00382,0.032,48.5,NA,NA,NA,63.7,1.52,1.16,148,0.55,108,44.8,73.43,67.57,22.94,44.63,5.865,2.39,0.425,0.338,1.3,125,17.4,12.8,29.8,438,NA,15.5,2.81,1.16,17.1,0.188,3.12,3.31,19,0.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemiechinus auritus,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,NA,NA,NA,NA,NA,1710,NA,NA,NA,NA,NA,NA,175,1.35,NA,NA,NA,198,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,130,NA,NA,279,NA,187,110,309.5,278.7,75.03,203.7,30.8,NA,NA,NA,NA,NA,68.7,28.4,81.1,1073,NA,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,65000,354,177,91.8,45.9,44.8,22.4,145.6,72.8,71.6,35.8,2777.2,1200.6,1330000,5733.2,2960.2,3306.3999999999996,1873.8,12629.2,6479,1357820,3015,20226,14787,1704,13083,5439,114,0,125183.333333333,11833.3333333333,1513.78,137016.666666667,592,2424,335,142,0.0203,0.508,33319,204165,29013,29755,10287,190.48,1166.9,9032,156.4,9622,8087,991000,584706,75316,509391,421819,246,17,0.524,0,6016,6142,2610,28689,1063399,10477.9,18732,7008,133,3555,469,4711,5180,18222,823,1576.6,7630,180,2773,1432.6,6150.2,812.6,444.6,368,NA,NA,NA
Homo sapiens sapiens,65000,354,177,91.8,45.9,44.8,22.4,145.6,72.8,71.6,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylobates lar,5700,118.8,59.4,29,14.5,11.06,5.53,49,24.5,29.8,14.9,80,40,102000,262,131,234,117,578,289,88803,NA,5750,4574,562,4012,1176,43.9,0,9675,1950,242.09,11625,NA,NA,166.2,NA,NA,NA,5716,13610,2744,1743,2673,65.6,141.08,1264,35.41,2251,1459,68300,46646,6279,40367,19154,NA,NA,NA,NA,NA,1136,302,4784,76001,1167.9,555,693,31.2,629,61.6,715,777,3226,302,NA,2050,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylobates muelleri,5710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,142,101.8,572,286,222,111,1078,539,98263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indri indri,6250,102.6,51.3,23.6,11.8,19.02,9.51,44.4,22.2,15.6,7.8,66,33,38300,170,85,100,50,334,167,32481,NA,1961,1648,279,1369,313,168,2.32,NA,NA,141.3,5504,NA,NA,94.5,5.63,0.366,0.553,2911,NA,NA,NA,1520,46.96,56.31,838,38.03,1342,978,20114,15891,2702,13189,4223,NA,7.15,4.96,NA,NA,848,205,1855,25551,186.3,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagothrix lagothricha,5200,106,53,28.2,14.1,13.88,6.94,46,23,18.14,9.07,NA,NA,101000,NA,NA,NA,NA,NA,NA,95503,NA,6082,4856,604,4252,1226,73.4,1.43,NA,NA,212.95,11268,NA,NA,164,10.6,0.885,0.583,5721,11780,2434,1625,1586,60.23,108.57,1395,44.15,2110,1582,65873,49147,7664,41483,16727,NA,7.01,2.6,NA,NA,680,266,4947,74822,725.6,1090,612,31,624,63.8,845,909,2959,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagothrix lagotricha,5200,106.2,53.1,28.2,14.1,13.88,6.94,46,23,18.14,9.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leontopithecus rosalia,598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,12,12.7,42,21,8,4,74,37,12259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepilemur ruficaudatus,915,29.8,14.9,8.94,4.47,4.76,2.38,11.84,5.92,4.22,2.11,NA,NA,7600,NA,NA,NA,NA,NA,NA,7175,133,358,326,52.5,274,31.4,113,2.72,NA,NA,23.07,1165,42.5,90.4,15.6,0.731,0.132,0.121,593,NA,NA,NA,392,6.41,9.35,302,7.31,449,260,3282,2805,488.6,2317,476.6,7.18,1.75,0.888,0.624,170,194,56.7,366,4708,26.2,76.5,63,4.89,114,2.91,55.2,58.1,337,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophocebus albigena,7900,174,87,50.4,25.2,20,10,71.2,35.6,32.4,16.2,190,95,104000,540,270,342,171,1072,536,106660,NA,6831,5420,NA,NA,1411,121,0,7700,4000,232.63,11700,NA,NA,182,11.9,0.233,0.658,5351,13310,3926,3063,1485,74.6,113.33,1639,44.7,2708,1770,68733,NA,NA,NA,NA,NA,6,1.69,NA,NA,630,294,4146,77049,873.3,742,708,27.9,681,52.4,674,726,2933,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loris tardigradus,322,16.92,8.46,4.16,2.08,2.44,1.22,7.1,3.55,3.22,1.61,6,3,6600,12,6,6,3,24,12,6612,NA,588,529,NA,NA,59.6,85.8,2.3,NA,NA,17.99,728,NA,NA,24.6,0.335,0.103,0.207,538,NA,NA,NA,191,5.58,5.76,256,6.65,233,220,3524,NA,NA,NA,NA,NA,1.15,0.822,NA,NA,99.7,41.1,351,4551,28.9,51.6,46.3,3.21,80.9,3.79,41.4,45.2,348,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca fascicularis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57600,NA,NA,NA,NA,NA,NA,55600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca maura,6050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,71,83.3,480,240,362,181,984,492,80405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca mulatta,7800,165,82.5,31,15.5,33.8,16.9,67.4,33.7,32.8,16.4,NA,NA,93000,NA,NA,NA,NA,NA,NA,84880,NA,6586,5343,NA,NA,1243,84.3,0,4883.33333333333,2333.33333333333,235.31,7233.33333333333,NA,NA,158,12.4,0.27,0.36,4480,NA,NA,NA,1353,75.13,106.94,1220,53.24,1992,1380,63482,NA,NA,NA,NA,NA,7.66,2.83,NA,NA,639,271,4032,71080,639.2,834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcebus murinus,54,8.04,4.02,2.16,1.08,1.52,0.76,3,1.5,1.358,0.679,NA,NA,1780,NA,NA,NA,NA,NA,NA,1680,36.4,144,136,15,121,8.24,43,1.62,NA,NA,4.74,234,12.1,24.3,7.07,0.14,0.0233,0.0556,134,NA,NA,NA,100,1.14,2.11,103,1.49,99.1,85.2,739.5,674.2,94.97,579.3,65.31,NA,0.461,0.274,0.264,66.8,40.1,15.3,85.7,1129,5.9,11.3,9.08,1.44,29.8,0.65,10.7,11.4,78.3,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microgale cowani,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,NA,NA,NA,NA,NA,NA,392,NA,NA,NA,NA,NA,NA,35.9,0.162,NA,NA,NA,49.5,NA,NA,NA,0.0152,0.00129,0.0116,25.4,NA,NA,NA,36.4,NA,NA,79,NA,45.3,24,57.2,NA,NA,NA,NA,NA,0.147,0.216,NA,NA,13.5,6.08,19.4,248,NA,7.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microgale mergulus,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150,NA,NA,NA,NA,NA,NA,1046,NA,NA,NA,NA,NA,NA,42.9,0.323,NA,NA,NA,176,NA,NA,NA,0.122,0.00202,0.0194,81,NA,NA,NA,78.2,NA,NA,87.4,NA,204,67.4,196,NA,NA,NA,NA,NA,0.469,0.602,NA,NA,36.4,19.5,57.9,518,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micropotamogale lamottei,64.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,743,NA,NA,NA,NA,NA,NA,34,0.0605,NA,NA,NA,82.7,NA,NA,NA,NA,NA,NA,62.8,NA,NA,NA,77.7,NA,NA,67.3,NA,135,58.6,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9,15.1,32.6,404,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miopithecus talapoin,1200,79.6,39.8,18.48,9.24,14.5,7.25,31.4,15.7,15.22,7.61,NA,NA,40000,NA,NA,NA,NA,NA,NA,37776,NA,3048,2339,NA,NA,709,27.8,0,NA,NA,78.95,3374,NA,NA,109,2.03,0.22,0.192,2375,5180,906,548,705,26.42,33.84,706,18.69,1035,826,26427,NA,NA,NA,NA,NA,2.07,0.866,NA,NA,259,133,1908,30166,273.7,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nasalis larvatus,14000,172.4,86.2,50.4,25.2,29.6,14.8,67.2,33.6,25.2,12.6,NA,NA,97000,NA,NA,NA,NA,NA,NA,92797,NA,NA,NA,NA,NA,NA,30.3,0,NA,NA,340.36,12113,NA,NA,156.6,NA,NA,NA,5310,8080,1749,933,1966,105.48,149.33,1268,85.55,2945,1556,62685,NA,NA,NA,NA,NA,NA,NA,NA,NA,855,333,3735,70873,967.4,591,564,29.6,671,37.2,550,587,3036,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neomys fodiens,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,299,13.4,NA,NA,NA,NA,NA,15.8,0.101,NA,NA,NA,38.9,6,7.39,NA,0.027,4.18e-4,0.0069,25.2,NA,NA,NA,32.9,NA,NA,36,NA,42.2,17.3,56.56,50.19,9.67,40.52,6.371,1.38,0.205,0.263,0.403,52.7,9,6.42,18.7,175,NA,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nesogale dobsoni,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560,NA,NA,NA,NA,NA,NA,513,NA,NA,NA,NA,NA,NA,53.6,0.178,NA,NA,NA,57.3,NA,NA,NA,0.0356,9.5e-4,0.0076,32.8,NA,NA,NA,67,NA,NA,93.5,NA,59,37.9,62.9,NA,NA,NA,NA,NA,0.242,0.28,NA,NA,16.3,9.58,23.1,326,NA,5.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nesogale talazaci,50.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790,NA,NA,NA,NA,NA,NA,741,NA,NA,NA,NA,NA,NA,74.3,0.369,NA,NA,NA,92.3,NA,NA,NA,0.0894,0.00147,0.0191,43.8,NA,NA,NA,98.9,NA,NA,139,NA,85.3,47.2,96.2,NA,NA,NA,NA,NA,0.381,0.378,NA,NA,20.7,11.2,31.2,472,NA,6.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nycticebus coucang,800,37,18.5,10.28,5.14,6.1,3.05,14.64,7.32,6.06,3.03,NA,NA,12500,NA,NA,NA,NA,NA,NA,11755,NA,828,696,93.8,603,132,159,4.28,NA,NA,33.75,1310,NA,NA,35.9,1.83,0.154,0.175,1077,NA,NA,NA,566,8.76,14.03,510,10.96,528,345,6192,4952,712.7,4240,1240,NA,2.04,1.34,NA,NA,212,92,760,8495,63.8,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryzorictes hova,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,NA,NA,NA,NA,NA,NA,538,NA,NA,NA,NA,NA,NA,46.9,0.12,NA,NA,NA,81.3,NA,NA,NA,0.051,6.94e-4,0.018,36.9,NA,NA,NA,64.3,NA,NA,88,NA,61,26.6,66.5,NA,NA,NA,NA,NA,0.257,0.331,NA,NA,23.5,10,32.5,332,NA,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otolemur crassicaudatus,850,39.8,19.9,14.02,7.01,5.74,2.87,14.32,7.16,5.7,2.85,NA,NA,10300,NA,NA,NA,NA,NA,NA,9668,NA,548,479,NA,NA,68.4,166,2.52,NA,NA,25.9,1414,NA,NA,23.2,1.02,0.102,0.0948,785,NA,NA,NA,461,6.63,9.64,386,9.63,540,384,4723,NA,NA,NA,NA,NA,1.64,0.695,NA,NA,181,70,556,6545,54.5,147,74.6,5.71,127,4.1,63.3,67.4,437,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan paniscus,37133.3333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719,351,352,1729.666666666666,934.333333333333,531.333333333334,260.666666666667,3279,1690.33333333333,339766.666666667,NA,NA,NA,NA,NA,NA,NA,NA,37825,6350,NA,44175,NA,NA,282.3,NA,NA,NA,NA,50660,8356,5243,NA,NA,NA,NA,NA,NA,NA,246700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,5800,133.33333333333334,795.333333333333,270.666666666667,1588.66666666667,299.66666666666697,144.666666666667,155,NA,NA,NA
Pan troglodytes,46000,236,118,59.6,29.8,19.3,9.65,109.4,54.7,47,23.5,322.16666666666697,164.666666666667,405000,1294.666666666667,703.666666666667,1132.833333333333,667.333333333333,2928.6666666666697,1600.66666666667,330790,NA,14597,10593,1156,9437,4004,257,0,42114.2857142857,4985.71428571429,601.42,47100,NA,NA,344,38,0.387,0.606,15392,68220,13407,12780,3779,87.27,455.83,2750,58.32,5817,3739,264650,172597,21960,150637,118996,NA,9.4,2.7,NA,NA,2018,851,12246,313493,3990.6,1899,2510,53.6,1739,127,1951,2078,7987,630,157.5,4142.857142857143,150,591,465.5,1328,179.66666666666669,65.6666666666667,114,NA,NA,NA
Papio anubis,25000,214,107,67.8,33.9,21,10.5,96.2,48.1,28.8,14.4,NA,NA,201000,NA,NA,NA,NA,NA,NA,190957,NA,13741,10001,919,9082,3740,287,0,NA,NA,379.04,18683,NA,NA,395,51.1,0.347,0.405,9280,24280,4686,3325,3398,99.91,220.35,2111,58.78,5297,2711,140142,85726,10642,75084,54416,NA,12.7,1.86,NA,NA,1309,559,7182,154987,2177.7,1081,1257,65.4,1076,94.7,1147,1241,4788,601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papio cynocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143300,NA,NA,NA,NA,NA,NA,NA,NA,10000,3600,NA,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perodicticus potto,1150,34.6,17.3,7.76,3.88,5.32,2.66,15.74,7.87,5.72,2.86,8,4,14000,20,10,32,16,62,31,11100,NA,552,495,NA,NA,57.7,310,2.74,NA,NA,29.44,1699,NA,NA,24.3,1.76,0.264,0.216,1024,NA,NA,NA,607,8.43,12.25,661,8.76,680,391,6683,NA,NA,NA,NA,NA,3.77,2.27,NA,NA,328,114,712,9418,77.7,127,107,10.4,160,8.19,107,116,587,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piliocolobus badius,7000,114.6,57.3,29,14.5,20,10,48.2,24.1,17.36,8.68,106,53,78000,232,116,144,72,482,241,72394,479,3979,3053,360,2693,926,51.3,0,NA,NA,190.92,8648,114,365,128,7.31,0.265,0.454,3945,10940,2260,1317,1671,57.76,98.52,937,34.64,2007,1333,50906,36575,5130,31444,14331,45.5,4.54,2.26,0,458,814,288,3217,57885,646.4,455,460,22.3,484,31.9,521,553,2164,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pithecia monachus,1500,77.6,38.8,20.2,10.1,17.16,8.58,24,12,16.14,8.07,NA,NA,35000,NA,NA,NA,NA,NA,NA,32867,NA,2130,1679,NA,NA,451,34.8,0.846,NA,NA,109.36,3908,NA,NA,76.3,0.0623,0.189,0.3,2285,3680,NA,NA,834,31.78,53.67,675,23.91,1009,745,21028,NA,NA,NA,NA,NA,2.53,1.31,NA,NA,289,140,1918,24920,211.8,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pithecia pithecia,1580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,104,30,270,135,80,40,558,279,28958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,819,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plecturocebus moloch,900,66.2,33.1,17.04,8.52,10.58,5.29,26.2,13.1,12.34,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
