Species,CerebellarCortex_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Cerebellum_white_matter_Vol.mm3,FlocculonodularLobe_Vol.mm3,Pontine_and_reticulotegmental_nuclei_Vol.mm3,Total_brain_net_volume_Vol.mm3,Cerebellum_grey_matter_Vol.mm3,Neocortex_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_white_matter_Vol.mm3,Agranular_insular_cortex_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Dysgranular_insular_cortex_Vol.mm3,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_Vol.mm3,Insula_left_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,AccessoryOlfactoryBulb_Vol.mm3,AccessoryOlfactoryBulb_layer_6_Vol.mm3,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CA1_Vol.mm3,CA2_Vol.mm3,CA3_Vol.mm3,Commissura_anterior_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_sensorius_trigeminalis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Complexus_vestibularis_unilateral_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,Facial_motor_nucleus_left_Vol.mm3,Fascia_dentata_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalCortex_white_matter_Vol.mm3,HP_HS_fibers_Vol.mm3,Hilus_Vol.mm3,Hippocampus_Vol.mm3,Hippocampus_retrocommissuralis_Vol.mm3,Hypoglossal_nucleus_left_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Middle_temporal_visual_area_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_olivaris_inferior_accessorius_Vol.mm3,Nucleus_olivaris_inferior_accessorius_dorsalis_Vol.mm3,Nucleus_olivaris_inferior_accessorius_medialis_Vol.mm3,Nucleus_olivaris_inferior_principalis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Palaeocortex_Vol.mm3,Palaeocortex_plus_amygdala_Vol.mm3,PrefrontalCortex_grey_matter_Vol.mm3,PrefrontalCortex_grey_matter_left_Vol.mm3,PrefrontalCortex_grey_matter_right_Vol.mm3,PrefrontalCortex_white_matter_Vol.mm3,PrefrontalCortex_white_matter_left_Vol.mm3,PrefrontalCortex_white_matter_right_Vol.mm3,Prepiriform_cortex_Vol.mm3,Retrobulbar_cortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Subiculum_Vol.mm3,Substantia_innominata_Vol.mm3,Telencephalon_Vol.mm3,Tractus_olfactorius_lateralis_Vol.mm3,Trigeminal_motor_nucleus_left_Vol.mm3,Tuberculum_olfactorium_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Meninges_hypophysis_nerves_etc_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,Diencephalon_excluding_globus_pallidus_Vol.mm3,Striatum_including_globus_pallidus_Vol.mm3,EntorhinalCortex_Vol.mm3,OlfactoryCortices_Vol.mm3,Tectum_Vol.mm3,Tegmentum_Vol.mm3,Agranular_insular_cortex_right_Vol.mm3,Amygdala_accessory_basal_nucleus_Vol.mm3,Amygdala_basal_nucleus_Vol.mm3,Amygdala_basolateral_division_Vol.mm3,Amygdala_lateral_nucleus_Vol.mm3,Area_10_right_Vol.mm3,Area_13_right_Vol.mm3,Area_striata_grey_matter_left_Vol.mm3,Cerebral_hemispheres_Vol.mm3,Corpus_geniculatum_laterale_left_Vol.mm3,Dysgranular_insular_cortex_right_Vol.mm3,Granular_insular_cortex_right_Vol.mm3,Insula_right_Vol.mm3,fronto_insular_cortex_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,fronto_insular_cortex_right_Vol.mm3,Pons_Vol.mm3
Aotus trivirgatus,878,690.5,656.5,42.175,1560.3333333333333,156,34.1,29.8,14181.75,753,8460,6351.333333333334,1915.3333333333335,NA,NA,830,17100,NA,NA,NA,NA,NA,NA,813,32.9,0.222,0.01,0.086,0.126,193.6,1203,113,883,207,56,0.222,150.16,20.83,97.14,26.3,56.6,136.9,33.5,51.9,28.1,1.55,0.14,0.162,1098,1.24,76.23,NA,NA,133.49,33.52,538.8,405.31,0.87,11.42,17.02,394,13.01,680.65,409,99.5,1039,6737,14.6,3.21,3.18,1.26,1.92,2.2,0.964,0.21,11,5.81,9.54,5.14,20.7,11.1,10.7,6.07,203,394,NA,NA,NA,NA,NA,NA,90.6,9.7,243,83.8,862,27.43,18.7,12128,13,0.86,42.3,112.1,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aplodontia rufa,657,351,290,37.3,821,131.5,16,20.8,4986.5,665,1860,1480,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelerix algirus,NA,NA,NA,NA,358,NA,NA,NA,2859,NA,500.3,436.7,63.6,NA,NA,790,3200,NA,NA,NA,NA,NA,NA,NA,5.02,1.934,0.508,0.676,0.75,101.3,NA,NA,NA,NA,284.5,1.93,NA,NA,NA,13.6,45.9,55.4,39.9,15.3,NA,0.297,0.0222,0.0621,246,NA,NA,NA,NA,NA,NA,227,NA,NA,NA,NA,459,NA,336,153,NA,117,319.7,7.5,0.93,NA,NA,NA,NA,1.18,3.1,4.68,NA,2.35,NA,6.29,NA,1.93,NA,NA,504,NA,NA,NA,NA,NA,NA,216.4,52.8,109,42.9,140,NA,9,1766,12.8,NA,53.3,NA,121,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles geoffroyi,NA,NA,NA,209.17,12438,NA,NA,NA,101867,NA,70856,NA,NA,270,135,8000,108000,362,181,200,100,832,416,3753,151,2.189,0.37,0.85,0.969,868.8,4738,NA,NA,985,90.4,2.19,388.3,51.79,263.35,98.1,224.3,644.5,89.2,96.4,49.7,3.1,0.608,0.443,5334,1.65,150.28,16010,5310,370.37,69.29,1366.01,995.64,1.78,59.75,114.79,1625,34.63,1833.835,1482,NA,NA,NA,74.7,7.29,9.14,4.62,4.52,24.3,3.18,NA,24.2,11.9,12.8,6.81,46.6,23.8,12.8,7.2,NA,1625,2770,1220,1550,290,80,210,324.8,9.5,732,324,4950,72.63,134.1,79946,26.3,1.8,163.7,813.3,1389,NA,570,30.5,629,52.8,807,860,2930,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles paniscus,NA,7300,3033.33333333333,NA,10366.6666666667,NA,NA,NA,90700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles sp.,NA,NA,NA,NA,NA,1680,NA,NA,72410,5970,48880,30253.333333333332,17866.666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3130,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avahi laniger,NA,NA,NA,37.89,1489,NA,NA,NA,9798,NA,4813,NA,NA,NA,NA,1285,10490,NA,NA,NA,NA,NA,NA,475,27.6,3.013,0.708,0.816,1.489,113.2,542,NA,NA,66.5,89.1,3.01,178.89,15.29,112.49,5.7,39.5,73.8,26.3,44,23.7,0.7,0.14,0.116,862,1.07,78.82,NA,NA,67.7,24.93,526.25,458.55,0.74,11.28,14.46,284,12.15,553.175,343,NA,NA,NA,5.4,2.21,3.23,1.52,1.71,2.22,1.29,1.1,10.7,5.19,8.55,5.02,17.1,9.21,7.65,4.27,NA,236,NA,NA,NA,NA,NA,NA,96.5,14.4,241,69.7,524,48.13,16.8,6550,4.2,0.88,33,60.9,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avahi occidentalis,NA,NA,NA,29.66,1383,NA,NA,NA,9190.4,NA,4443,3666,777,14,7,860,9670,36,18,26,13,76,38,450,29.3,2.553,0.481,0.828,1.244,121.1,527,64.6,385,77.2,70,2.55,175.41,9.13,90.39,6.2,34.6,86.5,25.9,40.2,18.1,0.652,0.0942,0.188,861,0.81,72.03,NA,NA,56.15,30.86,475.58,419.43,0.62,10.18,11.3,265,8.18,508.23,345,NA,582.7,3083,6.4,2.04,NA,NA,NA,NA,0.988,0.27,10.8,4.81,7.57,3.32,15.5,6.86,6.37,3.1,NA,NA,NA,NA,NA,NA,NA,NA,85.4,10.9,222,69.3,478,41.61,13.5,6026,3.2,0.82,26.8,60.3,73.7,NA,105,6.52,137,5.94,74.5,80.5,489,38.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bassaricyon gabbii,NA,NA,NA,NA,1795.2,NA,NA,NA,NA,NA,9030.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579.36,NA,NA,NA,NA,NA,NA,683.52,496.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,512.64,57.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016.64,811.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bassariscus astutus,1467,623,770,83.6,1843,292,73.6,59.8,15090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathyergus suillus,NA,NA,NA,NA,683,NA,NA,NA,NA,NA,1011,NA,NA,NA,NA,907.82,3780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,NA,NA,NA,NA,NA,NA,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,173,NA,NA,NA,96,173,69,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bettongia gaimardi,947,445,444,41.6,1203,214,58.4,36.6,10612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blarina brevicauda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,NA,NA,28.8,NA,NA,NA,NA,1.5,5,5.9,8.09,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,0.45,0.666,NA,0.223,NA,0.994,NA,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,6.9,NA,NA,NA,NA,1.5,NA,1.4,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bos indicus,23462,9304,13830,1383,36574.520000000004,6845,329,556,402223,NA,362993.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3838.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7708.32,NA,NA,NA,NA,NA,NA,17187.84,12054.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9524.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,5050.08,444.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20231.04,17609.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burramys parvus,74.7,33,37.8,5.76,94.8,14.4,3.88,3.93,899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus moloch,732,335,384,49.405,1250.5,110,13.7,23.8,16132.5,NA,11163,NA,NA,NA,NA,900,19000,NA,NA,NA,NA,NA,NA,1201,54.2,0.325,0.019,0.09,0.216,254.1,1524,NA,NA,324,19.2,0.325,174.88,22.9,129.11,28.6,74.6,179.5,36.2,64.7,33.1,2.9,0.154,0.135,1375,1.18,79.44,NA,NA,101.92,37.33,588.29,486.37,0.98,19.47,21.24,454,20.7,786.9100000000001,530,92.1,NA,NA,16.3,2.66,4.13,1.57,2.56,2.07,0.89,NA,17.1,8.52,10.8,5.29,25.8,13.1,11,6.17,NA,425,NA,NA,NA,NA,NA,NA,96.7,4.4,234,86.4,920,42.71,27.2,13465,8,1,34.7,105.9,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus sp.,NA,NA,NA,NA,NA,249,NA,NA,11900,833,7060,5120,1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callimico goeldii,NA,NA,NA,NA,1240,NA,NA,NA,10510,NA,6476,NA,NA,NA,NA,480,11000,NA,NA,NA,NA,NA,NA,987,31.7,0.512,0.034,0.166,0.312,146.9,NA,NA,NA,NA,27,0.512,83.53,7.84,60.81,16.8,35.6,111.2,23.2,36.6,NA,NA,NA,NA,739,0.48,49.73,NA,NA,49.34,12.08,280.9,231.56,0.54,NA,NA,253,NA,460.05,340,113.7,NA,NA,11.6,NA,NA,NA,NA,NA,NA,NA,8.84,NA,7.96,NA,12.8,NA,6.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,3.3,138,63.5,493,17.57,9.6,7733,5.4,0.55,29.3,NA,47.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix jacchus,546,252,282,27.580000000000002,756.5,176,12.5,13.2,6313,NA,4371,3564,807.1,NA,NA,280,7600,NA,NA,NA,NA,NA,NA,566,25.1,0.326,0.05,0.111,0.165,106.1,685,57.8,508,119,22.8,0.326,73.07,7.49,42.82,14.1,30.5,75.6,16.3,27.3,15.2,0.486,0.0789,0.133,554,0.54,33.34,NA,NA,40.63,12.29,221.12,180.49,0.44,5.44,7.93,191,7.59,318.12,295,68.2,441.8,3122,7.7,1.63,1.99,0.864,1.13,0.767,0.44,0.195,5.37,2.6,6.46,4.07,10.6,5.8,4.9,2.69,99.3,224,NA,NA,NA,NA,NA,NA,34.6,2.7,90,49.8,372,11.48,10.1,5318,3.6,0.47,19.4,38.8,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix pygmaea,NA,NA,NA,11.48,468,NA,NA,NA,4302,NA,2534,2139,395.3,NA,NA,140,4500,NA,NA,NA,NA,NA,NA,363,16.9,0.386,0.047,0.128,0.211,75.4,415,29.7,334,51.4,11.4,0.386,38.83,4.11,26.95,6.1,17.5,57.9,10.8,22.1,11.1,NA,NA,NA,342,0.27,17.67,NA,NA,22.84,4.49,122.34,99.5,0.28,3.2,4.35,133,3.93,193,192,41.9,223.7,1915,7.1,NA,1.42,0.563,0.852,0.716,NA,0.11,3.76,1.96,5.97,2.94,8.27,4.11,4.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,24.5,2.1,81.8,29.2,174,7.45,5.8,3099,1.3,0.28,7.8,17.5,24.5,NA,21.8,3.68,69.2,1.95,25.8,27.7,190,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callorhinus ursinus,NA,NA,NA,NA,40414.56,NA,NA,NA,NA,NA,186232.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953.12,NA,NA,NA,NA,NA,NA,10992,4153.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2115.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1680,391.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12811.68,6391.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caluromys derbianus,495,212,268,11.4,565,59.2,15,22.7,6725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camelus dromedarius,NA,NA,NA,NA,70519.68,NA,NA,NA,NA,NA,375959.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3966.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8577.12,NA,NA,NA,NA,NA,NA,26781.12,14904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7468.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3760.32,768.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19111.68,21388.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canis latrans,NA,NA,NA,NA,6244.8,1340,NA,NA,73160,4170,47702.84,30410,15525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,849.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2158.56,NA,NA,NA,NA,NA,NA,3392.64,1818.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2272.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1603.68,144.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3256.32,1847.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canis lupus familiaris,2793,1442,1186,176,3667,698,166,142,46634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
