Region,rCMRGlc,slope,lambda,OP_Diff,,aging_Beta,aging_change,development_change,Orphan_change,Volume,VolumeSD,Neuron_N,NeuronSD,NeurDensity,Glia_N,GliaSD,GliaDensity,Astro_N,AstroSD,AstroDensity,Oligo_N,OligoSD,OligoDensity,Microglia_N,MicroSD,MicroDensity,GliaNeurDensityRatio
Cerebral_cortex_(global_average),33.5,0.988076,0.757,0.093914455,NeoG_Frahm,-0.779,-24.7,-1.11,,218.2155657,36.32442867,17773739707,1972573186,81450375.22,19147299767,2808329062,87744885.21,5297233625,1022996357,24275232.64,10476759772,2297936602,48011056.12,2478686958,647058301.7,11358891.61,1.08E+00
Frontal_lobe,35.3,,,,,,,-0.97,,86.2427849,17.26149223,6064742323,361435897.2,70321735.67,7382117345,1391502993,85596926.79,2452737147,1006961786,28439911.24,3902967688,1088820959,45255585.06,1055180946,282532300.5,12235005.48,1.22E+00
Parietal_lobe,35.8,,,,,,,-1.57,,48.35327837,8.628684999,3946035413,874918179.7,81608435.8,4100384355,576905965.4,84800544.93,1253657343,274507513.6,25927039.18,2147181302,423114309.7,44406116.28,521483951.9,208205838.8,10784872.7,1.04E+00
Temporal_lobe,30.5,,,,,,,-0.7,,55.2738822,11.15141974,4178500093,1255524236,75596283.93,4808246253,814350852.3,86989479.68,1251709107,119777681.8,22645579.74,2770937234,814098788.8,50131040.63,586428086.1,187912144.1,10609496.98,1.15E+00
Occipital_lobe,35.8,0.727588,0.538,-0.430014577,ASG_Sousa,,,-1.92,,28.34562026,7.852084896,3584461877,1118804543,126455581,2856551814,945162823.1,100775773.7,746523835.3,194795920.5,26336479.09,1655673549,554264713.7,58410207.07,315593973.7,146129796.7,11133782.6,7.97E-01
Insular_lobe,30.3,1.096933,0,-0.091614134,Total_insula_volume,,,,,,,,,,,,,,,,,,,,,,
Hippocampus,25.7,0.75901,0.895,-0.48949643,Hippocampus,-0.398,-24.5,,0.447973198,,,,,,,,,,,,,,,,,,
Forebrain_nuclei,,,,,,,,,,,,,,,,,,,,,,,,,,,
Striatum,36.26896897,0.77808,0,0.348777926,Striatum,,,,,,,,,,,,,,,,,,,,,,
Caudatum,32.6,,,,,-0.692,-7.2,-0.28,0.4974769,,,,,,,,,,,,,,,,,,
Putamen,40.2,,,,,-0.473,-27.8,,0.3425729,,,,,,,,,,,,,,,,,,
Nucleus_accumbens,32.3,,,,,-0.652,-30.4,,0.1539233,,,,,28734,,,58750,,,,,,,,,,2.04E+00
Pallidum,21.9,1.056026,0.991,-1.24978409,Pallidum,-0.229,-27.3,-0.38,0.3360768,,,,,,,,,,,,,,,,,,
Nucleus_medial_thalami,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Corpus_geniculatum_laterale,23.1,0.696715,0.919,-1.608917419,LGN_Sousa,,,,,,,,,,,,,,,,,,,,,,
Corpus_geniculatum_mediale,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Nucleus_subthalamicus,25.2,1.065098,1,-0.67081648,Nucleus_subthalamicus,,,,,,,,,,,,,,,,,,,,,,
Basal_forebrain,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Corpus_amygdaloideum,22.2,0.714494,0,-0.415661531,Amygdala,-0.469,-24.3,,0.171740455,2.7594464,0.114196592,24423.78365,1282.173634,8850.9723,100061.695,6582.517791,36261.51066,18001.11844,1962.787284,6523.452835,57146.91773,5434.03865,20709.55889,14925.61906,1344.400352,5408.917913,4.10E+00
Brainstem_nuclei,25.28733261,0.70853,1,-0.305185816,Mesencephalon,-0.353,-11,1.46,,,,,,,,,,,,,,,,,,,
Colliculus_inferior,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Colliculus_superior,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Substantia_nigra,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Nucleus_ruber,31,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerebellum,29.7671115,1.032644,0.916,-0.35957333,Cerebellum,,,2.12,,,,,,,,,,,,,,,,,,,
Cerebellar_cortex,29.8,,,,,-0.605,-17.6,,,,,,,,,,,,,,,,,,,,
Vermis,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Nucleus_dentatus_cerebelli,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,
White_matter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centrum_semiovale,12.3,1.333455,1,-0.238630491,NeoW_Frahm,-0.508,-19.7,,,,,,,,,,,,,,,,,,,,
Capsula_interna,25.5,1.077337,0.92,-0.751246625,Capsula_interna,,,,,,,,,,,,,,,,,,,,,,
Thalamus,36.9,,,,,-0.78,-21.9,1.64,1.6621108,,,,,,,,,,,,,,,,,,
Cerebellar_WM,,,,,,-0.557,-19.3,,,,,,,,,,,,,,,,,,,,
Lateral_ventricles,,,,,,0.695,226.5,,,,,,,,,,,,,,,,,,,,
Inferior_lateral_ventricle,,,,,,0.567,283.9,,,,,,,,,,,,,,,,,,,,
3rd_ventricle,,,,,,0.741,86.7,,,,,,,,,,,,,,,,,,,,
4th_ventricle,,,,,,0.21,5,,,,,,,,,,,,,,,,,,,,
CSF,,,,,,,34.4,,,,,,,,,,,,,,,,,,,,
Total_volume,,,,,,,-21.6,,,,,,,,,,,,,,,,,,,,
Frontal_lobe_WM,18.4,,,,,,,1.37,,,,,,,,,,,,,,,,,,,
Parietal_lobe_WM,,,,,,,,,,,,,,,,,,,,,,,,,,,
